[00:00:00] 没有的话呢，
[00:24:04] 我看一下同学们背了哪一个？
[00:24:06] 各位，
[00:24:06] 这些素材都在班级的群文件里边，
[00:24:09] 那么过渡句大家都背了哪一个？
[00:24:11] 过渡句我们给大家说过，
[00:24:13] 历尽天华成自己人间万事出千心，
[00:24:16] 雄关漫道真如铁，
[00:24:18] 而今漫步从头越，
[00:24:19] 关山初度路犹长啊，
[00:24:21] 是吧？
[00:24:21] 雄心壮志两周荣啊等等的，
[00:24:23] 还有古人云图垂成之功者如晚上。
[00:24:26] 上滩之舟啊，
[00:24:27] 莫少庭遗诏啊，
[00:24:28] 那么这些名言警句，
[00:24:30] 你选一个比较万能的，
[00:24:31] 个性化的，
[00:24:32] 把它背下来，
[00:24:33] 反复的都是可以用的，
[00:24:35] 写完了名言警句，
[00:24:36] 请问到哪一步了？
[00:24:38] 最后一步，
[00:24:38] 也就是要加一个总论点，
[00:24:41] 总论点呢，
[00:24:42] 你就是要和我们的标题保持一致也就可以了。
[00:24:46] 你总论点标题，
[00:24:47] 是说叫软硬并驾齐驱，
[00:24:49] 那么总论点就是要有硬设施，
[00:24:52] 要有软服务，
[00:24:53] 最后呢，
[00:24:54] 还对社会治理有好处，
[00:24:56] 也就把它全部搞定了。
[00:24:58] 对吧，
[00:24:58] 所有的同学们，
[00:25:00] 你们来看一下这样的一个开头，
[00:25:02] 如果你们在实际考试的时候能够写出这样的一个开头，
[00:25:07] 大家觉得还能勉强满意吗？
[00:25:10] 各位，
[00:25:10] 这些东西没有任何一个需要，
[00:25:13] 你就是自发的，
[00:25:14] 把它创造出来，
[00:25:15] 我只需要你把它背出来，
[00:25:17] 因为你们绝大多数同学那么没有什么创造能力。
[00:25:22] 绝大多数同学呢，
[00:25:23] 只适合做大作文的搬运工，
[00:25:25] 不适合做大作文的创造者。
[00:25:27] 如果你需要创造，
[00:25:28] 我等一下教你。
[00:25:29] 所以如果说你现在真的没有办法写，
[00:25:32] 你就先把它给我写成这个样子，
[00:25:35] 其实可以保证你至少能够拿到二类文行吗？
[00:25:38] 这是我们给大家说的。
[00:25:40] 好了，
[00:25:41] 我们再接着给大家来看一下它的逻辑，
[00:25:45] 记住了开头的底层逻辑，
[00:25:47] 第一步写名言警句，
[00:25:49] 第二步写影响，
[00:25:51] 第三步写叫做过渡句，
[00:25:53] 第四步写总论。
[00:25:54] 非常简单是吧？
[00:25:56] 名言警句基本上题干当中的这句话直接引用下来，
[00:26:00] 影响啊我们也可以直接用万能的影响，
[00:26:03] 也可以直接写个性化的影响。
[00:26:05] 个性化的影响，
[00:26:07] 也就是它对谁有影响，
[00:26:09] 各位那么我们说一件事情要产生影响，
[00:26:12] 第一个对于政府有没有影响，
[00:26:15] 将硬设施和软服务相结合，
[00:26:17] 有利于提升政府的。
[00:26:19] 光辉形象，
[00:26:20] 你看你想个性化，
[00:26:22] 其实也非常简单，
[00:26:23] 第二个对于老百姓来讲，
[00:26:26] 有没有影响能够增强群众的叫做幸福感？
[00:26:30] 还有一个获得感，
[00:26:31] 你们觉得可以吗？
[00:26:33] 那么第三个来讲的话，
[00:26:35] 对于我们还有什么影响？
[00:26:37] 对于我们还有什么影响，
[00:26:39] 随便说，
[00:26:40] 对于我们整个社会来讲的话呢，
[00:26:42] 也能够营造一种良好的。
[00:26:44] 这种氛围行不行？
[00:26:46] 都是没有问题的，
[00:26:47] 只要你说的合情合理就行，
[00:26:50] 但是我们这种题目大家如果想要个性化的话，
[00:26:54] 就可以在影响之前加一个背景，
[00:26:57] 或者在影响之后加。
[00:26:59] 停机或者是问题都是可以的，
[00:27:01] 大家看这个题干，
[00:27:02] 我就是给大家加了一个背景，
[00:27:05] 形成了一个更加个性化的开头，
[00:27:07] 我们再给大家一起写一下。
[00:27:09] 首先，
[00:27:10] 大家看，
[00:27:10] 这是一个标题，
[00:27:12] 这是一个叫做名言警句，
[00:27:14] 加上它的解释，
[00:27:15] 这是一个相关的背景，
[00:27:17] 这是一个。
[00:27:18] 影响那么接着，
[00:27:20] 这是一个过渡句和名言警句，
[00:27:23] 这是一个叫做总论点。
[00:27:25] 简单吗？
[00:27:26] 亲爱的同学们，
[00:27:27] 其实没有什么难的，
[00:27:29] 那么有的同学说老师，
[00:27:30] 我问你一下我，
[00:27:32] 你能不能给我换一种个性化的写法？
[00:27:35] 各位，
[00:27:35] 我们也给大家换了一个个性化的写法，
[00:27:38] 还记得吗？
[00:27:39] 就是关于AB类的，
[00:27:40] 我们可以用递进式的写作方式带着大家一起写，
[00:27:44] 之前我们给大家写过，
[00:27:45] 大家看，
[00:27:46] 首先它是在说社会治理的。
[00:27:48] 那你就把社会治理给我们论证一下，
[00:27:51] 说一下社会治理的一个影响，
[00:27:54] 再接着我们要提出软设施，
[00:27:56] 软硬设施和软服务，
[00:27:58] 我们要把硬设施给我们搞出来。
[00:28:01] 说一下硬设施的影响，
[00:28:04] 那么接着我们再进行一个递进，
[00:28:07] 要说一下软服务的影响，
[00:28:09] 要说一下软服务的影响。
[00:28:12] 行不行？
[00:28:13] 那么最后我们再来一个总论点，
[00:28:15] 各位我问大家一下，
[00:28:16] 如果哈咱们俩没有结婚，
[00:28:18] 没有上21天的课，
[00:28:20] 没有上这个22天的课，
[00:28:22] 没有上这个十几天的课。
[00:28:24] 我问大家一下，
[00:28:25] 如果你们在考试的时候，
[00:28:27] 你之前从来也没有听过我的课，
[00:28:30] 这是第二个开头，
[00:28:31] 然后这是第一个开头，
[00:28:33] 你觉得你觉得哪一个你会更加喜欢？
[00:28:36] 各位告诉东哥，
[00:28:37] 这是第一个，
[00:28:38] 然后呢？
[00:28:39] 这是第二个，
[00:28:40] 你觉得哪一个更像是一个官方的官样文章？
[00:28:45] 各位，
[00:28:46] 哪一个更像是官方的官样？
[00:28:48] 文章向政府体系的文章，
[00:28:50] 向政府的工作报告，
[00:28:52] 向人民的这种实评。
[00:28:54] 你会发现是不是第一个更加容易操作，
[00:28:58] 而且也更加容易像官方的文章，
[00:29:01] 并且它首先也做到了准确，
[00:29:04] 不容易跑题啊。
[00:29:05] 行不行？
[00:29:06] 那么这是我们给大家所说的，
[00:29:08] 另外我希望大家在后面再加一句话，
[00:29:11] 社会治理之道既需要有硬设施作为支撑，
[00:29:15] 更需要以软服务作为灵魂啊，
[00:29:18] 然后呢？
[00:29:18] 怎么样？
[00:29:19] 呃，
[00:29:19] 离不开。
[00:29:20] 参与各方的努力，
[00:29:23] 也就是需要我们怎么样多元。
[00:29:26] 主体。
[00:29:29] 共治把这句话给我加进去行不行？
[00:29:33] 那么或者需要我们多方努力。
[00:29:37] 把它给我加进去也就可以了，
[00:29:40] 行吗？
[00:29:41] 需要参与各方努力，
[00:29:43] 这样的话你就整体来讲绝对安全了。
[00:29:47] 各位申论大总文的写作，
[00:29:49] 它的客观性也是非常重要的，
[00:29:52] 安全还有准确是第一位的，
[00:29:54] 你没有这个下面的文采，
[00:29:56] 没有人看，
[00:29:57] 所以我这里边给大家特别强调的一个点是什么呢？
[00:30:01] 如果说你标题当中的话，
[00:30:05] 恰巧就没有能够写到你的。
[00:30:09] 如果你的题干当中的话，
[00:30:12] 恰巧没有写到你的标题里边，
[00:30:15] 各位一定把没有写到的那句话给我放到总论点里边去，
[00:30:20] 这样才能够变得老奸巨猾。
[00:30:23] 才能够真正的确保安全，
[00:30:25] 你们理解这个处理的套路了吧？
[00:30:28] 各位一定要做一个老奸巨猾的同学啊，
[00:30:31] 你千万不要傻不拉几的。
[00:30:32] 所以我们把它写到这里边也就可以了，
[00:30:36] 那么接着我们带着大家呢去。
[00:30:38] 看一下这个是个性化的，
[00:30:40] 我也给大家弄好了好了，
[00:30:42] 下面我们就带着大家要去写分论点了。
[00:30:46] 各位分论点，
[00:30:47] 我们刚才找出来了三个，
[00:30:48] 那么分论点之前呢？
[00:30:50] 有的同学说老师像这种AB类的，
[00:30:52] 我请问一下，
[00:30:53] 你给我准备的那个模板还能不能用？
[00:30:56] 大家看我们为了防止零基础的同学，
[00:30:59] 实在是非常的崩溃，
[00:31:01] 我们专门给你准备了一个大家看。
[00:31:04] 历尽天华成子景，
[00:31:05] 人间万事出艰辛。
[00:31:07] 这是一个名言警句，
[00:31:09] 下面第二个。
[00:31:10] 近些年来，
[00:31:11] 我们在统筹把握平衡硬设施与软服务方面取得了长足的进步。
[00:31:17] 这个是再说一个背景比较万能的，
[00:31:20] 下面第三个能口能否统筹把握好硬设施和软服务，
[00:31:24] 事关人民群众的根本利益，
[00:31:26] 事关政府治理能力和治理水平的提升，
[00:31:29] 事关社会主义现代化。
[00:31:31] 国家建设事业的成败，
[00:31:33] 这是一个影响好了再往下写第四个进入新时代奋进型征程，
[00:31:38] 再创新辉煌，
[00:31:39] 这是一个过渡句，
[00:31:40] 那么第五个我们应该深刻认识到硬设施和软服务。
[00:31:45] 并不冲突，
[00:31:46] 二者相互统一，
[00:31:47] 硬设施让软服务呢，
[00:31:49] 那么哎，
[00:31:49] 这个用不上，
[00:31:50] 我就不把它叉掉，
[00:31:52] 下面叫做硬设施和软服务相结合，
[00:31:55] 让城市治理呢，
[00:31:56] 更加有效率。
[00:31:57] 更加有啊，
[00:31:58] 这种效果你们觉得可以吗？
[00:32:00] 大家看这样一个传统的思路，
[00:32:03] 依然可以用得上的，
[00:32:05] 所以我光在这一会儿，
[00:32:06] 我已经教了你写了三个开头了，
[00:32:09] 各位。
[00:32:10] 第一个开头是我们用我们的素材进行一个灵活的组装底层逻辑，
[00:32:16] 第二个开头用敌进的方式写了一个开头，
[00:32:19] 第三个用我们最传统的模板写。
[00:32:22] 那么，
[00:32:22] 第四个开头，
[00:32:23] 请问大家一下，
[00:32:24] 这一段大家还熟悉吗？
[00:32:26] 我们能不能把这一段直接放在我们的开头？
[00:32:29] 各位同学，
[00:32:30] 我们来看一下在当今社会快速发展的浪潮中啊，
[00:32:33] 有的同学说老师，
[00:32:35] 那你这个能不能变化呢？
[00:32:36] 我能不能写成随着经济社会的变迁呢？
[00:32:39] 当然是可以的，
[00:32:40] 那么随便换这句话，
[00:32:42] 硬设施与软服务似乎成了两个不同的概念，
[00:32:45] 但是硬设施与软服务是对立关系还是统一关系，
[00:32:48] 是只能孤立割裂还是相互？
[00:32:50] 融合促进啊，
[00:32:51] 下面这句话把它给我替换成题干当中的那句话也就可以了，
[00:32:56] 这句话为我们提供了一个独特的视角来看待硬设施与软服务之间的相互影响和共生关系。
[00:33:04] 即我们应该认识到，
[00:33:06] 硬设施与软服务虽然有区别，
[00:33:08] 但是两者并不冲突，
[00:33:10] 而是相辅相成，
[00:33:11] 相互统一的关系。
[00:33:12] 二者相得益彰，
[00:33:14] 双向奔赴。
[00:33:14] 可以吗？
[00:33:15] 亲爱的同学们，
[00:33:16] 你会发现这一段简直太好了，
[00:33:19] 各位，
[00:33:20] 那因为这个题目要求河南的还有贵州的联考要求写1000字到1200字。
[00:33:27] 我们可不可以把这一段直接变成一个过渡段呢？
[00:33:31] 各位，
[00:33:31] 如果你刚才用了东哥的第一种开头，
[00:33:35] 那么我们能不能把这一段直接变成第二段叫做过渡段？
[00:33:39] 因为1200字，
[00:33:41] 我可以尽情的去发挥，
[00:33:43] 如果你在考场上的时候，
[00:33:44] 你能写到1200字，
[00:33:46] 那个阅卷人整体来讲，
[00:33:48] 他肯定会被你小小的震撼一下的。
[00:33:51] 你同样的文章，
[00:33:52] 你写1000字，
[00:33:53] 比如说40分的满分，
[00:33:54] 他给你30分，
[00:33:56] 那么你写到1200字，
[00:33:57] 没有几个学生能写那么多的，
[00:34:00] 各位尤其是这种AB类的，
[00:34:02] 他们没上东哥的课，
[00:34:03] 他们根本就不会写。
[00:34:05] 他们就直接在现场就崩溃了，
[00:34:07] 所以你能够写出1200字，
[00:34:09] 亲爱的同学们，
[00:34:11] 恭喜你，
[00:34:11] 那么这个时候。
[00:34:12] 怎么样？
[00:34:13] 你原来能得30分的，
[00:34:15] 你就得35分，
[00:34:16] 35分是什么概念？
[00:34:18] 知道吗？
[00:34:19] 你们行测辛辛苦苦学一年，
[00:34:21] 刷几万道题都很难提高五分的。
[00:34:24] 信不信所以不写白不写啊，
[00:34:26] 大家在考试的时候如果给你1200字，
[00:34:30] 你字数又够用，
[00:34:31] 那你一定要心狠手辣，
[00:34:33] 各位五分在国考当中，
[00:34:35] 至少脚底下才两万人啊，
[00:34:37] 各位。
[00:34:38] 以前皇上才是叫做万人之上，
[00:34:40] 你是两万人之上，
[00:34:42] 你能不把这个过渡段写上去吗？
[00:34:44] 你爸他能不能明天早晨早起把他给我背下来，
[00:34:48] 我只要你花那么大约20分钟的时间。
[00:34:51] 你就是一头猪，
[00:34:52] 你都能把自己背成猪八戒，
[00:34:55] 行不行？
[00:34:55] 能不能早起背一下？
[00:34:57] 我现在问大家一下，
[00:34:58] 我给大家准备的精心准备的这些素材，
[00:35:01] 你们如果背了的打个一没有背的给老师打个二。
[00:35:05] 我看有多少同学已经背了，
[00:35:08] 各位你们买这个99块钱的课，
[00:35:10] 哪怕就不听我的课，
[00:35:12] 你光背这个资料。
[00:35:14] 你的钱早就回本了，
[00:35:15] 各位，
[00:35:16] 你要再不背的话，
[00:35:17] 我都苦口婆心跟你说到这个层面上了，
[00:35:20] 我求求你了，
[00:35:22] 为了你。
[00:35:22] 真的是大概率给大家押中的，
[00:35:24] 你们听了我的课会发现，
[00:35:26] 只要以后考AB类的什么让你以城市和人写一篇文章，
[00:35:30] 软设服务和硬设施写一篇文章，
[00:35:33] 有价和无价写一篇文章，
[00:35:34] 传统和现代写一篇文章。
[00:35:36] 和不变写一篇文章，
[00:35:38] 里子和面子写一篇文章是不是一个道理？
[00:35:41] 各位一定把它给咱背下来，
[00:35:43] 求求各位了。
[00:35:45] 好吧，
[00:35:45] 你看你这句话背下来，
[00:35:47] 既可以当成开头的第一段，
[00:35:49] 那么又可以当成开头的第二个过渡段，
[00:35:52] 还可以去论证我们第三个分论点。
[00:35:55] 这一段简直太好了，
[00:35:57] 上哪里找这么好的老师啊？
[00:35:59] 行吧，
[00:36:00] 所以这是我们给大家所说的非常重要的，
[00:36:03] 希望大家把它搞定。
[00:36:05] 好嘞，
[00:36:05] 各位那么。
[00:36:07] 下面所有的同学，
[00:36:08] 我再带着大家写分论点，
[00:36:10] 大家看我们这个题目，
[00:36:12] 它本质上是一个ABC的分论点，
[00:36:15] 也就是我们要写a对b的好处哦，
[00:36:18] 不是a对c的好处，
[00:36:20] 再写b对c的好处。
[00:36:21] 再加a+b结合起来要怎么干的问题那么大家认真的给老师讲一下，
[00:36:28] 坚定稳固的硬设施，
[00:36:29] 筑牢社会治理之骨。
[00:36:31] 拿到这个分论点，
[00:36:33] 你是不是脑袋和这张PPT一样空白呢？
[00:36:36] 当你空白的时候，
[00:36:38] 一定记住东哥站在你身后，
[00:36:40] 像个大哥哥一样，
[00:36:42] 说底层逻辑。
[00:36:43] 我问大家下，
[00:36:44] 现在你拿到这个题目，
[00:36:46] 脑袋空白了，
[00:36:48] 你告诉东哥，
[00:36:49] 你告诉东哥，
[00:36:51] 这个时候你脑子当中应该想到哪一个？
[00:36:55] 哪几个招数？
[00:36:56] 反正你就记住了，
[00:36:57] 东哥的这个99块钱可以帮助你解决所有国考省考的题目，
[00:37:02] 如果解决不了，
[00:37:03] 咱们就去骂东哥，
[00:37:05] 就找东哥的退费也就可以了。
[00:37:07] 认真的想一下，
[00:37:08] 是不是就是三招？
[00:37:10] 第一招是不是叫名言警句？
[00:37:13] 第二招是不是叫做事例论证？
[00:37:15] 第三招是不是叫做要素论证？
[00:37:18] 同意不？
[00:37:19] 各位同学们，
[00:37:21] 那么坚持稳固的硬设施，
[00:37:24] 筑牢社会治理之骨。
[00:37:26] 各位，
[00:37:27] 那这个时候世上没有无缘无故的爱，
[00:37:30] 世上没有无缘无故的恨，
[00:37:32] 世上没有无缘无故的硬设施，
[00:37:35] 这个硬设施它肯定在材料当中会有体现的。
[00:37:38] 各位，
[00:37:39] 刚才你们读了哪一个材料？
[00:37:41] 看到了，
[00:37:42] 是不是有一个叫做石墩子？
[00:37:44] 各位石墩子这个题目在二四年都上了热搜了。
[00:37:48] 各位石墩子，
[00:37:49] 请问我们不要把它当成一个石墩子，
[00:37:53] 它太土了，
[00:37:54] 往上给我拔高一下，
[00:37:56] 在马路上的石墩子，
[00:37:58] 它算是什么？
[00:37:59] 能不能告诉我？
[00:38:00] 很多同学说，
[00:38:01] 老师，
[00:38:02] 你天天教我要素论证，
[00:38:04] 哎，
[00:38:04] 我不会写各位要素，
[00:38:06] 不就是通过示例把它稍微的拔高一下，
[00:38:09] 由个别到一般就成了要素了吗？
[00:38:12] 各位，
[00:38:13] 石墩子是不是叫做公共基础设施，
[00:38:17] 或者是叫做公共安全？
[00:38:20] 设施你们同意吧，
[00:38:22] 各位，
[00:38:22] 咱们就把它搞定了吧，
[00:38:25] 咱们就把它搞定了吧，
[00:38:27] 那么另外呢，
[00:38:28] 你也可以把它理解成叫做交通。
[00:38:31] 怎么样基础？
[00:38:35] 设施吧。
[00:38:36] 好了，
[00:38:37] 我们再来看一下哈，
[00:38:38] 刚才在石墩子这个材料当中，
[00:38:41] 它出现了什么东西？
[00:38:43] 刚才在石墩子，
[00:38:44] 在这个材料当中。
[00:38:46] 材料的一开始就给我们出现了，
[00:38:49] 他这里面有这个叫做石墩子好吧，
[00:38:53] 除了有石墩子，
[00:38:54] 还有什么还有一个。
[00:38:56] 中央绿化带，
[00:38:57] 大家看到了吗？
[00:38:58] 绿化带它算不算是一个交通基础设施？
[00:39:02] 有的同学说，
[00:39:03] 老师，
[00:39:03] 我不会要素论证，
[00:39:05] 各位要素论证其实非常简单。
[00:39:07] 就是把个别的给我上升到一般，
[00:39:11] 它就变成了一个要素，
[00:39:13] 那就可以了，
[00:39:14] 行吧，
[00:39:15] 你看石墩子就是叫公共安全设施，
[00:39:18] 然后呢，
[00:39:19] 中央绿化带叫。
[00:39:20] 交通基础设施行不行？
[00:39:22] 好了，
[00:39:23] 我们这个就把它搞定了，
[00:39:25] 那么别着急，
[00:39:26] 再带着大家往下走一下。
[00:39:28] 各位，
[00:39:29] 那我们下面就给大家呢？
[00:39:31] 先写一个论证，
[00:39:32] 你这个上面不是让我们写一个坚实稳固的硬设施，
[00:39:37] 是筑牢社会治理猪骨吗？
[00:39:39] 各位，
[00:39:40] 我请问大家一下，
[00:39:41] 我们下面要素论证的话，
[00:39:43] 基本上开头的这个要素会先说哪一个要素，
[00:39:47] 如果你们总结了这么多节课，
[00:39:49] 你们觉得我们分论点论证会先说哪一个？
[00:39:52] 是不是有的时候可以说背景，
[00:39:55] 有的时候可以说影响啊？
[00:39:56] 各位，
[00:39:57] 那这个背景我们不好说，
[00:39:59] 我们就不说，
[00:40:00] 那我们直接可以说影响，
[00:40:02] 但是如果你写影响的时候，
[00:40:04] 是不是现在又觉得脑子当中稍微有点？
[00:40:07] 空白啊，
[00:40:07] 各位，
[00:40:08] 那么如果你现在脑子当中有空白的话，
[00:40:11] 你就一定要想要写哪一个词的影响？
[00:40:15] 听懂吧，
[00:40:16] 接着写，
[00:40:17] 对谁有影响？
[00:40:19] 各位，
[00:40:20] 我请问大家一下，
[00:40:21] 我们所有的论证都是为了论证这个分论点，
[00:40:24] 你们告诉我要写哪一个词的影响？
[00:40:27] 各位认真的讲一下，
[00:40:29] 是不是要写硬设施的影响，
[00:40:31] 所以我们就可以造句了，
[00:40:34] 下面要写硬设施的影响，
[00:40:36] 各位硬设施你们告诉我对谁有影响？
[00:40:40] 是不是对我们整个社会有影响，
[00:40:43] 简单了吗？
[00:40:43] 所以你只要把这两个给我联系起来，
[00:40:47] 造一个句子也就可以了，
[00:40:49] 大家看东哥是怎么给你造的，
[00:40:52] 叫映射师。
[00:40:54] 叫硬设施，
[00:40:56] 下面承载着。
[00:41:00] 承载着。
[00:41:03] 社会。
[00:41:05] 的。
[00:41:07] 高效运行与发展。
[00:41:10] 高效。
[00:41:12] 运行。
[00:41:14] 与哎发展，
[00:41:15] 我说到这，
[00:41:16] 我就觉得可以了，
[00:41:17] 那有的同学说老师我写这一句话，
[00:41:20] 我总觉得不行，
[00:41:21] 下面能不能把硬设施在材料当中的具体三个表，
[00:41:25] 具体的两个表现。
[00:41:27] 写出来呢，
[00:41:28] 那你证明一下自己，
[00:41:30] 下面还记得那个石墩子吗？
[00:41:33] 叫公共安全设施，
[00:41:34] 大家一起写叫，
[00:41:36] 无论是。
[00:41:38] 公共。
[00:41:41] 安全。
[00:41:43] 设施。
[00:41:46] 的。
[00:41:48] 严密布控。
[00:41:51] OK，
[00:41:51] 大家一起把它搞定。
[00:41:54] 下面叫做还是？
[00:41:58] 交通。
[00:42:01] 基础设施。
[00:42:04] 还是交通基础设施。
[00:42:09] 叫畅通无阻。
[00:42:14] 畅通无阻。
[00:42:17] 下面大家一般举例子，
[00:42:19] 我们一般呢，
[00:42:20] 最好举三个例子，
[00:42:22] 各位，
[00:42:22] 我们社会上有这些叫做公共安全设施，
[00:42:26] 这是叫做石墩子，
[00:42:28] 还有中央的绿化带，
[00:42:29] 这个叫交通基础设施。
[00:42:32] 还有什么能不能结合材料又不拘泥于材料，
[00:42:35] 各位，
[00:42:36] 你们天天是不是打电话？
[00:42:38] 是不是发信息？
[00:42:39] 是不是上网这些叫什么？
[00:42:41] 那些基站叫信息通信网络好了，
[00:42:45] 叫做抑或随便举一个材料之外的例子，
[00:42:49] 抑或是。
[00:42:51] 信息。
[00:42:53] 通信。
[00:42:57] 网络。
[00:42:59] 的迅捷高效。
[00:43:04] 迅捷。
[00:43:06] 高效各位，
[00:43:07] 那么它有什么影响？
[00:43:09] 对社会有影响都为社会的和谐稳定提供了强有力的支撑。
[00:43:15] 造一句词也就可以了，
[00:43:18] 都为。
[00:43:19] 社会的。
[00:43:21] 和谐稳定。
[00:43:26] 和谐稳定。
[00:43:29] 叫做提供了强有力支撑。
[00:43:33] 提供了。
[00:43:35] 强有力。
[00:43:38] 的支撑，
[00:43:39] 你看就这么简单，
[00:43:40] 没有大家想象的多么复杂好吧，
[00:43:43] 那没有大家想象的多么复杂，
[00:43:45] 那有的同学说老师我是110斤，
[00:43:48] 我120斤，
[00:43:49] 125斤反骨，
[00:43:51] 我就不想按照你这样写。
[00:43:53] 请问还有没有其他思路？
[00:43:55] 各位那不还把它写出花，
[00:43:58] 不就是要写一个影响吗？
[00:44:00] 这个影响不会写的时候一定要记住写哪一个词的影响，
[00:44:06] 以及写对谁有影响。
[00:44:08] 那我这个时候就要写硬设施的影响，
[00:44:12] 各位你们告诉我硬设施可能对谁有影响？
[00:44:16] 那么硬设施，
[00:44:17] 请问大家一下，
[00:44:19] 对于政府有没有影响那么硬啊？
[00:44:23] 叫做怎么样？
[00:44:24] 硬设施体现了政府的良心和责任，
[00:44:29] 大家觉得可以不？
[00:44:32] 那么，
[00:44:32] 硬设施对于整个的社会有没有影响？
[00:44:37] 硬设施也是维持社会和谐。
[00:44:40] 稳定的。
[00:44:43] 有力支撑可以不那么硬，
[00:44:47] 设施对于老百姓群众有没有影响，
[00:44:52] 也能够保障群众的生产。
[00:44:56] 还有一个生活，
[00:44:57] 大家觉得可以吗？
[00:44:58] 你的答案简直太多了，
[00:45:00] 大作文不一定跟我一样，
[00:45:03] 但是你一定要知道要素论证我的影响，
[00:45:06] 一定要。
[00:45:07] 想论证的是分论点当中某一个关键词的影响，
[00:45:11] 现在大家能够清晰了吗？
[00:45:13] 各位，
[00:45:13] 你把这个搞定了也就可以了，
[00:45:16] 下面我们再接着带着大家一起往下走。
[00:45:19] 各位，
[00:45:20] 除了这一点，
[00:45:21] 我们再带着大家一起往下走，
[00:45:24] 再看一下就是。
[00:45:25] 能不能给我们举一个例子呢？
[00:45:28] 大家看材料四有没有一点熟悉，
[00:45:30] 你看联考的题目很多都是通用的。
[00:45:33] 大家看到这个叫做背篓专列，
[00:45:37] 我问大家一下，
[00:45:38] 背篓专列是不是能够体现硬设施能？
[00:45:42] 就可以了，
[00:45:43] 不能就不提各位背篓专列是和硬设施有关，
[00:45:48] 还是和软服务有关，
[00:45:50] 它肯定是和硬设施有关吧，
[00:45:53] 那么背篓专列呢？
[00:45:55] 它无外乎。
[00:45:56] 就是让我们这些怎么样？
[00:45:58] 让我们这些居民呢？
[00:46:00] 和城市相连，
[00:46:01] 然后呢？
[00:46:02] 能够让这些居民呢？
[00:46:04] 出行也能够呢？
[00:46:06] 就是让他们呢？
[00:46:07] 就是卖菜对吧？
[00:46:08] 那我们下面怎么把它写下来？
[00:46:11] 各位非常简单吧，
[00:46:13] 我们能不能把背篓专列改改成一个事例论证？
[00:46:17] OK，
[00:46:17] 请问大家一下，
[00:46:19] 举例子一般包含几个要素？
[00:46:22] 抓紧时间给老师讲，
[00:46:24] 举例子包含几个要素？
[00:46:26] 第一个要素。
[00:46:27] 叫做什么问题？
[00:46:29] 那么，
[00:46:30] 第二个要素叫做什么主体？
[00:46:33] 第三个要素叫做什么对策？
[00:46:36] 第四个要素叫做什么叫做一个影响？
[00:46:40] 好了，
[00:46:40] 那我们来看一下，
[00:46:42] 在这个题目当中没有问题，
[00:46:44] 我们不要强行写下面，
[00:46:46] 大家把主体给我写下来，
[00:46:48] 主体在这个例子当中讲的就是叫做背篓专列。
[00:46:51] 一起写叫做背篓。
[00:46:55] 专列。
[00:46:58] 那么，
[00:46:58] 作为一定要扣一下我们的分论点，
[00:47:03] 作为硬设施的一种特殊形式。
[00:47:07] 硬设施。
[00:47:09] 的一种。
[00:47:14] 特殊形式OK，
[00:47:15] 一起把它给我写下来。
[00:47:18] 那么，
[00:47:18] 它有什么样？
[00:47:20] 干了什么事情呢？
[00:47:22] 它无为乎就是将居民和城市紧密相连。
[00:47:27] 将大山。
[00:47:32] 深处的居民。
[00:47:37] 与城市。
[00:47:40] 紧密相连。
[00:47:43] 与城市叫做紧密。
[00:47:46] 相连OK，
[00:47:47] 它有什么影响呢？
[00:47:49] 大家来想一想，
[00:47:50] 它对谁有影响？
[00:47:52] 第一个对于居民的。
[00:47:54] 影响是吧？
[00:47:55] 对居对于这些呃叫做偏远地区的居民可以便利。
[00:48:02] 他们的日常。
[00:48:06] 出行那么第二个他们日常出行卖了菜之后也可以提升。
[00:48:12] 他们的生活质量大家觉得可以吗？
[00:48:15] 这样这个例子不就写完了吗？
[00:48:18] 非常的简单啊，
[00:48:20] 大家来看一下，
[00:48:21] 叫做背篓专列，
[00:48:22] 这是主体下面它的对策就是干了这样一件事情。
[00:48:27] 下面有什么影响？
[00:48:28] 对于居民有影响，
[00:48:30] 那么对于居民有影响也就可以了，
[00:48:33] 行行吗？
[00:48:33] 下面你可以对这个例子做一个点评，
[00:48:36] 我反复的给大家说了点评。
[00:48:39] 基本上就是点评一个影响，
[00:48:41] 那么这个背篓专列是微观的点评，
[00:48:44] 把它上升到宏观的影响，
[00:48:47] 宏观的影响就是在谈硬设施。
[00:48:50] 怎么样？
[00:48:50] 对于社会治理的一个重要性，
[00:48:54] 那么下面最后一句要写什么？
[00:48:57] 要进行一个首尾。
[00:48:59] 呼应我给大家说过首尾呼应应该怎么呼应？
[00:49:03] 一共有几种方案？
[00:49:05] 第一个可以增加句子。
[00:49:07] 那么，
[00:49:08] 第二个可以改写句子，
[00:49:10] 第三个可以调换顺序，
[00:49:13] 那么所谓的首尾呼应，
[00:49:15] 也就是断尾句和断首句要首尾呼应。
[00:49:19] 断首句叫坚实稳固的硬设施，
[00:49:22] 筑牢社会治理筑谷。
[00:49:23] 那么，
[00:49:24] 断尾句呢？
[00:49:25] 也就是你加一句话，
[00:49:26] 它让我们更加坚信，
[00:49:28] 你不用这句话也可以，
[00:49:30] 你可以写成复兴路上也是没有问题的。
[00:49:33] 或者进入新时代也是没有问题的，
[00:49:36] 下面坚实稳固的硬设施，
