[00:00:00] 痛苦痛苦的哀愁，
[00:27:03] 整个的材料就是和我们每件小事，
[00:27:07] 这个对策最直接相关，
[00:27:09] 而且关联度最能自圆其说的。
[00:27:13] 是前面的。
[00:27:15] 就是一老一幼是前面的青年，
[00:27:18] 是前面的特殊群体，
[00:27:20] 还是后面的什么理念美好？
[00:27:23] 生活环境与幸福生活是哪一个？
[00:27:25] 各位，
[00:27:26] 你就想着袁东老师跟你说了干什么？
[00:27:29] 然后呢？
[00:27:29] 怎么干？
[00:27:30] 干哪个方面？
[00:27:31] 谁来干？
[00:27:32] 我觉得是前面是。
[00:27:33] 是更直接，
[00:27:34] 是更纯粹，
[00:27:35] 对吧？
[00:27:36] 好了，
[00:27:36] 那我们现在要求大家给老师写下来，
[00:27:39] 请问我们的。
[00:27:41] 分论点，
[00:27:41] 它的模式最完整的一个模式应该是什么？
[00:27:45] 它让我们写成我们的分论点最重要的应该是总论点。
[00:27:51] 加上对策，
[00:27:52] 再加上一个影响，
[00:27:53] 大家能够同意吗？
[00:27:55] 好了，
[00:27:56] 这个总论点，
[00:27:57] 请问大家一下是指什么？
[00:27:59] 总论点可以写标题的前半句，
[00:28:03] 标题的前半句请问一下是在说什么？
[00:28:07] 是不是在说办好？
[00:28:10] 民生。
[00:28:13] 小事啊，
[00:28:13] 大家能够同意吗？
[00:28:15] 办好民生小事好，
[00:28:17] 我再问大家一下，
[00:28:19] 在题干当中，
[00:28:20] 刚才我们有一个伏笔，
[00:28:22] 就是看到这一个。
[00:28:24] 你觉得这句话适不适合办好民生小事？
[00:28:28] 这句话是不是和办好民生小事就是起了一个解释说明的作用。
[00:28:34] 他明明说了全龄友好型城市全龄，
[00:28:38] 请问能不能包含老人，
[00:28:40] 小孩，
[00:28:41] 青年，
[00:28:41] 还有特殊群体？
[00:28:43] 完全是可以的，
[00:28:44] 所以这句话大家觉得它在整个这五段材料当中有没有一种总领的感觉？
[00:28:52] 有大家就给老师打个，
[00:28:53] 有没有就打个没有，
[00:28:55] 我看一下大家的判断，
[00:28:56] 你会发现它完全是有一个总领的判断，
[00:28:59] 这个时候我们就以这句话为我们的总领句也就可以了。
[00:29:03] 大家觉得可以吧？
[00:29:05] 好，
[00:29:05] 那我最好呢，
[00:29:06] 也把它写进去，
[00:29:07] 万无一失，
[00:29:08] 我在总论点里面可以多写几句话，
[00:29:11] 大家一起写。
[00:29:12] 建设全龄友好型城市。
[00:29:15] 建设。
[00:29:18] 全零。
[00:29:22] 友好型。
[00:29:25] 城市。
[00:29:27] OK，
[00:29:27] 现在我有一个小小的疑问啊，
[00:29:29] 如果在考试的时候，
[00:29:31] 我真的就没写这句话，
[00:29:33] 请问会不会影响我的分数？
[00:29:36] 各位其实也不会影响的，
[00:29:37] 你不用担心，
[00:29:38] 我只是为了以防万一，
[00:29:40] 把它给大家写上去啊，
[00:29:42] 把最重要的词我踩到了。
[00:29:43] 下面我要求大家把三个分论点给老师一起写下来，
[00:29:48] 第一个分论点，
[00:29:49] 请问阅卷的时候他要看到最重要的关键词。
[00:29:53] 是什么东西？
[00:29:55] 是不是叫一老一幼啊？
[00:29:58] 第二个分论点在阅卷的时候，
[00:30:00] 他要看到的最重要的关键词是什么？
[00:30:03] 是不是就是在说青年啊？
[00:30:05] 第三个分论点，
[00:30:07] 他要说的最重要的关键词是什么？
[00:30:10] 是不是就是在说特殊？
[00:30:12] 群体啊，
[00:30:13] 好当我们把它写完了之后，
[00:30:16] 我就需要大家把它变成一个对策，
[00:30:19] 这个对策就是加上动词要。
[00:30:22] 聚焦一老一幼。
[00:30:26] 大家一起把它搞定，
[00:30:28] 要聚焦一老一幼，
[00:30:30] 或者要关爱一老一幼，
[00:30:32] 那么下面就要。
[00:30:33] 关注青年或者要关爱青年需求，
[00:30:37] 哎，
[00:30:38] 我稍微把它处理的对账工整一点，
[00:30:42] 还有要。
[00:30:43] 加一个动词，
[00:30:44] 守护特殊群体，
[00:30:46] 稍微的把它对账一下，
[00:30:48] 当然你不对账也无所谓，
[00:30:50] 现在。
[00:30:51] 我问大家一下，
[00:30:52] 这一步写到了对策，
[00:30:54] 对策之后加一个影响，
[00:30:56] 大家觉得加个影响行不行？
[00:30:58] 你觉得我们给这些老人和孩童提供了托育中心，
[00:31:04] 提供了啊食堂，
[00:31:05] 提供了啊综合体，
[00:31:07] 让他们下棋。
[00:31:08] 得到的结果是什么？
[00:31:10] 得到的结果能不能让老人，
[00:31:12] 让幼儿能够给老师想到哪个词？
[00:31:15] 就是你上学也方便了，
[00:31:16] 你养老也方便了，
[00:31:18] 你吃饭也方便了，
[00:31:19] 你下棋也方便了。
[00:31:21] 你看大妈跳场跳广场舞也方便了，
[00:31:23] 这个时候你会感觉自己怎么样哎？
[00:31:25] 有的同学写出来一个幸福，
[00:31:27] 我觉得是可以的。
[00:31:29] 所以大家把幸福给老师打出来。
[00:31:32] 好了，
[00:31:32] 那么这个时候我就把它前面加一个动词，
[00:31:36] 后面加一个尾巴，
[00:31:38] 一般我们就写成筑牢。
[00:31:40] 幸福底线，
[00:31:41] 大家觉得可以不？
[00:31:44] 好了，
[00:31:44] 我就觉得可以了，
[00:31:46] 那么我再问大家一下，
[00:31:48] 当我们这个城市能够把青年的很多的需求都关注好了。
[00:31:53] 哎，
[00:31:53] 就是你在我们这个城市，
[00:31:55] 我们首先能够解决你的就业，
[00:31:57] 另外呢，
[00:31:57] 我们这个城市有很多软性的服务啊，
[00:32:00] 这些服务呢，
[00:32:01] 就像你们周末没有事情的时候，
[00:32:03] 可以在北京去爬长城。
[00:32:05] 去游故宫可以在北京去听周杰伦的演唱会去，
[00:32:09] 可以在北京呢去哎，
[00:32:10] 看话剧可以在北京呢去见很多很多的大明星去奥森公园去奥体中心。
[00:32:17] 去跑步，
[00:32:17] 去锻炼，
[00:32:18] 请问这个对于我们这个对如果对于我们这个城市本身有没有好处，
[00:32:24] 对于我们这个城市本身？
[00:32:26] 其实也是有好处的吧，
[00:32:28] 对于我们这个城市，
[00:32:30] 会让我们这个城市怎么样激活城市？
[00:32:34] 激活城市的动能，
[00:32:35] 大家觉得行吗？
[00:32:36] 你一个城市如果没有年轻人的话，
[00:32:39] 这个城市就完蛋了，
[00:32:41] 所以你们现在如果决定去哪个城市就一句话，
[00:32:45] 就看看这个城市。
[00:32:46] 哎，
[00:32:46] 他有没有年轻人？
[00:32:47] 年轻人愿不愿意留下来？
[00:32:49] 为什么现在那么多人唱衰东北啊？
[00:32:52] 不就是东北的年轻人都不愿意留在东北了吗？
[00:32:55] 但是。
[00:32:55] 其实不只是东北，
[00:32:57] 你会发现很多城市现在都在留不住年轻人是吧？
[00:33:01] 好了，
[00:33:02] 我们大家下再来看一下特殊群体。
[00:33:05] 各位，
[00:33:05] 你觉得就是我们这个城市，
[00:33:07] 如果说关注了这些特殊群体，
[00:33:10] 它对这些特殊群体有什么好处？
[00:33:12] 如果你现在申论分数不太高，
[00:33:14] 然后呢，
[00:33:15] 我就亲自给你打个电话，
[00:33:17] 我说我今天晚上给你打电话。
[00:33:19] 哎呦，
[00:33:19] 然后呢？
[00:33:20] 就是就是哎呀，
[00:33:21] 我好好给你一对一的辅导一下，
[00:33:24] 你会心里面感觉到一种什么样的感觉？
[00:33:27] 是不是稍微有一点点温暖的感觉啊，
[00:33:31] 所以这个时候就能够传递。
[00:33:34] 城市。
[00:33:36] 暖意哎，
[00:33:37] 也就是可以了，
[00:33:38] 传递城市暖意好，
[00:33:39] 我现在问大家一下，
[00:33:41] 就是在考试的时候哎，
[00:33:43] 如果说我这几个影响写的，
[00:33:46] 就和袁东老师不一样。
[00:33:48] 请问大家下能不能得分哪位同学可以直接告诉我，
[00:33:52] 如果在考试的时候我就是写的和东哥不一样，
[00:33:55] 我就是有反骨就不想写他和他的一样。
[00:33:59] 没有问题，
[00:33:59] 依然可以得高分，
[00:34:01] 大家尽管放心啊，
[00:34:02] 但是在考试的时候，
[00:34:03] 如果我的这个对策一老一幼青年需求特殊群体和院东老师写的不一样。
[00:34:09] 请问还有没有能得高分？
[00:34:11] 那就相对来讲非常的难了，
[00:34:13] 现在听懂了吗？
[00:34:14] 还有一个我问大家一下，
[00:34:16] 如果这个影响，
[00:34:17] 我真的想不出来的话，
[00:34:18] 能不能从你兜里面给老师想几句？
[00:34:21] 万能的影响，
[00:34:22] 我之前给大家储备了几个万能的影响，
[00:34:25] 你们每个人打一句话，
[00:34:26] 在评论区，
[00:34:27] 我看大家会打出什么？
[00:34:29] 就是办好民生小事，
[00:34:31] 建设全龄友好型城市，
[00:34:33] 要聚焦一老一幼，
[00:34:35] 共创美好未来破化。
[00:34:37] 啊，
[00:34:37] 谱写发展新篇薄画啊，
[00:34:39] 美好蓝图啊，
[00:34:40] 谱写发展新篇，
[00:34:41] 开创事业新群，
[00:34:43] 这些都是可以的，
[00:34:44] 听懂了吗好？
[00:34:45] 好了，
[00:34:46] 这个时候我们就把分论点呢，
[00:34:48] 全部都给大家找齐了。
[00:34:50] 请问这个分论点，
[00:34:52] 你们告诉我它是在说什么？
[00:34:54] 这个分论点，
[00:34:55] 它是在说什么？
[00:34:56] 这个分论点，
[00:34:57] 它是在说的，
[00:34:58] 谁来干？
[00:34:59] 还是在说的呃，
[00:35:00] 就是怎么干？
[00:35:01] 还是在说的干哪个方面？
[00:35:04] 有没有同学可以告诉我是在说的，
[00:35:06] 谁来干干哪个方面？
[00:35:08] 还是在说怎么干？
[00:35:10] 其实上是说的谁来干啊，
[00:35:12] 就是就是干哪个方面就是一老一幼方面，
[00:35:15] 青年方面特殊群体方面，
[00:35:17] 但是本质上。
[00:35:18] 他用的是主体分析法。
[00:35:21] 好了好了，
[00:35:22] 这个时候我们问大家一下就开始框架打完了，
[00:35:26] 要写开头了。
[00:35:27] 大家拿到这个开头，
[00:35:29] 觉得脑袋空白吗？
[00:35:30] 脑袋空白的话，
[00:35:31] 应该记住袁东老师站在你身后，
[00:35:33] 像个大哥哥一样说说什么？
[00:35:35] 以后你脑袋空白的时候说一个数字叫做四这个四，
[00:35:39] 第一句话要写什么？
[00:35:41] 是不是要写一个名言警句啊？
[00:35:43] 第二句话要写什么？
[00:35:45] 第二句话要写一个影响啊，
[00:35:47] 第三句话要写什么？
[00:35:49] 第三句话要写过渡句啊，
[00:35:51] 第四句话要写总论点啊。
[00:35:53] 大家现在同意吗？
[00:35:55] 请问大家一下这个名言警句应该写哪一个名言警句？
[00:36:00] 有没有同学能够告诉我？
[00:36:02] 这个名言警句，
[00:36:03] 我们是从题干当中直接去写，
[00:36:06] 还是从材料当中直接去写，
[00:36:08] 还是从我们自身的积累去写？
[00:36:11] 记住了，
[00:36:12] 这个时候题干当中有我们靠谱的话，
[00:36:14] 就直接用题干当中的这句话也就可以了，
[00:36:18] 我们就是要把每件小事都做好，
[00:36:20] 让阳光照亮城市的每一个角落。
[00:36:22] 就把这句话哎给我写在这也就行了，
[00:36:26] 但是如果你非要想把这句话。
[00:36:28] 给我加一句话的话，
[00:36:30] 大家可以加哪句话，
[00:36:32] 你可以写，
[00:36:33] 我们就是要把每一件小事都做好，
[00:36:36] 让阳光照亮城市的每一个角落。
[00:36:39] 这一句话为我们的工作指明了方向，
[00:36:42] 大家觉得可以不就，
[00:36:44] 如果我想加一句废话，
[00:36:45] 你觉得可以不？
[00:36:47] 当然是可以的。
[00:36:48] 啊，
[00:36:48] 这句话呢，
[00:36:49] 有非对我们的工作呢，
[00:36:51] 指明了方向没有问题，
[00:36:53] 好了，
[00:36:53] 我问大家一下第二句话。
[00:36:55] 如果我不想写，
[00:36:57] 影响我在影响之前想加一个比较好的背景句，
[00:37:02] 大家觉得可以不？
[00:37:04] 加一个比较好的背景句可以不？
[00:37:06] 那当然是没有问题的，
[00:37:08] 这个背景句我有没有提前给大家准备好，
[00:37:11] 让你们背的？
[00:37:12] 这个有没有万能的背景句来大家来看一下这个万能的背景句，
[00:37:18] 比如说。
[00:37:18] 这句话你觉得可不可以直接用？
[00:37:22] 就是叫当前我国经济社会发展进入新阶段，
[00:37:27] 新时代，
[00:37:28] 新征程上。
[00:37:29] 解决大家把这个叉叉给老师换成两个词带入进去，
[00:37:33] 形成我们的大作文，
[00:37:35] 请问大家一下，
[00:37:36] 这个叉叉要变成哪两个词？
[00:37:39] 就是做好为民小事，
[00:37:41] 是不是？
[00:37:42] 写成。
[00:37:43] 民生也就可以了哎，
[00:37:45] 我问大家下，
[00:37:46] 如果我们不想用做好民生小事，
[00:37:49] 我不知道他是在说民生，
[00:37:52] 我就直接写办好为民小事。
[00:37:54] 直接用标题的前半句，
[00:37:57] 大家觉得可以不？
[00:37:59] 办好为民小事，
[00:38:00] 觉得可以不也是可以的啊，
[00:38:02] 这两种方式大总分没有那么死啊，
[00:38:04] 只要把它搞定了也就可以了，
[00:38:07] 大家看第二句这个背景句也就写完了。
[00:38:09] 好了，
[00:38:10] 我们大家下背景句写完了之后要写什么了？
[00:38:14] 哪位同学可以告诉我？
[00:38:16] 我们背景句要写完了之后，
[00:38:18] 咱们可以加一句影响。
[00:38:20] 这个影响，
[00:38:21] 请问我要写的是？
[00:38:23] 政治的，
[00:38:24] 经济的，
[00:38:24] 文化的，
[00:38:25] 社会的，
[00:38:26] 生态的，
[00:38:26] 哪一个方面的影响哪位同学可以告诉我，
[00:38:30] 是不是就是民生这一块的影响啊？
[00:38:33] 民生的影响已经背了的同学就打个背了，
[00:38:36] 没有背的同学就给老师打个帮帮帮，
[00:38:39] 我就看有多少同学就这么不自律。
[00:38:42] 大家来看一下你，
[00:38:43] 实在不行你记忆力差，
[00:38:45] 你背一句也行啊，
[00:38:46] 是吧？
[00:38:46] 你就可以直接办好为民小事，
[00:38:48] 事关人民群众的根本利益，
[00:38:50] 事关政府能力和治理水平的提升。
[00:38:53] 事关社会主义现代化建设事业的成败，
[00:38:55] 办好民生小事是建设以民为本理念的必然要求，
[00:38:59] 是维护社会和谐稳定的建设支撑，
[00:39:01] 是夯实国家治理根基的战略部署。
[00:39:03] 我就要求大家，
[00:39:05] 你如果记忆力不好，
[00:39:06] 这几天很多同学来找我说老师，
[00:39:08] 我就记忆力不好，
[00:39:10] 我背三组背不下来，
[00:39:11] 咱先背一组行吗？
[00:39:13] 各位求求你了，
[00:39:14] 背一组，
[00:39:14] 如果你背完这一组，
[00:39:16] 你觉得哎呦，
[00:39:17] 我的妈呀哎，
[00:39:18] 你觉得万一我只背一组和别人重复了怎么办？
[00:39:21] 同学们，
[00:39:22] 这时候怎么办？
[00:39:23] 你就让你的豆包哥哥，
[00:39:26] 你就让你的deep seek弟弟，
[00:39:28] 然后呢，
[00:39:28] 帮你把比如说你背的第三句，
[00:39:31] 你就让这哥俩帮你。
[00:39:33] 在这个基础上，
[00:39:34] 个性化一下行吗？
[00:39:36] 求求你们了好吗？
[00:39:37] 帮他个性化一下好吧，
[00:39:39] 好了再接着给大家看。
[00:39:41] 大家来看一下，
[00:39:42] 这个时候我们就把它这一句话写出来了，
[00:39:45] 当你写完了，
[00:39:46] 影响之后，
[00:39:47] 第三句话写什么呢？
[00:39:49] 是不是写过渡句了？
[00:39:51] 过渡句我们一般用一句名言警句就可以搞定，
[00:39:54] 请问同学们，
[00:39:56] 你们这个时候用的是哪一句名言警句桥在评论区？
[00:40:00] 哎，
[00:40:00] 把你背的那一句再写下来，
[00:40:03] 让我看一下啊。
[00:40:04] 雄关漫道真如铁，
[00:40:05] 而今漫步从同月，
[00:40:07] 民生无小事，
[00:40:08] 一枝一叶总关情，
[00:40:09] 民生无小事，
[00:40:10] 枝叶总关情，
[00:40:11] 你看。
[00:40:12] 这两个同学背的完全不一样，
[00:40:14] 但是你觉得哪个同学背的好啊？
[00:40:16] 肯定是民生无小事，
[00:40:18] 置业总关情啊，
[00:40:19] 很多同学竟然背了一个民生无小事，
[00:40:21] 一枝一叶总关情，
[00:40:23] 我的妈呀嗯。
[00:40:24] 哎呀，
[00:40:24] 你要背你就好好背一下行吗？
[00:40:26] 治国有常而利民为本，
[00:40:28] 这些都是可以的，
[00:40:30] 你想想你考民生的概率多么大，
[00:40:32] 你就把这个名言警句准备好了，
[00:40:35] 白白加个一到两分。
[00:40:36] 这不比你学数学学一年还要效果还好啊，
[00:40:39] 你们还天天学数量关系，
[00:40:41] 学了有什么用啊，
[00:40:42] 考试的时候连题目都看不懂，
[00:40:45] 还天天背那些公式。
[00:40:46] 你们的问题是连题目都看不懂，
[00:40:48] 就是很多同学数量关系，
[00:40:50] 看了三分钟，
[00:40:51] 不知道题目在说什么，
[00:40:52] 就这样还天天跟我说，
[00:40:54] 我要学数量，
[00:40:54] 我要学数量，
[00:40:55] 你学你。
[00:40:56] 你学什么呀？
[00:40:57] 好吗？
[00:40:57] 你行测不到65，
[00:40:59] 你学数量有什么意义？
[00:41:01] 好的。
[00:41:01] 大家再来看一下这个总论点应该怎么写？
[00:41:06] 总论点就是要把标题给我。
[00:41:09] 把它给我进行一个丰富好，
[00:41:11] 那大家来看一下，
[00:41:12] 我全部都给大家写完了，
[00:41:14] 大家来看一下这个题目的结构，
[00:41:17] 我们来回扣一下。
[00:41:18] 第一句话，
[00:41:19] 请问大家一下，
[00:41:20] 他是在说什么？
[00:41:21] 是不是在说名言警句？
[00:41:23] 这个名言警句我就直接用了题干当中的名言警句。
[00:41:27] 好了，
[00:41:27] 第二句话，
[00:41:28] 从这个地方到这个地方，
[00:41:30] 请问大家一下，
[00:41:32] 我是在说什么？
[00:41:33] 我是不是说了一个背景句？
[00:41:35] 这个背景句我就用了，
[00:41:37] 东哥给我的一个万能的素材好，
[00:41:40] 大家从这个地方到这个地方，
[00:41:42] 请问大家一下他是在说什么？
[00:41:44] 是不是说了一个影响这个影响，
[00:41:47] 我也是用了东哥给我的万能的素材好了，
[00:41:50] 从这个地方到这个地方，
[00:41:52] 请问大家一下。
[00:41:53] 他是在说什么？
[00:41:55] 是不是在说的一个名言警句？
[00:41:57] 这个名言警句也是东哥给我准备的万能的素材，
[00:42:01] 那么接着从。
[00:42:02] 从这个地方到这个地方，
[00:42:04] 请问大家一下，
[00:42:05] 他是不是在说一个总论点？
[00:42:07] 这个总论点就是把标题改写成一句话吧？
[00:42:11] 这个标题办好文明小事，
[00:42:12] 我把它写加一句废话，
[00:42:14] 矢志不渝加一个形容词，
[00:42:16] 然后呢，
[00:42:17] 让不同年龄阶段的市民找到自己的位置，
[00:42:20] 实现自己的价值。
[00:42:21] 让照亮城市角落稍微改写一下也就可以了，
[00:42:24] 大家觉得可以过的话，
[00:42:26] 给老师打个过，
[00:42:27] 你看绝大多数时候你并不是论文的创造者，
[00:42:31] 你呢？
[00:42:31] 就像农夫山泉一样。
[00:42:32] 是论文的搬运工，
[00:42:34] 而且我请问大家一下，
[00:42:36] 如果大家在考试的时候，
[00:42:38] 你们真的就能够写出这样的开头，
[00:42:41] 你觉得满意还是不满意？
[00:42:43] 哪位同学可以告诉我，
[00:42:45] 你觉得满意还是不满意，
[00:42:47] 我觉得应该满意了吧，
[00:42:49] 但是有个别同学呢。
[00:42:50] 他呢，
[00:42:51] 就是可能会骂我，
[00:42:52] 他说老师，
[00:42:53] 我想个性化，
[00:42:54] 能不能给我个性化好，
[00:42:56] 我给大家个性化一下，
[00:42:58] 大家觉得这几句话当中。
[00:43:00] 最容易个性化的，
[00:43:01] 你觉得是哪一句话？
[00:43:03] 能不能告诉我？
[00:43:04] 我们本来最后一句第五句总论点已经个性化了。
[00:43:09] 我反复给大家说过，
[00:43:11] 这个影响其实是可以个性化的，
[00:43:14] 这个影响哎，
[00:43:15] 我要个性化的话，
[00:43:17] 我在前面的理论课当中给大家讲了一个。
[00:43:21] 个性化最好的个性化是用什么进行个性化？
[00:43:24] 哪位同学可以告诉我，
[00:43:26] 就是如果个性化的话，
[00:43:28] 你就记住了。
[00:43:29] 大家把举例子给老师打在评论区，
[00:43:32] 哎，
[00:43:32] 这个是非常重要的举例子，
[00:43:34] 各位举什么例子呢？
[00:43:36] 我们你这里面不就是跟我们说办好民生小事，
[00:43:39] 它带来的重要的影响吗？
[00:43:41] 那么，
[00:43:42] 办好民生小事，
[00:43:43] 我就可以举几个民生小事的例子。
[00:43:46] 这些民生小事到底又是对我们整个城市有什么影响？
[00:43:51] 各位现在认真的给老师想一下，
[00:43:54] 我们刚才给大家在材料当中简单过的例子，
[00:43:58] 有什么例子，
[00:43:59] 哪位同学可以告诉我？
[00:44:01] 在材料当中，
[00:44:03] 我懵懵懂懂的记得断首句，
[00:44:06] 就有一个食堂，
[00:44:08] 大家同意不？
[00:44:09] 这个食堂还是社区的食堂，
[00:44:12] 就是老人和小孩都可以去吃的好了，
[00:44:15] 除了食堂到下面还有什么专门针对小孩，
[00:44:18] 还搞了什么？
[00:44:19] 还搞了一个托育中心，
[00:44:22] 大家还记得吧，
[00:44:23] 这个不是我自己编的吗？
[00:44:26] 除了。
[00:44:27] 托育中心后来呢，
[00:44:28] 还针对老人，
[00:44:30] 还有一个什么，
[00:44:31] 还有一个啊，
[00:44:32] 智能化改造，
[00:44:33] 比如说就是。
[00:44:35] 智能智能守护哎，
[00:44:37] 智能改造都是可以的，
[00:44:39] 好了，
[00:44:40] 接着我们还对谁，
[00:44:42] 还有对于青年有好处吧，
[00:44:44] 对于青年。
[00:44:46] 我们给青年提供了一些服务，
[00:44:48] 或者提供了一些资金，
[00:44:50] 反正大家随便想几个关键词也就行了，
[00:44:54] 你这个例子可以是以偏概全的。
[00:44:56] 可以说就是比如说对青年本来是做了很多服务，
[00:45:00] 但是只要其中有一个资金，
[00:45:01] 你就只写一个资金，
[00:45:03] 这个不会算，
[00:45:04] 你偏本来举例子在大组分当中就是可以以偏概全的。
[00:45:07] 但是出现了四个例子，
[00:45:09] 我们应该怎么把它们形成一句话，
[00:45:13] 哪位同学可以告诉我？
[00:45:15] 这个时候我教你三招，
[00:45:17] 一般出现三个例子，
[00:45:19] 它就能够形成一个排比句，
[00:45:21] 你们觉得如果我们在写。
[00:45:24] 作文的时候是用两个例子和用三个例子，
[00:45:27] 如果你真的都能够用出来的话，
[00:45:30] 你觉得是用三个例子比较好，
[00:45:32] 还是用两个例子比较好？
[00:45:35] 是不是用三个例子比较好？
[00:45:37] 为什么用三个例子比较好？
[00:45:39] 哪位同学可以告诉我，
[00:45:41] 是因为只要你有了三个例子，
[00:45:44] 大概率就能够形成排比，
[00:45:46] 排比就能够产生冲击啊。
[00:45:48] 就是这个意思，
[00:45:50] 就像32字富民经一样好吧，
[00:45:53] 所以那但是三个例子。
[00:45:56] 我们应该怎么把它连接起来？
[00:45:59] 哪位同学可以告诉我三个例子，
[00:46:01] 你用步枪的话，
[00:46:02] 用手枪是连不起来的，
[00:46:04] 我们应用AK 47。
[00:46:06] AK 47大家一起写这个经常用的句数，
[00:46:10] 无论。
[00:46:11] 还有一个还是？
[00:46:14] 还有一个易货，
[00:46:16] 现在大家能够听懂吗？
[00:46:18] 各位，
[00:46:19] 那我这个时候又出现了一个问题，
[00:46:22] 这时候哎，
[00:46:23] 你说了一个例子，
[00:46:24] 两个例子，
[00:46:25] 三个例子，
[00:46:26] 还有四个例子。
[00:46:27] 如果是四个例子，
[00:46:29] 应该用什么连词？
[00:46:31] 我们总不能用，
[00:46:32] 无论还是又是抑或吧，
[00:46:34] 我们可以。
[00:46:35] 用从什么什么到什么什么还，
[00:46:39] 然后呢，
[00:46:40] 这是两个例子，
[00:46:42] 再写一个从什么什么？
[00:46:44] 要什么什么，
[00:46:45] 现在大家能够清晰了吗？
[00:46:48] 那我今年的话呢？
[00:46:49] 为了防止大家就是骂我，
[00:46:51] 我就直接把个性化和就是。
[00:46:54] 简单化都给大家覆盖到位，
[00:46:56] 大家来看一下我们应该怎么写这个例子，
[00:46:59] 首先我们有一个社区食堂，
[00:47:02] 社区食堂。
[00:47:02] 是让老人吃饭的地方，
[00:47:05] 所以大家一起写从。
[00:47:07] 社区。
[00:47:09] 食堂。
[00:47:12] 到烟火长队。
[00:47:16] 烟火长队一起把它搞定到。
[00:47:21] 到什么托育中心的孩童欢笑。
[00:47:25] 托运。
[00:47:27] 中心到。
[00:47:30] 孩童。
[00:47:34] 欢笑一起把它搞定。
[00:47:37] OK，
[00:47:37] 然后还有谁从？
[00:47:41] 居家养老的智能守护。
[00:47:46] 不就是居家养老。
[00:47:49] 的智能。
[00:47:55] 收获。
[00:47:58] 到创业。
[00:48:03] 青年。
[00:48:05] 的资金。
[00:48:11] 十元。
[00:48:13] 一起把它搞定。
[00:48:16] 好了，
[00:48:16] 我们这个例子很多同学说老师我不会写啊，
[00:48:20] 例子最重要的是什么？
[00:48:22] 大家一起写主体，
[00:48:24] 再加上什么？
[00:48:25] 再加上一个对策，
[00:48:26] 再加上什么，
[00:48:27] 再加上一个影响，
[00:48:29] 如果你不会写，
[00:48:30] 你就多背几个这种词，
[00:48:31] 到时候直接换也就可以了，
[00:48:33] 大家一起写，
[00:48:34] 主体要出现。
[00:48:35] c是将一桩桩。
[00:48:41] 这个叫为民小事，
[00:48:43] 或者是民生小事。
[00:48:46] 民生小事。
[00:48:49] 做实。
[00:48:52] 还有一个叫做细。
[00:48:55] 它对谁有好处，
[00:48:56] 会产生什么影响，
[00:48:58] 大家告诉我会产生什么影响，
[00:49:00] 是不是对于我们整个城市有影响，
[00:49:03] 对于整个城市你就。
[00:49:05] 对，
[00:49:05] 会让我们城市就是照亮了我们把它稍微改写一下，
[00:49:10] 用点滴暖意。
[00:49:11] 用点滴。
[00:49:14] 暖意。
[00:49:17] 用点滴暖意汇聚成城市幸福的光芒。
[00:49:22] 汇聚成。
[00:49:24] 城市。
[00:49:27] 幸福的光芒。
[00:49:30] 幸福的。
[00:49:33] 光芒。
[00:49:35] 光芒一起把它搞定，
[00:49:37] 大家觉得这样可以吧？
[00:49:40] 大家觉得可以吗？
[00:49:41] 各位可以的话，
[00:49:42] 给老师打个一，
[00:49:43] 我再给大家说一下啊，
[00:49:45] 就这种个性化的话呢，
[00:49:47] 它不是说我不想教大家。
[00:49:48] 就是这个，
[00:49:49] 它有一个慢慢的过程，
[00:49:51] 但是你先把它学会了，
[00:49:53] 配会了，
[00:49:53] 看会了，
[00:49:54] 你就会越来越好了，
[00:49:56] 行吗？
[00:49:56] 哎，
[00:49:56] 就是可以了，
[00:49:57] 这样的话呢，
[00:49:58] 你们以后也不会说模板了，
[00:50:00] 咱们这个其实也不叫模板，
[00:50:02] 因为咱给大家准备了很多种。
[00:50:04] 大家看这个开头，
[00:50:05] 你觉得如果在考试的时候，
[00:50:08] 你能够写出这种开头，
[00:50:09] 你还算满意吗？
[00:50:10] 兄弟们就实事求是啊，
[00:50:12] 没关系。
[00:50:13] 就是如果能够写成这种开头的话呢，
[00:50:16] 我觉得也挺好，
[00:50:17] 好吧，
[00:50:17] 也也挺好，
[00:50:18] 但是呢，
[00:50:18] 如果写不出来的话，
[00:50:20] 咱们就先用。
[00:50:21] 这种开头我问大家一下，
[00:50:23] 这种开头能不能拿到一乐分？
[00:50:25] 大家觉得能拿到的话给老师打个一不能拿到的话给老师打个二。
[00:50:30] 其实这种开头绝对是拿到一论文的，
[00:50:33] 只是你们现在吧，
[00:50:34] 你们很多人吧，
[00:50:36] 都有点渣，
[00:50:36] 然后呢，
[00:50:37] 第一次听东哥给你讲这个的时候呢，
[00:50:40] 就是觉得东哥是。
[00:50:41] 小甜甜，
[00:50:42] 然后呢？
[00:50:42] 就是学会了之后呢？
[00:50:44] 马上就觉得东哥是袁夫人了，
[00:50:46] 是人都是如此，
[00:50:47] 我也理解，
[00:50:48] 毕竟我收了你们99块钱，
[00:50:50] 我就要承担这所有的骂名。
[00:50:53] 好吧，
[00:50:53] 作为一个曾经的你们心中的小天才，
[00:50:56] 到现在你们口中的袁夫人，
[00:50:58] 我也都能够理解这些行不行，
