[00:00:00] 看回放的同学呢，
[00:29:15] 流程。
[00:29:18] 还有一个服务，
[00:29:19] 你看你要拿不准，
[00:29:21] 你就全部写进去，
[00:29:22] 但是呢，
[00:29:23] 如果大家只用流程，
[00:29:24] 我觉得也没有问题，
[00:29:26] 你就写一个，
[00:29:27] 唯有。
[00:29:28] 用深化流程再造，
[00:29:29] 反正呢，
[00:29:30] 这种词呢，
[00:29:31] 大概对你写成什么样都是可以的，
[00:29:34] 有这个意思也就可以了。
[00:29:36] 好了，
[00:29:37] 我问大家一下，
[00:29:38] 这个技术我为了保证对账公正，
[00:29:41] 我再加一个加强。
[00:29:43] 技术赋能加一个顿号，
[00:29:45] 加强技术赋能，
[00:29:47] 你看我就尽量的还是用了，
[00:29:50] 就是材料当中的原词原句。
[00:29:53] 这样的话呢，
[00:29:54] 我跑题的概率呢，
[00:29:55] 就会小很多，
[00:29:56] 大家同意吧，
[00:29:57] 好了，
[00:29:58] 然后要谈影响，
[00:29:59] 你觉得它有什么影响？
[00:30:01] 他有什么印象？
[00:30:02] 是不是对于这个老胡女士的奶茶店是有影响的？
[00:30:07] 这个奶茶店如果用一个规范的表述。
[00:30:11] 请问大家下是哪一个规范的表述？
[00:30:14] 哪位同学可以告诉我？
[00:30:15] 奶茶店的话，
[00:30:17] 对于我们来讲，
[00:30:18] 是不是就是在说企业还有一个大家想纳税人指的是谁？
[00:30:24] 告诉我纳税人指的是民众，
[00:30:27] 或者是哎，
[00:30:28] 就是这个群众，
[00:30:29] 你就可以写才能对谁有好处啊？
[00:30:33] 才能提升。
[00:30:36] 对于企业，
[00:30:37] 它是便民的。
[00:30:39] 它是便民了是吧？
[00:30:40] 就是你到我们这个地方，
[00:30:43] 你都给我们延伸下来了，
[00:30:45] 接着对于我们企业是立企了。
[00:30:48] 的服务企业。
[00:30:50] 的服务。
[00:30:52] 还有一个体验。
[00:30:54] 现在大家能够清晰了吗？
[00:30:56] 到服务企业好了，
[00:30:58] 现在大家觉得可以过的话，
[00:31:00] 就给老师打个过。
[00:31:02] 各位像这种答案呢，
[00:31:03] 它在考试的时候，
[00:31:04] 它的答案确实不是唯一的，
[00:31:06] 我只需要大家，
[00:31:08] 如果你实在拿不准的话，
[00:31:09] 你就从材料当中找，
[00:31:11] 你可以多堆积几个对策。
[00:31:13] 是没有问题的，
[00:31:14] 这是一种比较讨巧的，
[00:31:16] 又保险的方式好了，
[00:31:17] 大家来看一下第五个资产段。
[00:31:20] 请问第五个自然段，
[00:31:22] 我看到把群众的事办好，
[00:31:24] 这个时候我要去把它进行一个解释，
[00:31:27] 是要到材料当中找哪一个要素？
[00:31:30] 哪位同学可以告诉我是不是到材料当中，
[00:31:34] 还是要找相关的对策好了，
[00:31:37] 那我们来看一下相关的对策有什么呢？
[00:31:40] 相关的对策从这个地方。
[00:31:43] 到这个地方。
[00:31:46] 大家看这个里边都是黑乎乎的，
[00:31:49] 打不开远光灯，
[00:31:51] 然后呢，
[00:31:51] 影响车辆行驶都是在说问题。
[00:31:55] 这个是在说问题，
[00:31:56] 这个是在说对策，
[00:31:58] 这个是在说对策，
[00:32:00] 请问这两个对策，
[00:32:02] 如果说我只保留一个。
[00:32:04] 是保留一还是保留二，
[00:32:06] 大家能不能告诉我？
[00:32:08] 就是让把群众的事办好，
[00:32:10] 我在这个过程当中要保留对策，
[00:32:12] 哪个说的比较宏观？
[00:32:14] 这个设立该窗口，
[00:32:15] 它只是一个其中的例子。
[00:32:18] 我觉得选择二可能更好一些，
[00:32:20] 大家同意吗？
[00:32:21] 所以这个里面聚焦极难筹判，
[00:32:24] 我先把它写下来。
[00:32:25] 聚焦。
[00:32:27] 急难除判，
[00:32:29] 这是一个对策，
[00:32:31] 聚焦急难。
[00:32:33] 筹判。
[00:32:34] 这个开设窗口呢，
[00:32:36] 待会在论证的时候可以把它当成例子写进去，
[00:32:40] 因为聚焦西单筹判呢，
[00:32:42] 它偏中观一些适合。
[00:32:44] 放在分论点里面去，
[00:32:46] 那么除了啊，
[00:32:47] 就是聚焦极难筹判，
[00:32:49] 他还干了什么事情？
[00:32:51] 他还督促。
[00:32:52] 是吧，
[00:32:53] 他还督查。
[00:32:55] 他还高度重视，
[00:32:57] 他还即支即办，
[00:32:58] 他还加班加点处理，
[00:33:01] 然后呢，
[00:33:02] 他怎么样，
[00:33:03] 他还推动加快办理。
[00:33:05] 他还呃实现了事事有着落，
[00:33:08] 件件有回音，
[00:33:10] 请问大家下这些东西代表什么？
[00:33:13] 这是过程一，
[00:33:15] 这是过程二，
[00:33:16] 这是过程三，
[00:33:17] 这是过程四，
[00:33:19] 这是过程五，
[00:33:20] 那么后来。
[00:33:21] 怎么样？
[00:33:22] 这是过程六，
[00:33:23] 这是过程七，
[00:33:24] 你有没有发现它实现了一个闭环，
[00:33:27] 大家能够同意吗？
[00:33:29] 就是你从你给我们反馈你的问题。
[00:33:32] 到最终我们给你解决，
[00:33:34] 就是给你着落，
[00:33:36] 给你回音，
[00:33:36] 它形成了一个闭环，
[00:33:38] 大家同意吗？
[00:33:39] 所以。
[00:33:40] 这种东西叫什么叫闭环？
[00:33:43] 这种东西叫落实，
[00:33:45] 当然如果你有其他的。
[00:33:48] 呃，
[00:33:48] 这种写的合情合理的也是可以的，
[00:33:51] 前面加一个动词叫优化闭环落实，
[00:33:54] 所以我们的分论点首先。
[00:33:57] 还是要把它写出来，
[00:33:59] 把群众的事办好。
[00:34:01] 把群众。
[00:34:03] 的是。
[00:34:06] 办好一起把它搞定。
[00:34:08] 好了，
[00:34:09] 大家写再点一下它的逻辑，
[00:34:12] 请问这个是属于就是起点过程还是终点？
[00:34:16] 哪位同学可以告诉我？
[00:34:19] 是不是这个东西最重要的三天就解决问题了，
[00:34:23] 我们强调的是一个效果呀。
[00:34:26] 也就是说，
[00:34:27] 把群众的事办好，
[00:34:28] 你就仔细理解一下，
[00:34:30] 他也是在说效果，
[00:34:31] 所以大家一起写是政务服务的。
[00:34:34] 是政务服务的成效标尺，
[00:34:38] 是政务服务。
[00:34:39] 到。
[00:34:42] 成效。
[00:34:44] 还有标尺一起给老师搞定。
[00:34:48] 好了，
[00:34:48] 然后再接着给我从内容逻辑上点透了之后，
[00:34:53] 内容上再给老师写一个。
[00:34:56] 怎么写？
[00:34:57] 唯有。
[00:34:59] 聚焦济南筹判，
[00:35:01] 把对策给我写进去。
[00:35:04] 唯有聚焦济南。
[00:35:07] 筹判一起把它搞定，
[00:35:10] 唯有聚焦济南筹判好了优化。
[00:35:15] 闭环。
[00:35:17] 落实一起把它搞定。
[00:35:21] 好了，
[00:35:21] 下面它有什么好处？
[00:35:23] 各位对谁有好处？
[00:35:25] 对我们基层政府有好处，
[00:35:27] 才能彰显基层治理的民生维度。
[00:35:30] 才能。
[00:35:32] 彰显。
[00:35:35] 七层。
[00:35:37] 治理的民生温度也就可以了，
[00:35:40] 现在觉得能够过的话就打个过，
[00:35:43] 如果你这个影响实在想不出来，
[00:35:46] 就构建发展新格局。
[00:35:47] 开创发现新局面，
[00:35:49] 然后呢，
[00:35:49] 就是共创美好未来，
[00:35:51] 播画美好蓝图，
[00:35:52] 就直接代替都是可以的，
[00:35:54] 但是这个对策，
[00:35:55] 你看我还是保险起见，
[00:35:57] 尽量用原词原句。
[00:35:59] 现在听懂了吗？
[00:36:00] 现在听懂了吗？
[00:36:02] 有的同学说老师这个分论点这么长吗？
[00:36:06] 我请问大家一下，
[00:36:07] 这个分论点我写这么长最。
[00:36:10] 重要的是要解决一个问题，
[00:36:12] 是指什么问题？
[00:36:14] 哪位同学可以告诉我？
[00:36:16] 哪位同学可以告诉我？
[00:36:17] 我要。
[00:36:18] 最重要的做的是保险问题，
[00:36:20] 你们现在认真的想一下，
[00:36:22] 就是在实际考试的过程当中，
[00:36:25] 你们有没有可能就真的？
[00:36:27] 不一定就说一把，
[00:36:29] 就把那个分论点最重要的那个词打准了。
[00:36:33] 是不是绝大多数同学大概率都会存在这种问题啊？
[00:36:37] 因为这个的话呢，
[00:36:39] 它在材料当中，
[00:36:40] 它没有一个非常规范的表述。
[00:36:42] 他只有这个尽责。
[00:36:45] 是一个规范的表述。
[00:36:47] 我只要把这个尽责抓到了，
[00:36:50] 但是如果我在考试的时候真的就没抓到呢，
[00:36:54] 我前面把它抓住，
[00:36:55] 我如果没有抓住。
[00:36:57] 这个流程服务呢？
[00:36:58] 那么也是可以的好吧，
[00:37:00] 我主要是给大家，
[00:37:01] 就是到最后了，
[00:37:03] 要给你一定保险，
[00:37:04] 因为你如果这个架构错了的话。
[00:37:07] 整个来讲就挂掉了好吧，
[00:37:09] 那么中间的话呢，
[00:37:10] 我为了让大家看到他们是对称的，
[00:37:13] 我就把这几个词呢少写了，
[00:37:15] 我现在给大家加上去。
[00:37:17] 好办事，
[00:37:17] 这个叫事办好，
[00:37:19] 现在能够听懂了吗？
[00:37:20] 你中间的这些分论点的话呢，
[00:37:23] 尽量的要把它做到对账公正。
[00:37:26] 其中你基本上来讲，
[00:37:28] 写成这样就没有问题了，
[00:37:30] 那这个地方尽量的把尽责给我替换一下。
[00:37:33] 因为今天有个同学呢，
[00:37:35] 把他的那个申论发给我了，
[00:37:37] 我看见他写了一个作为你，
[00:37:39] 其实把它写成尽责，
[00:37:40] 但是写成作为也没有问题。
[00:37:42] 这个地方写流程也没有问题，
[00:37:44] 但是材料当中本来还有一个服务，
[00:37:47] 你就把服务加上去，
[00:37:49] 其实你看稍微这样调整一下，
[00:37:51] 你就能够做到所谓的准确。
[00:37:53] 好吧，
[00:37:53] 你就能够做到所谓的准确好了，
[00:37:56] 我现在问大家一下这个分论点，
[00:37:59] 它最精彩的部分在什么地方？
[00:38:01] 你会发现这是我们题干当中给我们的分论点。
[00:38:07] 然后呢？
[00:38:08] 这个后面呢？
[00:38:09] 是材料当中对分论点的一个解释。
[00:38:13] 这是解释的，
[00:38:15] 是内容部分。
[00:38:17] 那么，
[00:38:18] 中间的这一个，
[00:38:19] 请问大家一下是在说什么？
[00:38:22] 能不能告诉我中间的这一个？
[00:38:25] 它是在说逻辑。
[00:38:26] 现在听懂了吗？
[00:38:28] 就是这种多主题的，
[00:38:30] 或者双主题的，
[00:38:31] 你比如说我们有一个更是吧，
[00:38:34] 或者说你说有一个递进的关系。
[00:38:38] 那我们这上面就如何体现它的逻辑关系全部在别人一看你的这个架构就完全能够看清晰了。
[00:38:46] 我现在讲清楚了吗？
[00:38:47] 同学们好了，
[00:38:49] 那么下面就给大家写一个开头，
[00:38:51] 大家拿到这个开头不会写了。
[00:38:54] 请问一下，
[00:38:54] 应该怎么办？
[00:38:55] 哎，
[00:38:56] 我一下子拿到这个开头不会写了，
[00:38:58] 袁东老师在考场上站在你身后像个大哥哥一样说一个数字，
[00:39:03] 这个数字。
[00:39:03] 应该是什么？
[00:39:05] 这个数字应该是四第一个叫名言警句，
[00:39:09] 第二个叫影响。
[00:39:10] 第三个是叫过渡句，
[00:39:14] 第四个是叫什么，
[00:39:16] 第四个是叫总论点。
[00:39:19] 大家能够同意吧，
[00:39:21] 好了，
[00:39:21] 大家来看一下这个名言警句，
[00:39:23] 你觉得应该怎么写？
[00:39:25] 你觉得这个名言警句应该怎么写？
[00:39:28] 我就直接把这三句话写上去，
[00:39:31] 然后再然后这三句话再做一句话，
[00:39:34] 点明它的主处，
[00:39:35] 这三句话为我们的政政务服务工作。
[00:39:38] 水平的方向，
[00:39:39] 那么这三句话那么啊体现着深刻的逻辑，
[00:39:43] 而这三句话啊就是蕴含着深刻的执政逻辑与为民的情怀。
[00:39:48] 随便点一句也就可以了，
[00:39:49] 你看我最重要的国考60%的人要跑题，
[00:39:53] 我只要不跑题，
[00:39:54] 我就能够战胜60%的人，
[00:39:56] 那当然很好了。
[00:39:57] 这是一句话，
[00:39:58] 这是一句话，
[00:39:59] 这是一句话，
[00:40:00] 是题干当中给的，
[00:40:01] 我写进来我就不会跑题，
[00:40:03] 下面这三句话看似朴素。
[00:40:04] 实则蕴含着深刻的执政逻辑与为民情怀。
[00:40:08] 大家觉得，
[00:40:09] 我这样一句话可以吗啊，
[00:40:11] 我自己的话呢，
[00:40:12] 实际上就只加了这一句话。
[00:40:14] 这句话大家可以形成一个模板，
[00:40:16] 是自己准备一个万能的，
[00:40:18] 这句话为我们的政务服务工作指明了方向是吧？
[00:40:22] 那么这句话啊，
[00:40:23] 就是就是指明了政务服务工作的。
[00:40:25] 啊，
[00:40:25] 深刻体现了政务服务工作的深刻的逻辑，
[00:40:28] 只要你大体有这个意思也就可以了，
[00:40:31] 那么。
[00:40:31] 好了，
[00:40:32] 下面我还想把这三句话做一个简单的解释，
[00:40:37] 你觉得可以吗？
[00:40:39] 这个解释的话呢，
[00:40:41] 各位，
[00:40:41] 我不一定能够解释的准，
[00:40:43] 我刚才那个分论点写的太复杂了，
[00:40:46] 所以我能不能把那三个分论点再往上拔高一下，
[00:40:50] 你会发现。
[00:40:50] 尽责不就是在说责任吗？
[00:40:54] 好吧，
[00:40:54] 尽责不就是在说责任吗？
[00:40:56] 那它是思想层面上的，
[00:40:58] 我们党和国家叫不忘初心，
[00:41:01] 还有呢，
[00:41:02] 就是你呢，
[00:41:03] 让群众感。
[00:41:03] 感到好办事，
[00:41:04] 用流程弄好了，
[00:41:06] 服务弄好了，
[00:41:07] 技术弄好了，
[00:41:08] 那这个不就是代表你的服务体验也好了吗？
[00:41:11] 服务企业也好了吗？
[00:41:13] 好了，
[00:41:13] 你把这三个词可以解释一下，
[00:41:16] 那最后一个就是把群众的事办好，
[00:41:19] 不就是代表一个实际成效吗？
[00:41:21] 所以你要想把这三个词加进去，
[00:41:24] 也是完全没有问题的，
[00:41:25] 不想加，
[00:41:26] 待会放在分论点，
[00:41:27] 就这个题目的答案，
[00:41:28] 它不是唯一的，
[00:41:29] 因为材料当中没有真正的非常好的给你总结出来原词原句。
[00:41:34] 初心责任服务企业实绩成效，
[00:41:36] 三者有机统一，
[00:41:38] 构成共同啊，
[00:41:39] 共同共成新时代群众工作的要义。
[00:41:42] 大家觉得这句话可以不？
[00:41:45] 以后你们如果用的是新路，
[00:41:48] 新路，
[00:41:49] 新路可以吗？
[00:41:51] 那么新路指向。
[00:41:52] 怎么样？
[00:41:53] 心路指向去懂民心那么啊，
[00:41:57] 心路关乎不畏艰辛。
[00:42:00] 新路落脚于勇于创新，
[00:42:03] 三者勇于统一，
[00:42:05] 共同共成新时代乡村工作的核心要义。
[00:42:09] 请问大家一下，
[00:42:11] 这种多主题的能不能提前把它准备好，
[00:42:14] 到时候把它背下来，
[00:42:16] 考试的时候直接。
[00:42:18] 上你个性化的模板，
[00:42:20] 你觉得是你通过灵感到现场直接写拿到的分高，
[00:42:24] 还是提前把它准备好一个万能的模板拿到的分高？
[00:42:28] 同学们，
[00:42:29] 你会发现大概率是你提前准备好了，
[00:42:32] 拿到的分高好吧，
[00:42:33] 你看啊，
[00:42:34] 我们最近河南有一个三支一扶。
[00:42:36] 啊，
[00:42:37] 据说呢，
[00:42:37] 可能有些同学呢，
[00:42:39] 提前把它准备好了，
[00:42:40] 然后呢，
[00:42:41] 一个岗位啊，
[00:42:42] 就他考80多，
[00:42:43] 其他人都是考50，
[00:42:44] 60，
[00:42:45] 70，
[00:42:45] 结果的话呢？
[00:42:46] 这个人的话呢，
[00:42:47] 就是十几天之前河南还有一个什么乡村计划刚考了，
[00:42:52] 然后被别人扒出来考50多分。
[00:42:54] 啊，
[00:42:54] 他一提前准备好，
[00:42:56] 然后呢？
[00:42:56] 他这次就考80多啊，
[00:42:58] 还有的同学呢，
[00:42:59] 就过来骂我，
[00:42:59] 说我押题押不准，
[00:43:01] 我我确实没那个能力，
[00:43:02] 那种押题的话呢，
[00:43:03] 就把自己押进去了好吗？
[00:43:05] 同学们。
[00:43:06] 好了，
[00:43:06] 不再多说，
[00:43:07] 那么接着我们把这个解释弄完了之后要怎么办？
[00:43:12] 我们要说影响吗？
[00:43:14] 请问大家一下，
[00:43:15] 这个影响应该怎么影响？
[00:43:18] 这个影响我们涉及到什么方面的影响？
[00:43:21] 大家告诉我。
[00:43:22] 你办好事好办事是办好当年在国考的考场上，
[00:43:26] 很多同学说老师，
[00:43:27] 我考行政执法卷，
[00:43:29] 我就是选择执法类的，
[00:43:31] 影响大错特错。
[00:43:32] 它是涉及到政务服务和民生方面的影响，
[00:43:36] 你随便想几个不就行了吗？
[00:43:39] 来随便想哪几个？
[00:43:40] 随便想这个那么。
[00:43:42] 就这个这个这个那么就这个这个这个那么就这个哎，
[00:43:48] 这个这个不就可以了吗？
[00:43:51] 是吧，
[00:43:51] 所以我们给大家适当的选了一个，
[00:43:54] 大家看就是记住这句话，
[00:43:56] 突破三重境界，
[00:43:57] 以前呢，
[00:43:58] 你们年轻的时候不知道以前有一个人呢，
[00:44:02] 叫韩寒。
[00:44:02] 他写了一本书，
[00:44:03] 什么叫三重门是吧？
[00:44:05] 虽然那个书的质量呢，
[00:44:07] 也不知道好不好，
[00:44:08] 但是呢，
[00:44:09] 当时卖的很多哎，
[00:44:10] 突破。
[00:44:11] 三重境界是一个是两个是三个，
[00:44:14] 可不可以这个就把它搞定了，
[00:44:17] 接着我们要写什么？
[00:44:19] 突破三重境界，
[00:44:21] 是是是，
[00:44:21] 写完了之后，
[00:44:22] 我们要写一个什么？
[00:44:24] 我们要写一个过渡句，
[00:44:26] 这个过渡句请问加什么过渡句？
[00:44:29] 你就加一个名言警句也就可以了，
[00:44:32] 这个名言警句应该怎么加这个名言警句？
[00:44:35] 它就是日日行，
[00:44:36] 不怕千万里。
[00:44:37] 常常做，
[00:44:38] 不怕千万事。
[00:44:39] 你们学习室内也是如此啊，
[00:44:41] 下面在政务服务中，
[00:44:43] 唯有以办好事为基，
[00:44:45] 以好办事为要，
[00:44:46] 以事办好为纲，
[00:44:47] 将三者贯通起来，
[00:44:48] 才能真正。
[00:44:49] 赢得群众的信任与支持，
[00:44:51] 大家觉得可以吗？
[00:44:52] 好了，
[00:44:53] 那有的同学说老师能不能你们在考试的时候，
[00:44:56] 如果当年在国考的考场上能够写出这样的文章，
[00:44:59] 大家觉得满意吗？
[00:45:01] 我觉得大概率应该能够行吧，
[00:45:03] 但是如果我要把这一段调一下顺序，
[00:45:06] 大家觉得可以不调一下顺序怎么调？
[00:45:09] 就是我就把以办好事为基，
[00:45:12] 那么指向初心责任，
[00:45:15] 以好办事为要，
[00:45:16] 关乎服务体验，
[00:45:18] 以事办好为纲，
[00:45:20] 落脚于实际成效。
[00:45:22] 那么，
[00:45:22] 这三句话就是分别塞到它对应的地方，
[00:45:26] 大家觉得可以不？
[00:45:28] 就是这句话。
[00:45:29] 你如果不想写在这个地方，
[00:45:32] 你就把它塞在总论点里面，
[00:45:34] 也是没有问题的，
[00:45:35] 现在听懂了吗？
[00:45:37] 好了，
[00:45:37] 这一种也就给大家讲完了，
[00:45:39] 那有的同学说老师，
[00:45:41] 我想问一下你能不能这个啊？
[00:45:43] 开头给我们就是进行一个个性化。
[00:45:46] 请问大家下，
[00:45:47] 如果我要进行个性化的话。
[00:45:50] 你们觉得主要可以用一个什么样的方式进行个性化，
[00:45:55] 哪位同学可以告诉我？
[00:45:57] 我反复给大家说的，
[00:45:59] 如果想进行个性化，
[00:46:01] 你就可以用举例子的方式进行个性化。
[00:46:05] 也就可以了，
[00:46:06] 好了，
[00:46:07] 举例子的方式，
[00:46:09] 那么就是因为我们有三个例子，
[00:46:12] 这三个例子。
[00:46:13] 它证明了就是这三句话的。
[00:46:17] 重要性证明了这三句话，
[00:46:19] 它是非常厉害的，
[00:46:21] 证明了这三句话很厉害，
[00:46:23] 好了，
[00:46:24] 那我们例子有谁？
[00:46:25] 例子就是叫主体，
[00:46:28] 例子叫对策，
[00:46:29] 例子叫影响，
[00:46:31] 大家同意吧，
[00:46:32] 好了，
[00:46:33] 例子有谁？
[00:46:34] 主体大家一起写c市医保局。
[00:46:39] c市医保局干了什么对策？
[00:46:41] 同学们告诉我，
[00:46:42] 就是周末晚上也给你加班，
[00:46:44] 你你你周一周五你得上班，
[00:46:46] 没时间来我们这办事，
[00:46:48] 那周末我晚上一给你加班，
[00:46:50] 加班到晚上。
[00:46:51] 所以大家一起写他干的对策周末窗口。
[00:46:57] 的灯光哎，
[00:46:57] 你看也就可以了，
[00:46:59] 好了，
[00:46:59] 我问大家一下，
[00:47:01] 还有谁就是你原来呢，
[00:47:03] 不方便办事，
[00:47:04] 我们把税务办理的驿站给你延伸到你的社区。
[00:47:08] 所以大家一起写税费主体是税费。
[00:47:13] 服务。
[00:47:15] 驿站税费服务驿站。
[00:47:20] 的高效办理。
[00:47:24] 高效办理。
[00:47:27] 好吧好了，
[00:47:28] 还有谁主体有一个最后那个例子是叫与辖区。
[00:47:35] 雨辖区有谁？
[00:47:36] 同学们，
[00:47:37] 雨辖区是不是给你修了一个路灯啊？
[00:47:41] 所以他干的对策，
[00:47:43] 亮起来的路灯。
[00:47:44] 亮起来的。
[00:47:47] 路灯哎呦，
[00:47:48] 有的同学说老师那你写这三个例子，
[00:47:51] 这三个例子我怎么把它连起来呢？
[00:47:53] 请问应该用什么样的词把它连起来？
[00:47:56] 我反复给大家说过，
[00:47:58] 用什么样的词把它连起来，
[00:48:00] 如果是就是两个例子的话，
[00:48:03] 一般是从什么到什么？
[00:48:05] 如果是三个例子的话，
[00:48:07] 再加一个，
[00:48:08] 再到什么是吧？
[00:48:09] 所以大家一起写从c市医保局周末窗口的灯火到税务驿站的高校办理。
[00:48:17] 再到雨霞区，
[00:48:18] 亮起来的路灯也就可以了，
[00:48:21] 现在清晰了吗？
[00:48:23] 好了，
[00:48:23] 大家来看一下。
[00:48:25] 这个题目也就把它搞定了，
[00:48:28] 就是一个例子，
[00:48:29] 两个例子，
[00:48:30] 三个例子能够体现出这三句话很重要。
[00:48:34] 你们觉得我这样操作可以不？
[00:48:37] 你看一个例子，
[00:48:38] 两个例子，
[00:48:39] 三个例子能够体现出这三句话很重要。
[00:48:43] 所以大家没这个世界上没有什么所谓的模板，
[00:48:46] 没有什么所谓的套路，
[00:48:48] 只有那些的话呢，
[00:48:49] 就是我的深圳同行不好好研发，
[00:48:52] 那才那个才叫。
[00:48:53] 下模板套路，
[00:48:54] 你只要掌握了这些规律，
[00:48:56] 你只要练熟了申论大作文怎么写怎么有啊？
[00:49:00] 兄弟们好吧，
[00:49:01] 那么后姐妹们啊。
[00:49:02] 然后呢？
[00:49:03] 好了，
[00:49:03] 这些都这些和后面是完全一样的，
[00:49:06] 不用多管了，
[00:49:07] 就替换一个例子，
[00:49:08] 完全就不一样了，
[00:49:09] 好吧，
[00:49:10] 我现在的话呢，
[00:49:11] 上课有点那个。
[00:49:12] 有点神经质哈，
[00:49:13] 因为我之前呢没有注意，
[00:49:15] 因为之前的话呢，
[00:49:16] 为了上课打击一些男同学，
[00:49:17] 不好意思打击女同学，
[00:49:19] 我以前就喊一个兄弟们，
[00:49:20] 然后呢，
[00:49:21] 后来有个同学的话呢呃，
[00:49:22] 就是。
[00:49:23] 发发那个是吧？
[00:49:24] 把我骂了一顿，
[00:49:25] 然后呢？
[00:49:25] 导致我现在一说兄弟们，
[00:49:27] 我我内心当中就会哦呕的一惊，
[00:49:29] 猛的一惊，
[00:49:30] 现在我要不把小妹妹？
[00:49:31] 就是带上去，
[00:49:32] 我都觉得我其实有同学，
[00:49:34] 我现在你知道吗？
[00:49:35] 我觉得我的灵魂人品很肮脏，
[00:49:37] 我一定在改正，
[00:49:38] 你们有的时候啊，
[00:49:39] 直播它难免有一些失误。
[00:49:41] 希望大家能够理解好吧，
[00:49:43] 那么我问大家一下，
[00:49:45] 如果大家还想再把它个性化的话，
[00:49:47] 还有什么样的套路能够把它个性化？
[00:49:50] 你看我们就来看一下这个题目，
[00:49:53] 首先我就不写名言警句，
[00:49:55] 我想写一个影响。
[00:49:57] 这个整篇文章的话呢，
[00:49:58] 它是在说政务服务，
[00:50:00] 所以我就可以写政务服务的，
[00:50:02] 影响政务服务对谁有影响，
[00:50:04] 对于政府和群众有影响，
[00:50:06] 政务服务对于基层有影响。
[00:50:09] 然后我就举例子也就可以了，
[00:50:12] 举例子举一个例子，
[00:50:14] 举一个例子，
[00:50:15] 举一个例子是吧，
[00:50:17] 然后体现出这三句话很厉害。
[00:50:20] 最后加一个名言警句，
[00:50:21] 最后把它总论点写起来也就可以了，
[00:50:24] 这个大家就是只要你最后练熟了，
[00:50:27] 你随便进行一个组合，
[00:50:29] 怎么写怎么有的。
[00:50:30] 好吗？
[00:50:30] 好了，
[00:50:31] 一起把它搞定。
[00:50:33] 好了，
[00:50:33] 那么我们下面带着大家写一下这个分论点。
[00:50:37] 我请问大家一下，
[00:50:39] 现在看到这个分论点的话还紧张不？
[00:50:41] 现在看到这个分论点还紧张吧？
[00:50:43] 很多同学呢，
[00:50:44] 看到分论点的话呢，
[00:50:46] 就觉得不会写了，
[00:50:47] 其实你没有必要不会写。
[00:50:49] 看到分论点的话，
[00:50:50] 基本上来讲第一招就是加名言警句，
[00:50:54] 第二招就是加影响。
[00:50:55] 第三招就是加什么？
[00:50:58] 对策或者是一个利策，
[00:51:00] 第四招就是加分论点的一个回扣好了，
[00:51:04] 我们来看一下，
[00:51:05] 首先名言警句，
[00:51:06] 我就直接加不出来。
[00:51:08] 然后那我就直接写影响写影响一定想都不用想要写哪个词的。
[00:51:16] 影响我问大家一下，
[00:51:18] 你想写哪个词的影响你们在这个过程当中，
[00:51:21] 你们想写哪个词的影响？
[00:51:23] 其实你写哪个词都行，
[00:51:25] 反正到那就是属于字数了，
[00:51:27] 比如说我就和你们任何人不一样啊，
[00:51:30] 我当然最后写的是办好事的影响。
[00:51:32] 我想办好事。
[00:51:34] 后面用一些万能的影响，
[00:51:36] 行不行？
[00:51:36] 办好事，
[00:51:37] 那么是践行以人民为本的呃理念的必然要求，
[00:51:41] 是维护社会和谐稳定的建设支撑，
[00:51:43] 是夯实国家治理根基的战略部署。
[00:51:46] 我直接用这一组，
[00:51:47] 大家觉得可以吗？
[00:51:49] 可以吧？
[00:51:49] 那有的同学说老师我就不想跟你一样，
[00:51:52] 我就想把它换一下，
[00:51:54] 能不能用一些？
[00:51:55] 那我就换个词，
[00:51:57] 我就不写办好事，
[00:51:58] 假如说我就随便写一个痛点难点，
[00:52:01] 大家觉得行不行？
[00:52:03] 你永远不可能和别人一样啊，
[00:52:06] 我就写痛点的影响，
[00:52:07] 我就写难点的影响。
[00:52:10] 我问大家一下，
[00:52:11] 这个痛点难点对谁有影响？
[00:52:14] 对于群众有影响，
[00:52:16] 那我还不想写群众有影响，
[00:52:18] 我就想写对于。
[00:52:20] 政府有影响，
[00:52:21] 各位我还不要把它直接拆开，
[00:52:24] 我把它分散开，
[00:52:26] 我就写痛点是我们政府民生工作的信号灯。
[00:52:30] 大家一起写是民生。
[00:52:34] 工作。
[00:52:36] 的信号灯。
[00:52:38] 哎呀，
[00:52:39] 我稍微的把它润色一下，
[00:52:41] 我就永远和你们这些同学不一样，
[00:52:45] 接着是我们政府。
[00:52:46] 政策发力的。
[00:52:49] 坐标系。
[00:52:50] 是政策。
[00:52:53] 发力的坐标系，
[00:52:54] 反正你怎么写怎么有你想用个性化的就用个性化的，
[00:52:58] 你不想用个性化的你就用你背诵的素材，
[00:53:02] 完全是可以的。
[00:53:03] 大家来看一下，
[00:53:04] 应该怎么把它搞定，
[00:53:06] 这个时候从这。
[00:53:07] 到这能够听懂吗？
[00:53:09] 接着来讲，
[00:53:10] 我还想说一下尽责的影响，
[00:53:12] 我光说痛点，
[00:53:13] 光说难点，
[00:53:14] 我心里不满意，
[00:53:16] 我还想说一下责任的影响。
[00:53:18] 责任我不想说，
[00:53:19] 影响了责任应该怎么办？
[00:53:22] 责任应该体现在具体行动当中，
