[00:00:00] 还是给大家试试这个手写笔好吧？
[00:28:28] 好了，
[00:28:29] 现在大家能够听懂的话，
[00:28:31] 给老师打个一这个材料呢，
[00:28:32] 是指的那个人，
[00:28:33] 我们不方便，
[00:28:34] 有这个敏感词啊，
[00:28:35] 就用材料去代替了，
[00:28:37] 它本身是题干当中的一句话。
[00:28:39] 大家来看一下，
[00:28:40] 就这个大家现在能够看懂的话，
[00:28:42] 给老师打个机，
[00:28:44] 大家看这个是题干当中的一句话，
[00:28:46] 材料当中的一句话。
[00:28:48] 这个是我们自己想的一个名言警句，
[00:28:51] 首尾呼应，
[00:28:52] 这个是在说实体经济的作用，
[00:28:54] 那么这个也是在说实体经济的。
[00:28:57] 一个作用。
[00:28:59] 好了，
[00:28:59] 那么这个是在说总论点的对策，
[00:29:02] 这个也是在说总论点的对策，
[00:29:05] 这个是在说那么？
[00:29:07] 总论点的一个啊，
[00:29:08] 这种就是对策，
[00:29:09] 这个也是在说总论点的对策，
[00:29:11] 这个是在说总论点的影响，
[00:29:14] 我们就直接把影响写上去也就可以了。
[00:29:16] 好吧，
[00:29:17] 现在大家能够听懂的话就给老师打分析。
[00:29:22] 好了，
[00:29:23] 我就给大家说一下，
[00:29:24] 我有的时候觉得有的同学在评论区啊，
[00:29:27] 就这样吵架就是特别恶心。
[00:29:30] 你们同意我的观点的话，
[00:29:32] 就会给老师打个同意是吧？
[00:29:33] 也不知道你是哪个小学毕业的，
[00:29:35] 也不知道你自己到底是什么显摆的，
[00:29:38] 你了是行测考了100分还是申论考了100分？
[00:29:41] 多牛逼了，
[00:29:42] 就在这边吵个架。
[00:29:43] 花了钱买了课，
[00:29:44] 不听课就在直播间里面就吵架，
[00:29:47] 就数着你了你你是谁呀？
[00:29:48] 你到底有什么水平啊？
[00:29:50] 就连个脸，
[00:29:51] 哎呀，
[00:29:52] 咱也不想说你了，
[00:29:53] 行吧？
[00:29:54] 就是自己的话呢，
[00:29:56] 到现在还搞不明白。
[00:29:58] 搞不明白好吧，
[00:29:59] 都都啥时候了，
[00:30:00] 你考上公务员了，
[00:30:02] 你还是怎么着？
[00:30:03] 你吵架。
[00:30:04] 你吵架你自己呃，
[00:30:05] 加个微信互相吵吧，
[00:30:07] 别在直播间吵了行吗？
[00:30:08] 不要影响其他同学，
[00:30:10] 不要污染这个社会的空气。
[00:30:12] 不要自己是苍蝇，
[00:30:14] 到底去到呃到到处去传播行吗？
[00:30:18] 好了，
[00:30:18] 所有的同学那么这个时候如果大家想个性化的话，
[00:30:22] 你们觉得可以不？
[00:30:23] 我又给大家加了一点素材，
[00:30:25] 就是这里面经济发展领域。
[00:30:27] 有没有同学能够看到我给大家准备的这五条是在讲什么？
[00:30:32] 我给大家准备的这五条是在讲什么？
[00:30:35] 同学们，
[00:30:35] 来看一下啊，
[00:30:36] 我给大家呢，
[00:30:37] 又额外的准备了一些，
[00:30:39] 就是经济方面的更加万能的素材吧，
[00:30:42] 万能的素材。
[00:30:43] 还有万能的背景句，
[00:30:44] 大家看你们，
[00:30:45] 你们觉得这个研发做的还行吗？
[00:30:48] 只要你们考经济的啊，
[00:30:49] 大家看这些背景，
[00:30:51] 你就尽管都都能用。
[00:30:52] 好吧，
[00:30:53] 这些背景都能用，
[00:30:54] 大家再来看一下经济发展领域，
[00:30:56] 像这些背景呢，
[00:30:57] 你都是可以随便用的啊，
[00:30:59] 大家呢，
[00:30:59] 反正你不需要全背，
[00:31:01] 你就背一个就行了，
[00:31:02] 背一个适合自己的。
[00:31:04] 行吧，
[00:31:04] 然后呢？
[00:31:05] 你看给你准备的这些经济领域的都给大家准备好了的好吧，
[00:31:09] 另外呢，
[00:31:09] 你们这个课呢，
[00:31:10] 打卡呢，
[00:31:11] 还能拿到十大热点话题的素材，
[00:31:13] 基本上国考省考可能考到的。
[00:31:15] 我大概率都能够给你猜到，
[00:31:17] 猜个七七八八好吧，
[00:31:19] 那经济发展领域，
[00:31:20] 你看像这些东西。
[00:31:21] 这些东西大家根据自己的情况用也就可以了，
[00:31:25] 好了，
[00:31:25] 我们最后再给大家讲一个，
[00:31:27] 大家来看一下这个题目应该怎么把它搞定？
[00:31:31] 黄河至中华民族的母亲河黄河流域是我国重要的生态屏障和经济地带。
[00:31:37] 然而，
[00:31:37] 目前黄河流域存在很大的风险，
[00:31:40] 脆弱，
[00:31:40] 严峻，
[00:31:41] 不充分。
[00:31:41] 想要增强啊，
[00:31:42] 三感就必须推动生态保护和高质量发展。
[00:31:46] 各位，
[00:31:46] 我们先把它切分一下，
[00:31:48] 这是一句话。
[00:31:49] 这是一句话，
[00:31:50] 然后呢？
[00:31:51] 接着这是一句话，
[00:31:52] 这是一句话，
[00:31:53] 一共四句话，
[00:31:54] 首先看一下第一句话，
[00:31:56] 我问大家下第一句话，
[00:31:58] 它是在说什么要素？
[00:32:00] 哪位同学可以直接告诉我？
[00:32:02] 黄河是中华民族的母亲河，
[00:32:04] 它是在说哪一个要素？
[00:32:06] 我觉得这句话更重要的是在说一个背景，
[00:32:10] 大家听懂了吧？
[00:32:12] 好了，
[00:32:12] 那我问大家一下，
[00:32:13] 我在结尾的时候，
[00:32:14] 我在写黄河的背景，
[00:32:16] 哎，
[00:32:16] 我能不能把它写下来呢？
[00:32:18] 我这个时候如果我万一真的就想不起来黄河的背景。
[00:32:22] 请问我可以用什么去替代？
[00:32:25] 我问大家一下，
[00:32:26] 如果我真的一下子就想不起来黄河的背景，
[00:32:28] 我可以用什么替代？
[00:32:30] 刚才我们说了，
[00:32:31] 如果你想不起来名言警句，
[00:32:33] 可以用背景替代，
[00:32:34] 这个时候你想不起来背景，
[00:32:35] 你就用名言警句替代。
[00:32:37] 大家能够。
[00:32:39] 背诵过的。
[00:32:41] 与黄河有关的名言警句，
[00:32:43] 你们有背哪一句可以直接交代评论区各位，
[00:32:48] 然后呢，
[00:32:49] 我就给大家写一个黄河宁。
[00:32:52] 黄河宁。
[00:32:54] 天下平一起把它搞定，
[00:32:57] 黄河宁天下平。
[00:32:59] 好吧，
[00:33:00] 那么你看。
[00:33:02] 长风破浪会有时，
[00:33:03] 直挂机直挂云帆济沧海。
[00:33:05] 我的妈呀！
[00:33:06] 长风破浪会有时，
[00:33:07] 直挂云帆济沧海。
[00:33:08] 我怎么觉得这是个长江呢？
[00:33:10] 是吧，
[00:33:11] 长风破浪会有时，
[00:33:12] 直挂云帆济沧海，
[00:33:13] 这大概率是个长江啊，
[00:33:14] 就是我小学语文的话呢，
[00:33:16] 我现在也忘了，
[00:33:17] 你们去帮我查一下，
[00:33:18] 我觉得这个应该是搞错了哈，
[00:33:20] 你千万别把长江搞过来。
[00:33:22] 求你了好吗？
[00:33:22] 你你实在不行你别写了，
[00:33:24] 别写了啊，
[00:33:25] 别写了，
[00:33:25] 我求大家了，
[00:33:26] 我我刚才错了，
[00:33:27] 我我真是高估大家了，
[00:33:28] 别别别弄了哈，
[00:33:29] 你在那个长江还不尽长江滚滚来，
[00:33:32] 还长长风破浪会有时。
[00:33:33] 啊，
[00:33:33] 到最后还有还有那个叫什么华为，
[00:33:36] 当时喊了一个什么叫呃什么什么已过万万木轻舟已过万重山，
[00:33:40] 那句话叫什么来着，
[00:33:41] 我一下子想不起来了，
[00:33:43] 你别瞎搞哈，
[00:33:44] 那个大概率是长江啊。
[00:33:45] 一般这些诗人都在长江上飘来飘去，
[00:33:48] 很少有在黄河上飘来飘去的是吧？
[00:33:51] 好了，
[00:33:51] 大家再来看一下这个名言警句。
[00:33:54] 黄河宁天下平。
[00:33:55] 那我如果想写一个背景的话，
[00:33:58] 如果我没有。
[00:33:59] 背景，
[00:34:00] 而且这个背景他已经给我写出来的话，
[00:34:03] 第二句话也是一个背景，
[00:34:05] 请问大家下，
[00:34:06] 我给大家说过你个性化的写作。
[00:34:08] 如果用背景的话，
[00:34:10] 你可以怎么用背景？
[00:34:11] 哪位同学可以告诉我？
[00:34:13] 记住了，
[00:34:14] 大家记住了，
[00:34:15] 我给大家说一个，
[00:34:16] 不管是背景还是影响，
[00:34:18] 大家都可以用。
[00:34:19] 举例的方式，
[00:34:20] 大家把举例给老师打出来，
[00:34:23] 这个是一个宏观的背景，
[00:34:25] 这个也是宏观的背景，
[00:34:27] 我背景完全就可以讲三个小的背景故事。
[00:34:30] 好吧，
[00:34:31] 那么我问大家一下，
[00:34:33] 咱们一些国家黄河的小故事，
[00:34:36] 你能够记到几个？
[00:34:38] 那么，
[00:34:39] 举例子往往可以举什么例子？
[00:34:41] 大家一起给老师打在评论区古今。
[00:34:44] 中还有一个外这个股，
[00:34:48] 大家一起写从。
[00:34:50] 大于。
[00:34:52] 治水一起把它搞定。
[00:34:55] 下面从大禹治水到。
[00:34:58] 康熙。
[00:35:01] 到康熙。
[00:35:04] d那么大禹治水，
[00:35:06] 我们都是阳光子孙，
[00:35:08] 他是啊，
[00:35:09] 就是很久很久以前。
[00:35:12] 再往就是清朝的话，
[00:35:14] 就康熙帝。
[00:35:15] 大和和物。
[00:35:19] 还有一个曹运。
[00:35:23] 曹运。
[00:35:25] 刻在。
[00:35:28] 宫廷。
[00:35:31] 柱子上。
[00:35:33] 柱子上好的，
[00:35:34] 我们大家下再让你举一个今天的例子，
[00:35:38] 这个今天的例子大家可以随便编一个。
[00:35:42] 赛道。
[00:35:44] 新中国成立后。
[00:35:47] 这个大家编都能编的出来，
[00:35:50] 再到新中国。
[00:35:51] 成立后。
[00:35:54] 开展。
[00:35:57] 黄河治理工作。
[00:36:00] 黄河。
[00:36:02] 治理。
[00:36:05] 工作一起把它搞定好了，
[00:36:08] 中华民族。
[00:36:10] 中华民族。
[00:36:14] 历代都重视经略黄河。
[00:36:17] 历代。
[00:36:19] 都重视。
[00:36:21] 历代都重视。
[00:36:25] 经略。
[00:36:28] 黄河一起把它搞定。
[00:36:31] 经略黄河好了，
[00:36:32] 现在大家能够听懂的话就给老师打个过，
[00:36:35] 你看我再给大家说一下，
[00:36:37] 一定不要小看例子，
[00:36:39] 这个例子呢，
[00:36:40] 可以实现个性化这个例子。
[00:36:42] 其实你就能够从材料当中把它直接给扒出来，
[00:36:46] 今天我们没有时间看材料，
[00:36:48] 你就从材料当中扒，
[00:36:49] 你会发现举例子就是。
[00:36:51] 古今中外。
[00:36:53] 举例子就是微观，
[00:36:54] 中观和宏观，
[00:36:55] 那么写完了背景之后，
[00:36:58] 各位大家来看一下第二步。
[00:37:00] 目前，
[00:37:01] 黄河存在风险脆弱严峻不充分，
[00:37:04] 请问这是在说什么？
[00:37:07] 哪位同学可以告诉我？
[00:37:09] 这是在说什么？
[00:37:10] 就是风险脆弱严峻不充分，
[00:37:13] 他这是在说问题，
[00:37:15] 但是这些是具体的细节的问题，
[00:37:18] 是在举例子。
[00:37:19] 那么我就可以把它总结一下，
[00:37:22] 我就给大家呼应，
[00:37:24] 我就写面对黄河。
[00:37:28] 当前。
[00:37:32] 面对黄河流域啊，
[00:37:34] 面对黄河流域。
[00:37:36] 当前存在。
[00:37:39] 的困难和问题。
[00:37:43] 困难。
[00:37:45] 和问题，
[00:37:46] 现在大家能够听懂吗？
[00:37:50] 好了，
[00:37:50] 下面我问大家一下，
[00:37:52] 最后一个是在说什么？
[00:37:54] 最后一个是不是在说一个总论点啊？
[00:37:58] 这个总论点它做了一个颠倒。
[00:38:01] 前面说的一个影响。
[00:38:03] 后面说的一个对策，
[00:38:05] 大家这个能看懂吗？
[00:38:07] 所以我们就把对策和它呼应一下，
[00:38:10] 推动黄河流域生态保护和高高质量发展。
[00:38:14] 你就直接写第三个我们。
[00:38:17] 要推动黄河流域。
[00:38:21] 生态保护和高质量发展直接摘抄也就行了，
[00:38:25] 但是把它调一下顺序，
[00:38:27] 前面加一个，
[00:38:28] 我们也就可以了。
[00:38:30] 然后怎么样？
[00:38:31] 它对人民有好处，
[00:38:33] 对人民有什么好处呢？
[00:38:35] 让黄河。
[00:38:39] 成为。
[00:38:41] 造福。
[00:38:44] 人民。
[00:38:46] 到幸福河。
[00:38:49] 请问大家一下，
[00:38:50] 可以还是不可以？
[00:38:52] 可以的话给老师打个一不可以的话给老师打个二，
[00:38:56] 各位给大家看一下完整的成文。
[00:38:58] 大家觉得能不能实现一个一对一的呼应，
[00:39:02] 完全是没有问题的，
[00:39:03] 但是我问大家一下，
[00:39:05] 如果在考试的时候有没有可能？
[00:39:08] 就你这个例子，
[00:39:09] 真的就不会写有这种可能的话，
[00:39:11] 就给老师打个一没有这种可能的话，
[00:39:14] 就给老师打个二。
[00:39:15] 如果你这个例子就是不会写的话，
[00:39:18] 我们也就是这个背景，
[00:39:20] 你不会写的话，
[00:39:21] 我们可以把这个背景用什么替换？
[00:39:24] 除了刚才用名言警句替换，
[00:39:26] 还可以用什么替换？
[00:39:28] 是不是可以用影响替换？
[00:39:31] 让黄河流域生态保护还有高质量发展，
[00:39:36] 它是属于经济，
[00:39:38] 政治，
[00:39:39] 文化，
[00:39:40] 社会。
[00:39:40] 生态当中的哪一个哪位同学可以告诉我是不是属于生态啊？
[00:39:46] 那么生态的外在的影响。
[00:39:49] 背的同学就给老师打个一没背的同学，
[00:39:52] 继续打一个汪汪汪，
[00:39:54] 我看有多少同学这次这个也没有背。
[00:39:58] 生态你们背的就打个一，
[00:40:00] 没背的就打个汪汪汪，
[00:40:01] 你看啊，
[00:40:02] 我们这个时候至少有一些同学已经背了差距就体现出来了。
[00:40:07] 好，
[00:40:07] 那你当然可以中间直接写怎么样？
[00:40:11] 就是你可以直接写，
[00:40:13] 比如说保护黄河流域是吧它？
[00:40:16] 是推动既要金山银山，
[00:40:17] 也要绿水金山。
[00:40:19] 到绿水青山，
[00:40:19] 就是金山银山关键的关键之举，
[00:40:22] 是转变经济发展方式的现实路径，
[00:40:24] 是实现可持续发展实践的坚实保障。
[00:40:27] 你直接塞进去也就可以了，
[00:40:29] 当然。
[00:40:29] 这个影响呢，
[00:40:31] 很多大家随便用，
[00:40:32] 当然如果你不想用影响的话，
[00:40:34] 请问大家一下，
[00:40:36] 就是百年初心历久弥坚，
[00:40:38] 百年征程波澜壮阔，
[00:40:39] 实在大城中。
[00:40:41] 黄河流域的生态保护工工作蓝图已经磅礴展开，
[00:40:45] 也是可以的，
[00:40:46] 或那么也就可以了。
[00:40:48] 好了，
[00:40:49] 我们大家下刚才既给大家讲了一个极度的个性化的写作，
[00:40:54] 又给大家讲了一个影响的替换。
[00:40:57] 中度的个性化，
[00:40:59] 还有模板，
[00:41:00] 最后要给大家讲一个绝对万能的模板，
[00:41:03] 保命的，
[00:41:04] 大家觉得可以吗？
[00:41:06] 啊，
[00:41:06] 最后这个是你在考试的时候，
[00:41:08] 万不得已了，
[00:41:09] 那么你就给我用这个万能的模板也就行了，
[00:41:13] 绝对什么话题都能往上套，
[00:41:15] 但是是万不得已用的。
[00:41:17] 大家觉得可以不？
[00:41:18] 各位，
[00:41:19] 以后不要再往上骂东哥行吗？
[00:41:21] 你们能够做到，
[00:41:22] 我就讲做不到，
[00:41:23] 我就不再讲了。
[00:41:24] 就大家就直接用个性化的也就行了，
[00:41:27] 好了，
[00:41:28] 大家看啊，
[00:41:28] 任何一个结尾基本上来讲都可以写一句名言，
[00:41:32] 警句都可以写一个影响都可以写一个展望。
[00:41:35] 现在听懂了吗？
[00:41:36] 好了，
[00:41:37] 我们来看一下这个名言警句，
[00:41:39] 我问大家下之前给大家准备的这些万能的名言警句，
[00:41:43] 能不能直接用？
[00:41:44] 能的话给老师打个一，
[00:41:45] 不能的话给老师打个二，
[00:41:47] 你会发现完全是可以的。
[00:41:49] 好了，
[00:41:50] 那么比如说我们刚才给大家写了一个致密社会保障网。
[00:41:57] 我问大家一下，
[00:41:58] 可不可以从中间？
[00:42:00] 找一句名言警句。
[00:42:02] 可以吧，
[00:42:03] 我就直接可以写成日日行，
[00:42:06] 不怕千万里常常做，
[00:42:07] 不怕千万事好了，
[00:42:09] 这是第一句名言警句。
[00:42:11] 然后接着站在第二个100年奋斗目标的历史交汇点上，
[00:42:16] 面向记住了这个是十五五，
[00:42:18] 大家把这个词改一下，
[00:42:20] 在您的讲义上。
[00:42:21] 那么，
[00:42:22] 把这个词改一下，
[00:42:23] 面向十五五迈步新征程解啊致密社会保障网是夺取建设社会主义现代化国家新胜利的关键。
[00:42:31] 然后呢？
[00:42:32] 接着。
[00:42:33] 我问大家一下，
[00:42:34] 第三句写完了，
[00:42:35] 影响之后要写什么呢？
[00:42:37] 哪位同学可以告诉我再写最后一个？
[00:42:40] 再写最后一个就是号召，
[00:42:42] 那么为此呢？
[00:42:43] 我们要坚定信念，
[00:42:45] 满怀信心，
[00:42:46] 保持风雨无阻向前进的奋进姿态，
[00:42:49] 激昂越是艰险越向前的精气神。
[00:42:51] 保有踏平康克城大道，
[00:42:53] 都把艰险又出发的顽强意志，
[00:42:55] 方能书写更新完美的时代篇章，
[00:42:58] 大家觉得可以不？
[00:42:59] 各位可以不完全是没有问题的，
[00:43:02] 好了，
[00:43:02] 那么这些每一个我都给大家做了无数的这种替换。
[00:43:07] 替换的结尾，
[00:43:08] 为了防止大家重复组合起来，
[00:43:10] 也有几万种。
[00:43:11] 不管是名言警句影响，
[00:43:13] 还有号召我给大家做了充足的一个组合。
[00:43:16] 那有的同学说老师，
[00:43:17] 你这个就真的能管用吗？
[00:43:19] 大家来看一下能不能管用？
[00:43:21] 这个是叫怎么样？
[00:43:23] 这个是叫。
[00:43:24] 利比例，
[00:43:24] 这个是叫社保工作，
[00:43:27] 这个是叫挖掘旧事物价值，
[00:43:30] 这个是叫做主动求变。
[00:43:32] 那么，
[00:43:32] 这个是叫做主动求变，
[00:43:34] 这个是叫坚持系统观念，
[00:43:36] 这个是叫那么保护黄河领域，
[00:43:38] 我们来随便找一个来看一下。
[00:43:41] 各位，
[00:43:41] 大家想用哪一个做好社会保障工作，
[00:43:44] 我们来看一下就是。
[00:43:48] 以利理利破题啊，
[00:43:50] 随便给大家说一个来，
[00:43:52] 我们大家下就以利理利那个题目。
[00:43:55] 路漫漫或者是叫什么？
[00:43:57] 路虽远，
[00:43:58] 行则将至，
[00:43:59] 事则成，
[00:44:00] 坐则必成。
[00:44:01] 好吧，
[00:44:01] 事事难成，
[00:44:02] 坐则必成，
[00:44:03] 然后再来一个影响。
[00:44:05] 站在第二个100年奋斗梦月的历史交汇点上，
[00:44:09] 面向十五五迈步新征程，
[00:44:11] 那么以利比例破题。
[00:44:13] 是夺取全面建设社会主义国家新生力的关键，
[00:44:17] 可以吧？
[00:44:17] 然后呢？
[00:44:18] 如果你不想这个是实现良法善治的关键，
[00:44:21] 自己在这个基础上。
[00:44:23] 换几个词也是可以的，
[00:44:25] 是实现良法善治的关键，
[00:44:27] 然后同学们再来一个结尾，
[00:44:29] 这个结尾可以用哪个结尾？
[00:44:31] 那么为此呢？
[00:44:33] 就是叫做。
[00:44:34] 随便的随随便想一个，
[00:44:36] 为此我们要勇挑重担，
[00:44:37] 矢志不渝保持，
[00:44:39] 而今漫不从头越的进取姿态，
[00:44:41] 激扬狭路相逢勇者胜的拼搏精神，
[00:44:44] 保有长风波浪会有时直挂云帆济沧海的。
[00:44:47] 毕生信念以创新为任，
[00:44:49] 方能劈开更具突破的时代新局。
[00:44:52] 大家觉得可以吗？
[00:44:53] 就这里边，
[00:44:54] 大家只要随便选三句，
[00:44:56] 进行一个组合也就可以了。
[00:44:58] 好吧，
[00:44:58] 只要大家随便选三句做组合就行了，
[00:45:02] 各位我给你准备了足够多的名言，
[00:45:05] 警句足够多的影响，
[00:45:06] 足够多的展望，
[00:45:07] 大家自己选择一个。
[00:45:09] 适合自己的万能的作为，
[00:45:12] 在考试时候应急之举，
[00:45:14] 你们觉得可以的话，
[00:45:15] 给老师打个一。
[00:45:17] 不可以的话，
[00:45:18] 给老师打个二好吧，
[00:45:19] 作为考试时候的应急秩序，
[00:45:21] 如果你怕别人给我重复了，
[00:45:23] 你就拿我的，
[00:45:24] 我这个让豆包再给你改一下也是可以的。
[00:45:27] 改因为什么呢？
[00:45:28] 有没有同学曾经参加过考试，
[00:45:30] 有这样一种经历，
[00:45:31] 写到最后一个题目的时候手。
[00:45:34] 发抖了，
[00:45:34] 有这种感受的同学给老师打飞机，
[00:45:37] 写到最后一个题大作文的时候手发抖了，
[00:45:40] 到最后的话呢，
[00:45:41] 写的跟个小蝌蚪一样。
[00:45:43] 可能就来不及了，
[00:45:44] 如果是这种的话，
[00:45:46] 你实在时间来不及思考的话，
[00:45:48] 你就用万能的模板，
[00:45:49] 比如说挖掘。
[00:45:50] 什么积极挖掘旧事物价值？
[00:45:53] 我们来看一下哈，
[00:45:54] 我们直接把它搞定。
[00:45:56] 风雨多经志弥坚，
[00:45:57] 关山处渡路游长。
[00:45:59] 好了再来看第二句就是。
[00:46:02] 关山初渡路由长。
[00:46:04] 当前呢，
[00:46:04] 我国经济社会发展进入新时新阶段，
[00:46:08] 新时代，
[00:46:08] 新征程上。
[00:46:10] 积极挖掘旧书物价值具有强烈的现实性和紧迫性，
[00:46:15] 这是第二句话写完了音响之后，
[00:46:18] 我最后。
[00:46:18] 来一个期待，
[00:46:20] 呼吁，
[00:46:20] 展望，
[00:46:20] 号召，
[00:46:21] 随便找一句大家来看一下。
[00:46:23] 随便找一句就说随便找一句什么呢，
[00:46:26] 叫做为此呢，
[00:46:27] 我们要以追光哎呀，
[00:46:29] 这这个万一不适应，
[00:46:30] 我们再换一句随便，
[00:46:32] 为此我们要直面挑战，
[00:46:34] 迎难而上，
[00:46:34] 保持踏平坎坷刹那道的。
[00:46:36] 顽强意志哎，
[00:46:37] 你说这个不行，
[00:46:38] 其实是行的哈，
[00:46:40] 我们再换一个，
[00:46:41] 为此我们要以探路者的智慧，
[00:46:43] 急先锋的闯进，
[00:46:44] 燃灯者的情怀，
[00:46:45] 乘风破浪，
[00:46:46] 逐梦前行，
[00:46:47] 践行初心使命。
[00:46:48] 为绘就共同富裕和新途径，
[00:46:50] 实现人民对美好生活的向往，
[00:46:52] 砥砺深耕行不行当然行，
[00:46:54] 但是这个你会发现，
[00:46:56] 共同富裕和挖掘旧事物价值它。
[00:46:58] 不一定完全那个匹配，
[00:47:01] 那么你怎么写稍微的缓一下，
[00:47:04] 叫为传承传承什么为传承？
[00:47:08] 文化啊，
[00:47:08] 为绘就传承传统文化新图景，
[00:47:11] 实现人民对美好生活的向往，
[00:47:14] 砥砺深耕，
[00:47:15] 大家有的时候适当的根据具体的主题。
[00:47:19] 稍微调一个词也就可以了。
[00:47:21] 现在大家听明白的话，
[00:47:23] 给老师打个一听明白的话，
[00:47:25] 给老师打个一好了，
[00:47:26] 我再给大家说一下，
[00:47:28] 这节课给大家留一个作业。
[00:47:30] 留一个作业啊，
[00:47:32] 留一个作业就是大家的话呢，
[00:47:35] 随便去在这个八九十十一十二当中。
[00:47:39] 给我找一个题目。
[00:47:42] 找一个题目啊，
[00:47:43] 你可以试着写一个个性化的结尾，
[00:47:47] 你也可以试着写一个个写一个万能的结尾。
[00:47:51] 大家觉得可以不？
[00:47:52] 可以的话给老师打个一好，
[00:47:54] 可以的话给老师打个一，
[00:47:56] 如果你实在不会写的话，
[00:47:57] 你就让豆包给你写一个结尾，
[00:47:59] 你认真的观摩一下也是可以的。
[00:48:02] 好吧，
[00:48:02] 让豆包给你写一个万能的结尾，
[00:48:04] 你观摩一下也是可以的，
[00:48:05] 但是这个万能的结尾需要大家这节课一定把它背一背。
[00:48:09] 大家能够做到吗？
[00:48:10] 能够做到吗？
[00:48:12] 各位哎呀。
[00:48:16] 好了，
[00:48:16] 我问大家一下，
[00:48:17] 你们觉得一个大指纹一般最少要留多长时间？
[00:48:21] 在考试的时候，
[00:48:22] 有的人最后30分钟也能够写一篇作文，
[00:48:26] 有的人40分钟也能写。
[00:48:28] 但是呢，
[00:48:28] 就说大紫薇，
[00:48:29] 你们觉得最难的或者最容易出现的失误是什么失误，
[00:48:34] 我就问大家一下。
[00:48:36] 你们觉得大组门最难的，
[00:48:38] 或者最容易出现的失误，
[00:48:40] 而且这个失误最致命是什么？
[00:48:42] 就是大家审题的时候，
[00:48:44] 总论点分论点跑题了。
[00:48:45] 你如果总论点分论点跑题了，
[00:48:48] 你用上这些东西，
[00:48:49] 你用上模板依然不可能能够得分，
[00:48:51] 你超人民日报也得不了分，
[00:48:53] 但是如果你总论点分论点不跑题。
[00:48:56] 你能够把我们今年给你准备的模板用上去，
[00:48:59] 你拿个一论文减或者二类文加，
[00:49:02] 我觉得是完全没有问题的。
[00:49:04] 现在听懂了吗？
[00:49:06] 好，
[00:49:06] 这个是非常重要的。
[00:49:08] 好吧，
[00:49:08] 感觉总记不住，
[00:49:10] 早起一点反复的背一背。
[00:49:13] 下苦功夫，
[00:49:14] 你不下苦功夫，
[00:49:15] 你就老是想着呃，
[00:49:17] 这样那样，
[00:49:17] 你肯定是搞不定的，
[00:49:19] 现在大家能够听懂了吗？
[00:49:21] 各位，
[00:49:21] 现在大家能听懂了吗？
[00:49:23] 你很多同学就是来跟我说，
[00:49:25] 老师感觉背不下来，
[00:49:27] 你背不下来的文章，
[00:49:28] 有同学能够替你背下来，
[00:49:30] 你听不了的课。
[00:49:31] 有的同学能够替你听你上不了的案，
[00:49:34] 那最后也只能有的人去替你上案，
[00:49:37] 你不要讲这些借口。
[00:49:38] 啊，
[00:49:39] 不要想那么多借口，
[00:49:40] 就是一头猪，
[00:49:41] 我也得把你变成猪八戒，
[00:49:44] 怎么把你变成猪八戒，
[00:49:46] 就是天天念，
[00:49:47] 天天念，
[00:49:47] 天天念，
[00:49:48] 一共影响背三组。
[00:49:49] 那么就可以了，
[00:49:51] 你就背背背，
[00:49:52] 像这种你就背有什么难的，
[00:49:55] 三句话还搞不定吗？
[00:49:57] 好吧，
[00:49:57] 实战一的话呢，
[00:49:59] 大家想写就写，
[00:50:00] 不想写就算啊，
[00:50:02] 我们明后天的话呢，
[00:50:04] 就逐步给大家，
[00:50:05] 大家开放那个。
[00:50:06] 实战的一个啊，
[00:50:07] 就是批改了大指纹呢，
[00:50:09] 也是给大家批改了，
[00:50:10] 但是我提前给大家说一下，
[00:50:12] 我们大指纹的批改的话呢？
[00:50:14] 和人工批改一样，
[00:50:15] 它并不能够做到100%的准确，
[00:50:18] 大家这个能够理解的话，
[00:50:20] 给老师打个一。
[00:50:21] 啊，
[00:50:21] 我们大主文的这个批改的话呢，
[00:50:24] 它和人工批改一样，
[00:50:25] 它可能会有一个误差，
[00:50:27] 这个误差呢，
[00:50:28] 主要源于大主文的可能性呢，
[00:50:30] 它是无穷无尽的。
[00:50:32] 它并不是说我们不努力，
[00:50:34] 现在大家能够听懂了吗？
[00:50:36] 就是小题客观题，
[00:50:37] 大家用了我们的批改，
[00:50:39] 你们觉得行的话就给老师打个行。
[00:50:42] 不行的话就给老师打个，
[00:50:44] 不行就是小题啊，
[00:50:45] 就是前面那些小题你会发现大概率还可以，
[00:50:48] 我也不能说绝对完美，
[00:50:50] 但是大概率还可以吧。
[00:50:52] 就是，
[00:50:52] 但是大作文呢，
[00:50:53] 它主要是文无定法，
[00:50:55] 所以我们给你大作文的批改，
[00:50:58] 只能给你做一个参考。
[00:51:00] 这个不能够给大家搞一个什么学术霸权了小题，
[00:51:04] 因为它就是按次给分，
[00:51:06] 这个到考试的时候也是这样，
[00:51:08] 大作文它存在着一个巨大的模糊空间。
[00:51:11] 它存在着巨多的无穷无尽的可能性，
[00:51:14] 我们不一定能够给你穷尽所有的可能，
[00:51:17] 到时候你可以结合批改的话呢。
[00:51:19] 参考一下，
[00:51:20] 大家觉得行吗？
[00:51:21] 大家觉得行吗？
[00:51:22] 行的话给老师打飞机啊，
[00:51:24] 另外一个的话呢，
[00:51:25] 就是我做一个调研啊，
[00:51:27] 我们接下来的话呢就要。
[00:51:29] 上完这个大作文，
