[00:00:00] 他对你说，
[00:29:06] 你觉得如果是一个阅卷人，
[00:29:08] 他在开头的时候看见。
[00:29:10] 你知道20大报告当中，
[00:29:12] 五条重大原则当中，
[00:29:14] 其中有这样一个原则，
[00:29:16] 你觉得他会不会给你进行一个加分？
[00:29:20] 你如果你能够写出这句话，
[00:29:22] 你觉得那个阅卷人会不会有一点深刻的感觉？
[00:29:25] 觉得会会不会给你加分？
[00:29:27] 我觉得大概率是会的。
[00:29:29] 好吧好了，
[00:29:30] 这个万能的和个性化的背景，
[00:29:33] 请问大家一下，
[00:29:35] 在考试的时候是用一句还是用两句，
[00:29:38] 各位用一句就行了。
[00:29:40] 你选择其中一个也就可以了好吗？
[00:29:43] 同学们好了，
[00:29:44] 所以有没有同学觉得其实我只要能够把影响准备好。
[00:29:49] 我只要能够把背景准备好，
[00:29:51] 那此生呢，
[00:29:52] 再也没有什么题目能够难倒我了，
[00:29:55] 只要它是一个。
[00:29:56] 什么力的题目，
[00:29:58] 只要它是一个。
[00:29:59] 民生类或者社会类的话题的大作文之后，
[00:30:04] 全部就都会写了现在。
[00:30:07] 听懂了的话，
[00:30:08] 给老师打个过，
[00:30:09] 听懂了的话，
[00:30:10] 给老师打个过，
[00:30:11] 就以后你就直接就能口述了，
[00:30:14] 再也不会有任何的范畴了。
[00:30:16] 但是有没有同学觉得我的妈呀，
[00:30:18] 如果其他同学也用了这三句话，
[00:30:21] 我岂不是要崩盘吗？
[00:30:22] 如果其他同学也用了这句话，
[00:30:25] 我岂不是也会崩盘吗？
[00:30:26] 有这种感觉吗？
[00:30:28] 这种感觉怎么办？
[00:30:29] 这种感觉就是要拼素材了，
[00:30:31] 看我们能不能把这句话进行一个替换呢？
[00:30:35] 大家来看一下，
[00:30:36] 我给大家准备的。
[00:30:37] 这么多的影响，
[00:30:39] 在你们的讲义上和材料当中都有，
[00:30:42] 请问大家一下，
[00:30:43] 就是做好社保工作。
[00:30:45] 事关人民群众的根本利益，
[00:30:47] 事关政府能力和治理水平的提升，
[00:30:49] 事关社会主义现代化建设事业的成败。
[00:30:52] 如果你怕同其他同学用了这一句，
[00:30:54] 我们看看坏。
[00:30:55] 其他的句子行不行？
[00:30:56] 做好社保工作是满足人民群众美好生活的必由之路，
[00:31:00] 是建设服务型政府的必经之法，
[00:31:03] 是实现中华民族伟大复兴的必然选择。
[00:31:05] 行不行？
[00:31:06] 还有做好社保工作是践行以民为本理念的必然要求，
[00:31:10] 是维护社会和谐稳定的坚实支撑，
[00:31:12] 是夯实国家治理根基的战略部署。
[00:31:15] 大家觉得行不行？
[00:31:16] 做好社保工作是既是改善民生扶持的核心要义，
[00:31:20] 也是提升群众生活质量的关键之举。
[00:31:23] 那么呃，
[00:31:23] 这个之写错了，
[00:31:25] 还是彰显社会公平正义的根本遵循，
[00:31:27] 大家觉得行不行哦？
[00:31:29] 做好社保工作。
[00:31:30] 是破解民生领域短板的有效路径，
[00:31:33] 是兜底民生保障底线的必然要求，
[00:31:36] 是实现共同富裕目标的重要举措，
[00:31:39] 行不行？
[00:31:39] 今年的素材比去年的素材给你全部做了100%的更新，
[00:31:44] 那有的同学说老师说我想问你一下，
[00:31:48] 说那如果说我能不能用这样的句子？
[00:31:51] 这个句子还有这三个句子，
[00:31:53] 重新组合，
[00:31:54] 大家觉得可以吗？
[00:31:55] 可以的话给老师打个一，
[00:31:57] 如果你串行了，
[00:31:58] 行不行？
[00:31:59] 做好生社保工作啊，
[00:32:01] 事呃事关人民群众的根本利益。
[00:32:03] 事关建设服务型政府啊，
[00:32:05] 事关凝聚社会共建共治的重要纽带。
[00:32:09] 哎呦，
[00:32:09] 我的妈呀。
[00:32:10] 那如果有闭着眼睛，
[00:32:12] 那么我们做好社保工作，
[00:32:14] 用这三句话，
[00:32:15] 请问大家一下可可行吗？
[00:32:17] 随便选，
[00:32:18] 随便组合，
[00:32:19] 我就让要求我的学生能够做到100万个学生不重样，
[00:32:23] 做好社保工作是践行以民为本理念的必然要求，
[00:32:27] 是破解基层治理难题的有效举措。
[00:32:30] 是促进社会和谐稳定的坚实支撑。
[00:32:33] 请问大家一下可以吗？
[00:32:35] 各位以后。
[00:32:36] 你有的时候吧，
[00:32:38] 我袁我袁东这个人吧，
[00:32:40] 就太真诚了，
[00:32:41] 你你们觉得能够给大家研发出这个模板难还是不难？
[00:32:47] 同学们，
[00:32:47] 说实话，
[00:32:48] 哎呦，
[00:32:48] 真的看我的很多同行上课的时候呢，
[00:32:51] 就给大家云里雾里的就是啊，
[00:32:53] 你就这样写就行了，
[00:32:55] 自己编个影响你自己去写吧。
[00:32:57] 然后呢？
[00:32:57] 结果呢？
[00:32:58] 我呢？
[00:32:58] 把所有的最后一公里给大家解决完了，
[00:33:02] 还被大家来被我的同行骂，
[00:33:04] 各位你知道给你弄出这些东西。
[00:33:06] 要不要花心血要吗？
[00:33:08] 同学们，
[00:33:09] 各位还是要花一点心血的，
[00:33:12] 所以如果你自己牛逼，
[00:33:14] 你就自己写。
[00:33:16] 好吧，
[00:33:16] 如果你自己暂时还不行，
[00:33:19] 特别在开始打基础的阶段，
[00:33:22] 你先把这个背下来。
[00:33:24] 然后再写，
[00:33:25] 然后再慢慢的你就会个性化了，
[00:33:28] 大家能够同意我的观点的话，
[00:33:31] 给老师打个一。
[00:33:33] 啊嗯，
[00:33:33] 有的有有的同学说老师说嗯，
[00:33:35] 说呃，
[00:33:36] 老师我不想背模板，
[00:33:37] 那你就自己写啊，
[00:33:38] 他说我自己写写不出来啊，
[00:33:40] 那你就背模板啊，
[00:33:42] 他说我我不我不想背啊，
[00:33:44] 那你就自己写你你那。
[00:33:45] 我自己写，
[00:33:46] 我还不会写，
[00:33:47] 那你就背模板背模板，
[00:33:49] 俺俺又害怕啊，
[00:33:51] 那你就自己写，
[00:33:52] 你不要进行死循环。
[00:33:54] 同学们行吗？
[00:33:55] 把它给我背下来，
[00:33:56] 扎扎实实背下来，
[00:33:58] 基本上来讲的话，
[00:33:59] 你看我给大家准备了，
[00:34:01] 光这个影响。
[00:34:02] 光看看影响，
[00:34:03] 我给你准备了多少句同学们来看一下影响，
[00:34:07] 给大家准备了多少句影响，
[00:34:09] 准备了25句。
[00:34:11] 这二影响给你准备了25条，
[00:34:14] 这一条有多少句？
[00:34:16] 这一条是不是有三句一共就是75句？
[00:34:20] 75句排列组合有多少种？
[00:34:23] 排列组合的方式是不是大概率是a7十五三啊？
[00:34:27] 也就等于。
[00:34:28] 75×74×73，
[00:34:31] 同学们够大家可以写出这么多不同的花样了，
[00:34:36] 然后你再加上名言警句。
[00:34:39] 再进行一个乘名言警句，
[00:34:41] 我给你准备了61条，
[00:34:43] 你再选一个a6十一一，
[00:34:45] 各位无穷无尽啊，
[00:34:47] 变化无穷啊。
[00:34:48] 同意吗？
[00:34:49] 好了，
[00:34:49] 再接着给大家一起往下走。
[00:34:52] 我问大家一下，
[00:34:53] 关于刚才你们觉得还有哪个可以换的？
[00:34:58] 就是这个背景距万能的可以准备好吗？
[00:35:02] 比如说你今天。
[00:35:03] 百年初心，
[00:35:04] 历久弥坚。
[00:35:05] 百年征程，
[00:35:06] 波澜壮阔。
[00:35:07] 时代大潮中，
[00:35:09] 文化的就是社保工作的宏伟蓝图已经磅礴展开，
[00:35:13] 大家觉得可以吧？
[00:35:15] 当您世界正处于百年未有之大变局，
[00:35:18] 中华民族伟大复兴进入关键时期，
[00:35:21] 我国发展面临前所未有的挑战。
[00:35:24] 啊，
[00:35:24] 大家看当前世界之变，
[00:35:26] 时代之变，
[00:35:27] 那么历史之变正在以前所未有的方式展开。
[00:35:32] 请问大家下，
[00:35:33] 如果这个题目涉及到是就是民生领域呢？
[00:35:36] 我们把这个字直接改成民生之变，
[00:35:39] 大家觉得可以吗？
[00:35:41] 或者说是当前世界之变，
[00:35:43] 历史之时代之变，
[00:35:45] 历史之变，
[00:35:46] 再加一句民生之变，
[00:35:48] 正在以前所未有的方式展开。
[00:35:51] 可以吧，
[00:35:51] 这是没有问题的好吧，
[00:35:53] 大家看像这些都是万能的，
[00:35:55] 你自己选一个也就行了。
[00:35:57] 当前我国经济社会发展进入新阶段。
[00:35:59] 新时代新征程上解决民生问题具有强烈的现实紧迫性，
[00:36:04] 解决社保问题具有强烈的现实紧迫性，
[00:36:07] 你就直接随意替换。
[00:36:09] 各位，
[00:36:10] 如果你想用个性化的名言警句呢？
[00:36:12] 行不行？
[00:36:13] 各位，
[00:36:13] 我们随便从这里面抄一下，
[00:36:15] 直接把党的20大报告将坚持以人民为中心的发展思想。
[00:36:20] 明确啊呃列为前进道路上必须牢牢把握的五条重大原则之一，
[00:36:25] 可以的好了，
[00:36:26] 我们大家下，
[00:36:27] 如果我们用这句话。
[00:36:29] 作为我们的万能的背景剧，
[00:36:31] 大家觉得可以不可以不，
[00:36:33] 如果我们用这句话作为万能的，
[00:36:36] 就是涉及到社会领域，
[00:36:38] 民生领域的背景剧可以不？
[00:36:40] 啊，
[00:36:40] 你会发现完全是可以的啊，
[00:36:43] 这些东西呢，
[00:36:44] 大家就记住也就可以了，
[00:36:46] 你背的越多，
[00:36:47] 你最终就越能个性化好吧。
[00:36:49] 好了，
[00:36:49] 再带着大家写一个题目，
[00:36:51] 大家来看看这个题目有没有哪个同学可以把它给我搞定，
[00:36:55] 认真的琢磨一下这个题目啊？
[00:36:58] 我们要用积极的态度对旧事物进行挖掘，
[00:37:02] 我请所有的同学告诉我这个题目标题前半句等于对策。
[00:37:07] 后半句等于影响，
[00:37:09] 你觉得这个对策应该怎么写？
[00:37:11] 我们上节课其实给大家讲过这个题目，
[00:37:14] 哪位同学可以写出来？
[00:37:16] 找到动词挖掘。
[00:37:18] 积极就是物价值，
[00:37:21] 所以我们的对策叫积极。
[00:37:26] 挖掘。
[00:37:29] 积极挖掘什么？
[00:37:31] 价值。
[00:37:32] OK，
[00:37:33] 这个影响叫什么？
[00:37:35] 让他们重新换发生机，
[00:37:37] 他们就是指的旧事物让。
[00:37:40] 旧事物。
[00:37:42] 让旧事物。
[00:37:45] 焕发。
[00:37:48] 生机一起把它搞定好了，
[00:37:50] 然后拿到这个开头，
[00:37:52] 我不会写了，
[00:37:53] 我大脑当中应该记住袁东老师站在我身后。
[00:37:57] 说一个数字，
[00:37:58] 请问会说哪一个数字？
[00:38:00] 哪位同学可以告诉我是不是大概率会说四个数字？
[00:38:05] 第一步，
[00:38:06] 名言警句，
[00:38:06] 第二步。
[00:38:07] 影响。
[00:38:08] 第三步叫什么过渡句。
[00:38:11] 第四步总论点，
[00:38:13] 大家能够同意吧？
[00:38:15] 好了，
[00:38:15] 我们大家下。
[00:38:17] 这个名言警句是从题干当中出来，
[00:38:21] 还是从就是自身的积累去出来？
[00:38:24] 各位，
[00:38:24] 既然题目已经给我了，
[00:38:26] 我就直接用这句话也就可以了，
[00:38:29] 我就直接把这句话。
[00:38:31] 就是抄下来也就可以了，
[00:38:33] 不需要有任何的加工，
[00:38:35] 你看这句话你就直接写下来叫怎么样？
[00:38:38] 我们要用积极的态度对旧事物进行。
[00:38:41] 最大挖掘，
[00:38:42] 让他们啊重新焕发生机，
[00:38:45] 各位如果你后面想加一句话阐释一下，
[00:38:48] 你可以怎么加？
[00:38:49] 你说这句话为我们的。
[00:38:51] 啊，
[00:38:52] 工作是为我们的啊，
[00:38:53] 文化工作指明了方向，
[00:38:55] 听懂了吗？
[00:38:55] 你随便加一句，
[00:38:56] 这是没有问题的，
[00:38:58] 因为大主文它的字数要求不像小题那么严格。
[00:39:01] 好了，
[00:39:02] 第二步，
[00:39:02] 请问大家下要写影响写什么影响？
[00:39:05] 哪位同学可以告诉我？
[00:39:07] 第二步，
[00:39:08] 如果写影响的话，
[00:39:09] 写什么影响？
[00:39:10] 我们先问大家一下，
[00:39:12] 挖掘旧事物的价值，
[00:39:14] 如果你从材料当中旧事物就是我们哎，
[00:39:17] 以前的一些古董啊，
[00:39:19] 就是我们以前的一些。
[00:39:21] 那个家里面的旧物品啊，
[00:39:23] 比如说呃一些历史的文物啊，
[00:39:25] 请问同同学们这些东西算是政治，
[00:39:28] 经济，
[00:39:29] 文化，
[00:39:29] 社会，
[00:39:30] 生态当中的哪一种？
[00:39:31] 是不是属于一个文化呀？
[00:39:34] 这个没毛病吧？
[00:39:35] 好了，
[00:39:35] 文化方面的影响大家能不能提前把它准备到呢？
[00:39:40] 你看。
[00:39:40] 东哥就给大家准备到了一代代旧事物，
[00:39:44] 是一个国家，
[00:39:45] 一个民族的灵魂，
[00:39:46] 是华夏民族积淀数千年的瑰宝，
[00:39:49] 是中华民族最基本的基因。
[00:39:51] 请问大家一下，
[00:39:52] 如果你不贴心积累的话，
[00:39:55] 你能不能写出这么优美的排比句和这么规范的语言？
[00:40:00] 实事求是能够做到的，
[00:40:01] 就给老师敲个一，
[00:40:03] 不能够做到的敲个二，
[00:40:04] 所以申论这个大作文，
[00:40:06] 如果你暂时不能够做到，
[00:40:08] 你不要着急，
[00:40:09] 你就先把这些背下来。
[00:40:11] 足够你用今年我们的研发目标，
[00:40:13] 只要你能够总论点分论点不跑题，
[00:40:16] 用上这些，
[00:40:17] 这让你也能够看看拿到一论文，
[00:40:19] 这今年那。
[00:40:20] 好了，
[00:40:21] 这个就把这个影响背下来了，
[00:40:23] 影响背下来之后，
[00:40:25] 请问一下同学们第三步写什么？
[00:40:27] 第三步写过渡句，
[00:40:29] 能不能给老师写一句你们的过渡句？
[00:40:32] 物转星移几度秋。
[00:40:35] 壮雄心壮志，
[00:40:36] 两中荣好上。
[00:40:38] 坡路难走力，
[00:40:40] 行则将至顶。
[00:40:41] 风船难开独至，
[00:40:43] 则必达。
[00:40:44] 风雨多经志，
[00:40:45] 弥坚关山出。
[00:40:46] 渡路由长随便用，
[00:40:48] 哪一个都是可以的。
[00:40:50] 好给大家把它写下来。
[00:40:52] 大家看这个写下来了，
[00:40:54] 请问最后一句要写什么？
[00:40:57] 最后一句是不是要写总论点？
[00:41:00] 这个总论点应该怎么写？
[00:41:02] 是不是就把总论点要把标题给我改写成一句话，
[00:41:08] 改写成一句话？
[00:41:09] 啊，
[00:41:10] 你可以加点词，
[00:41:11] 你可以呃调一下顺序是吧？
[00:41:14] 你可以就是加点句子都是可以的。
[00:41:18] 好了，
[00:41:18] 大家来看一下，
[00:41:19] 改写成一句话，
[00:41:20] 我们要用积极的态度挖掘95的价值，
[00:41:24] 让他们重新火起来也就可以了。
[00:41:27] 好了，
[00:41:27] 那我问大家一下，
[00:41:28] 这里面如果我想再把它稍微的个性化一下，
[00:41:31] 各位在名言警句和影响之间可以加什么，
[00:41:35] 可以加一个背景句，
[00:41:36] 你可以用一个万能的。
[00:41:38] 当前，
[00:41:38] 世界之变，
[00:41:39] 时代之变，
[00:41:40] 历史之变，
[00:41:41] 如果大家还想往下写的话，
[00:41:44] 再加一个文化之变。
[00:41:46] 正在以前所未有的方式展开，
[00:41:48] 那么我也给大家准备了个性化的万能的句子。
[00:41:52] 改革开放几十年，
[00:41:53] 随着中国国力的增强，
[00:41:55] 国际地位的提升。
[00:41:56] 中国传统的文化的挖掘和传播也迎来了春天，
[00:41:59] 你看直接塞在这个地方也就可以了，
[00:42:02] 请问大家下通顺不？
[00:42:03] 哎，
[00:42:04] 我给大家念一下，
[00:42:05] 我们要有积极的态度，
[00:42:06] 对旧事物进行最大的挖掘，
[00:42:08] 让他们重新焕发生机。
[00:42:10] 改革开放几十年，
[00:42:11] 随着中国国力的增强，
[00:42:13] 国际地位的提升，
[00:42:14] 中国传统文化的啊挖掘和传播也迎来了春天。
[00:42:18] 一代代旧事物是一个国家，
[00:42:20] 一个民族的灵魂，
[00:42:22] 是华夏民族积淀数千年的瑰宝。
[00:42:24] 是中华民族最基本的基因。
[00:42:26] 物转星移，
[00:42:27] 几度秋雄心壮志两中荣。
[00:42:29] 我们要用积极的态度挖掘旧事物价值，
[00:42:32] 让他们重新火起来。
[00:42:33] 各位，
[00:42:34] 请问可以不？
[00:42:35] 各位，
[00:42:35] 那么我问大家下有没有同学就是这时候又害怕了，
[00:42:40] 说老师那我问你一下，
[00:42:42] 待会我这个影响，
[00:42:43] 万一和别人重复了怎么办？
[00:42:45] 同学们，
[00:42:46] 东哥再给大家上万种排列组合来，
[00:42:49] 不服咱们看一看哎，
[00:42:50] 你你这节课一学，
[00:42:52] 你会发现只要你把这些素材背下来，
[00:42:55] 理论上这篇文章你可以写出几万种不同的方式。
[00:42:59] 我们问问大家一下，
[00:43:00] 一代代旧事物。
[00:43:02] 是一个国家，
[00:43:03] 一个民族的灵魂，
[00:43:04] 是华夏民族积淀数千年的瑰宝，
[00:43:06] 是中华民族最基本的基因。
[00:43:08] 能不能把它给我们再换一下呢？
[00:43:11] 一代代旧事物是延续文化根脉的强大动力。
[00:43:14] 是守护文化多样性的战略支撑，
[00:43:17] 是实现活态传承的必经之路。
[00:43:19] 请问大家可以不一代代旧事物，
[00:43:22] 是文明传承的基因。
[00:43:23] 密码是精神凝聚的核心纽带。
[00:43:26] 是发展赋能的不竭源泉，
[00:43:28] 可以不哎，
[00:43:29] 我给大家说一下，
[00:43:30] 我真的觉得如果你不背的话绝。
[00:43:33] 很少有同学能够写的比这些东西更加精彩，
[00:43:36] 为什么不是你们不行，
[00:43:38] 是因为你们之前从来没有接过申论这种事情，
[00:43:41] 我今年把素材和去年做了100%的更新。
[00:43:44] 不要到处乱传，
[00:43:45] 你们就把讲义上搞考研就行了，
[00:43:48] 一代代旧事物承载历史记忆，
[00:43:50] 传递价值理念，
[00:43:52] 开创未来途径，
[00:43:53] 一代代旧事物。
[00:43:54] 啊呃，
[00:43:54] 是传承文化呃呃呃，
[00:43:56] 积极挖掘旧事物是传承文化遗产的必然要求，
[00:43:59] 是推动文化创新的关键之举，
[00:44:02] 是树立文化自信的根本保障。
[00:44:04] 请问大家一下，
[00:44:05] 可以不？
[00:44:06] 可以的话给老师敲个一好了，
[00:44:09] 那有的同学说老师说那我你看我又给你准备了21条，
[00:44:14] 大家呢？
[00:44:14] 请问一下？
[00:44:15] 21条，
[00:44:16] 如果你记忆力不好，
[00:44:17] 你用不用全背啊？
[00:44:19] 不用全背，
[00:44:19] 你就自己在这里面偷偷的就被自己。
[00:44:22] 三到五组，
[00:44:23] 哎呀，
[00:44:23] 就可以了，
[00:44:24] 不用全背三到五组，
[00:44:26] 反正都是万能的，
[00:44:27] 到时候大家自由组合也就可以了，
[00:44:30] 行吗？
[00:44:31] 好了，
[00:44:31] 请问大家一下，
[00:44:33] 那有的同学不想用。
[00:44:36] 刚才那个万能的背景去，
[00:44:38] 能不能把它换一下，
[00:44:39] 就是当前我国经济社会发展进入新阶段，
[00:44:43] 新时期新城能量解决文化传承问题啊啊，
[00:44:46] 具有强烈的现实解剖性或者。
[00:44:48] 啊，
[00:44:49] 积极挖掘旧事物具有强烈的现实紧迫性都是可以的，
[00:44:53] 那么如果你不想用这个，
[00:44:55] 也不想用这个的话，
[00:44:56] 请问应该怎么变化？
[00:44:58] 哪位同学可以告诉我？
[00:45:00] 它既然是和文化有关的，
[00:45:02] 我们就随便找一句也就行了，
[00:45:05] 你上来背景句呃，
[00:45:06] 文化兴则国运兴，
[00:45:08] 文化强则国运强。
[00:45:10] 是吧啊，
[00:45:10] 当前我国公共文化服务水平不断提高，
[00:45:13] 文化事业，
[00:45:14] 文化发展啊，
[00:45:15] 繁荣发展不太合适哎，
[00:45:16] 他有的时候不一定真的就合适，
[00:45:19] 那我就换这个。
[00:45:20] 大家觉得可以不？
[00:45:21] 可以的话，
[00:45:22] 给老师打个一，
[00:45:23] 那么如果你这句不想用的话，
[00:45:26] 我就换这个，
[00:45:27] 大家觉得可以不可以的话，
[00:45:29] 给老师打个二。
[00:45:30] 各位其实完全没有问题啊，
[00:45:33] 兄弟们。
[00:45:34] 好，
[00:45:34] 再带着大家看一下第三个话题，
[00:45:37] 同学们，
[00:45:38] 这个话题呢？
[00:45:39] 大家没有看材料，
[00:45:40] 我不怪你啊。
[00:45:42] 昨天的话呢，
[00:45:42] 有一个同学来找我，
[00:45:44] 他说老师你单纯通过题目就能够直接找出总论点和分论点吗？
[00:45:48] 当然不是要结合材料，
[00:45:49] 只是我们。
[00:45:50] 一节课有一节课的目标，
[00:45:52] 不能够给大家展的那么开，
[00:45:54] 请问大家一下这个题目在考试的时候你就记住了哈。
[00:45:58] 最重要的词是哪个词？
[00:46:00] 我问大家一下，
[00:46:01] 你觉得最重要的话是第一句话还是第二句话？
[00:46:06] 我这这节课先不要追求它单主题，
[00:46:08] 双主题，
[00:46:09] 我就是给你讲这个意思，
[00:46:11] 最重要的是第一句话还是第二句话是不是第二句话？
[00:46:14] 那么第二句话当中最重要的词是哪个词？
[00:46:19] 是不是变动啊？
[00:46:20] 变动是在讲对策还是在讲一个影响？
[00:46:24] 变动是在讲对策还是在讲一个影响？
[00:46:27] 变动对于我来说是在说一个对策吧，
[00:46:31] 所以大家变动它加了引号，
[00:46:33] 如果你想把它解释清楚。
[00:46:36] 一般我不支持大家解释，
[00:46:38] 但是因为今天要给大家写大作文，
[00:46:40] 我为了让大家都方便，
[00:46:42] 我就给你写唯有。
[00:46:44] 主动求变。
[00:46:46] 主动求变，
[00:46:47] 那么你看固守不就是和求变是那个吗？
[00:46:50] 记住了这个话题，
[00:46:52] 如果你看了材料，
[00:46:53] 这是浙江的啊，
[00:46:55] 你就知道他是在说乡村振兴。
[00:46:57] 实现乡村振兴。
[00:46:59] 好了，
[00:46:59] 我再给大家说一下这个题目，
[00:47:02] 你审题审不清楚，
[00:47:03] 不怪你啊，
[00:47:04] 我只是拿这个去做例子。
[00:47:06] 请问大家下，
[00:47:07] 你们考试每年乡村振兴都会考到，
[00:47:10] 只要参加省考，
[00:47:11] 我拿到这个题目，
[00:47:12] 脑袋空白了，
[00:47:13] 不会写了，
[00:47:14] 脑子当中记住袁东老师像个大哥哥一样。
[00:47:17] 站在你身后说哪个数字？
[00:47:20] 第一步要写一个名言警句，
[00:47:23] 第二步要写一个影响，
[00:47:26] 第三步要写一个。
[00:47:28] 过渡句第四步要写一个什么？
[00:47:31] 要写一个什么总论点吧？
[00:47:33] 好了，
[00:47:33] 请问大家一下这个名言警句。
[00:47:36] 题干当中的这句话可不可以直接进行一个摘抄？
[00:47:41] 各位，
[00:47:41] 我觉得完全可以直接进行摘抄吧？
[00:47:44] 好了，
[00:47:45] 那么你抄完了，
[00:47:46] 后面如果你还想加一句话，
[00:47:48] 这句话，
[00:47:49] 那么你还想加一句话，
[00:47:51] 呃，
[00:47:51] 这句话是我们乡村工作的。
[00:47:53] 为我们乡村工作指明了方向，
[00:47:57] 大家觉得行不行？
[00:47:59] 或者为我们乡村工作呢啊提供了。
[00:48:02] 啊呃，
[00:48:03] 就是为我们乡村工作带来了新的启示，
[00:48:07] 行不行？
[00:48:07] 加句废话也是没有问题的，
[00:48:10] 接着要说影响。
[00:48:11] 请问大家一下，
[00:48:13] 这个影响是在说哪个方面的影响？
[00:48:16] 各位，
[00:48:16] 这个影响只要是乡村振兴，
[00:48:19] 就是在说乡村振兴了。
[00:48:21] 哎，
[00:48:21] 咱们也就不用管了，
[00:48:23] 乡村振兴方面的影响，
[00:48:24] 乡村振兴的影响，
[00:48:26] 每年都考，
[00:48:27] 能不能把它提前准备到？
[00:48:29] 好了，
[00:48:29] 我问大家下这句话抄完了乡村振兴的影响，
[00:48:33] 大家觉得我给你们准备的这个影响还可以不？
[00:48:36] 还可以的话，
[00:48:38] 就给老师打个一坚持主动求变，
[00:48:41] 第一个影响，
[00:48:42] 第二个影响，
[00:48:43] 还有第三个影响行吗？
[00:48:45] 好了，
[00:48:45] 然后过渡句为其艰难才更显勇毅，
[00:48:49] 为其独行才更弥足珍贵，
[00:48:52] 然后最后对策，
[00:48:53] 唯有主动求变。
[00:48:55] 啊，
[00:48:55] 方能实现乡村振兴，
[00:48:57] 我就把方能实现乡村振兴，
[00:48:59] 方能点燃乡村振兴的火种稍微的变化一下。
[00:49:03] 另外，
[00:49:04] 主动求变中间。
[00:49:05] 再加一个积极应变，
[00:49:07] 大家觉得可以不稍微的把我的词语变得层峦叠嶂，
[00:49:11] 变得丰富一些，
[00:49:13] 完全是没有问题的。
[00:49:14] 好了，
[00:49:15] 那如果我想在名言警句和影响之间可以加一个什么句子，
[00:49:20] 能不能加一个背景句？
[00:49:22] 当然是可以的吧，
[00:49:23] 这个背景剧我们把它搞定，
[00:49:26] 那么当前世界之变，
[00:49:27] 历史之变，
[00:49:28] 乡村之变，
[00:49:29] 正在以前所未有的方式展开，
[00:49:32] 可以吧？
[00:49:32] 然后呢，
[00:49:33] 二零二零年在中央农村工作会议上指出，
[00:49:36] 脱贫攻坚取得胜利后，
[00:49:38] 要全面推进乡村振兴，
[00:49:40] 这是三农工作。
[00:49:42] 重心的历史性转移也是没没有问题的，
[00:49:45] 好了，
[00:49:45] 那我问大家一下，
[00:49:47] 如果这句话我不想用的话，
[00:49:49] 能不能有一些替代的话？
[00:49:51] 大家告诉我，
[00:49:52] 坚持主动求变，
[00:49:54] 它有什么对农村农民农业有什么影响呢？
[00:49:57] 我也给大家准备好了。
[00:49:59] 各位，
[00:50:00] 你们乡村振兴，
[00:50:01] 每年都是考的，
[00:50:03] 坚持主动求变。
[00:50:04] 是深化农村改革，
[00:50:06] 激发农村活力的重大举措，
[00:50:09] 是推进农业农村现代化的重要支撑，
[00:50:12] 是筑牢乡村振兴发展根基的关键之举。
[00:50:16] 请问这句话能不能替换前面刚才的第一句话，
[00:50:21] 完全可以吧？
[00:50:22] 那么先。
[00:50:23] 坚持主动求变是推进巩固脱贫攻坚成果同乡村振兴衔接的核心任务，
[00:50:30] 是统筹缩小城乡发展差距。
[00:50:32] 促进城乡融合发展的关键举措是夯实农业强国建设根基命脉的根本支撑。
[00:50:39] 行不行？
[00:50:39] 好了，
[00:50:40] 坚持主动求变是筑牢农业高质量。
[00:50:43] 啊，
[00:50:43] 高效根基的核心支撑是擦亮乡村宜居宜业底色的关键举措，
[00:50:48] 是实现农民富裕富足愿景的根本保障。
[00:50:51] 大家觉得可以不完全没有问题啊，
[00:50:54] 这个同学都给大家准备好了啊，
[00:50:57] 都给大家准备好了。
[00:50:58] 好了，
[00:50:59] 我再接着给大家一起搞定，
[00:51:01] 等一下啊，
[00:51:02] 稍等一下，
[00:51:02] 同学们，
[00:51:03] 我要把一个同学给禁一下言啊。
[00:51:06] 嗯，
[00:51:06] 好了再带着大家往下走，
[00:51:09] 大家看这些东西，
[00:51:10] 素材都给你们印到讲义上了，
[00:51:13] 自己看万能的背景句也给大家找出来了。
[00:51:17] 好了，
[00:51:17] 再来看一下啊，
[00:51:18] 就是万能的背景句也给大家准备好了，
[00:51:21] 个性化的背景句关于乡村振兴的，
[00:51:24] 大家能不能把它背下来？
[00:51:26] 能不能把它配起来？
[00:51:27] 能吗？
[00:51:28] 能不能把它背下来，
[00:51:29] 一定把它给我背下来啊？
[00:51:31] 把它背下来，
[00:51:32] 到时候你随便换你就行了，
[00:51:35] 你用哪个作为背景去都是可以的。
[00:51:37] 好了，
[00:51:38] 我们再带着大家一起往下走，
[00:51:40] 请问大家一下有没有同学考行政执法类的？
[00:51:44] 你像啊。
[00:51:45] 每年国考行政执法的大指纹东哥，
[00:51:47] 基本上从来没有收过手。
[00:51:49] 江苏省考每年考行政执法也没有收过手，
[00:51:52] 那个还有四川考行政执法我也没有收过手。
[00:51:55] 只要他考行政执法的话题，
[00:51:57] 为什么不会失手呢？
[00:51:59] 我们来看一下这里面的原理，
[00:52:01] 请问大家一下这个题目，
[00:52:03] 认真的看一下，
[00:52:04] 如果写标题的话。
[00:52:05] 前半句是对策，
[00:52:07] 后半句是影响，
[00:52:08] 应该怎么写？
[00:52:09] 我们上节课给大家讲过这个题目，
