[00:00:00] 给大家放首歌。
[00:28:35] 大家再来看一下第五个自然段有没有同学能够给老师看出哪一个是对策？
[00:28:42] 不理解的，
[00:28:42] 等一下我会给大家有一个统一的答答疑的时间，
[00:28:46] 别着急，
[00:28:46] 先讲完这最后一个自然段就开始答题了。
[00:28:49] 大家告诉我第五个自然段，
[00:28:51] 你们告诉我段首句有没有出现任何的对策？
[00:28:55] 是不是出现了一个？
[00:28:57] 签订横向生态补偿协议。
[00:29:01] 签订横向生态补偿协议。
[00:29:04] 请问大家下它是什么签订横向生态补偿协议？
[00:29:09] 请问大家下它是不是一个对策是吧？
[00:29:13] 请问签订横向。
[00:29:15] 生态补偿协议最重要的是要干什么？
[00:29:18] 是在说签订协议还是在说横向补偿？
[00:29:21] 各位是不是在说横向生态补偿啊？
[00:29:24] 那么，
[00:29:25] 断尾句依然是在说横向生态补偿，
[00:29:28] 所以你会发现这两个加起来，
[00:29:31] 他们都是在说一个横向。
[00:29:33] 生态补偿，
[00:29:35] 大家一起写下来横向。
[00:29:37] 生态。
[00:29:39] 补偿好了，
[00:29:40] 请问大家一下，
[00:29:42] 现在这是我们找的第三个对策了吧？
[00:29:45] 再接着往下面一段。
[00:29:47] 就到了最后一段了，
[00:29:49] 最后一段刚才我们找了几个对策，
[00:29:52] 其上就干了两个对策，
[00:29:53] 第一个高频词就是合长办公室，
[00:29:56] 大家一起写。
[00:29:57] 成立。
[00:29:58] 合掌。
[00:30:00] 办公室。
[00:30:02] 还有一个对策是什么？
[00:30:04] 有没有同学能够告诉我？
[00:30:06] 还有一个对策就是新建。
[00:30:09] 什么是不是桥梁？
[00:30:11] 这个时候我们的对策都找出来了，
[00:30:14] 当然这里面还有一个共保联制，
[00:30:17] 对吧？
[00:30:18] 这个共保联制又出现了一个。
[00:30:21] 断尾，
[00:30:21] 所以整个材料它是一个什么逻辑关系？
[00:30:25] 同学们，
[00:30:26] 能不能现在清晰了？
[00:30:28] 整个材料它是什么逻辑关系？
[00:30:30] 同学们，
[00:30:31] 你会发现是不是一个总分总的关系啊？
[00:30:34] 我们再给大家来看一下啊。
[00:30:36] 第一个总先说了一个。
[00:30:39] 共保联制。
[00:30:40] 第一个总先说了一个共保联制，
[00:30:44] 然后接着一个分说了协同立法，
[00:30:48] 接着第二个分说了联合执法。
[00:30:51] 接着第三个分说了横向生态补偿，
[00:30:56] 接着第四个分说了成立河长办公室。
[00:31:01] 接着第五个分说了新建桥梁，
[00:31:05] 现在大家能够看懂吗？
[00:31:07] 能够看懂吗？
[00:31:09] 整个的材料，
[00:31:10] 它的概括的对策就全部出来了，
[00:31:13] 大家看这个是在我们第一句当中说的共保联制，
[00:31:18] 它是一个总。
[00:31:19] 这个是一个分。
[00:31:20] 这个也是一个分，
[00:31:23] 这个也是一个分，
[00:31:25] 这个也是一个分，
[00:31:27] 这个也是一个分。
[00:31:29] 有没有同学听过我之前的理论刷题，
[00:31:32] 这个就是我们曾经理论刷题的一个题目，
[00:31:35] 在我们陕西把它当成了一个大作文去考。
[00:31:39] 在我们其他省份，
[00:31:40] 把它当成了一个概括原因类的题目去考，
[00:31:43] 但是你会发现完全一模一样。
[00:31:46] 有没有同学这种感觉？
[00:31:48] 各位有没有同学有这种感觉？
[00:31:50] 好了，
[00:31:51] 那理论上来讲，
[00:31:52] 我问大家一下，
[00:31:53] 如果在考试的时候，
[00:31:55] 我能不能把这句话当成我们的？
[00:31:57] 总论点或者是标题，
[00:31:59] 能的话给老师敲个一，
[00:32:01] 不能的话给老师敲个二，
[00:32:03] 你会发现完全没有问题吧？
[00:32:05] 这个能不能当成分零点一？
[00:32:07] 这个能不能当成分零点二？
[00:32:09] 这个能不能当成分零点三？
[00:32:11] 这个能不能当成分零点四？
[00:32:13] 这个能不能当成分零点五？
[00:32:14] 完全是可以的吧，
[00:32:16] 但是亲爱的同学们，
[00:32:18] 就是我这个时候想把它干一件事情，
[00:32:22] 这一件事情。
[00:32:24] 就是你们有没有觉得五个分论点实在是太多了，
[00:32:27] 而且我们这个题目要求多少次，
[00:32:30] 还有没有同学能够记得清楚？
[00:32:32] 这个题目要求800到1000字，
[00:32:35] 各位一般800到1000字。
[00:32:38] 我们一般就直接写几个分论点就差不多了，
[00:32:43] 各位800到1000字，
[00:32:44] 很多同学还要写六个自然段，
[00:32:47] 你想想。
[00:32:48] 你800到1000个字，
[00:32:50] 你五个自然段，
[00:32:51] 平均每个自然段还不到200个字，
[00:32:54] 200个字能写什么？
[00:32:56] 写不了太多的。
[00:32:57] 所以我们如果用五个分论点的话，
[00:33:00] 加一个开头，
[00:33:01] 加一个结尾，
[00:33:02] 这就是七个自然段，
[00:33:03] 那么我们显然五个分论点是不现实的。
[00:33:06] 如果不现实，
[00:33:08] 我又不想把他们全部都舍弃，
[00:33:10] 这个时候我就需要把分论点进行一个合并同类项。
[00:33:15] 大家觉得这五个分论点当中，
[00:33:18] 首先你们一眼看出来哪个分论点可以进行一个合并？
[00:33:23] 抓紧时间告诉我，
[00:33:24] 你们觉得哪一个分论点可以进行合并，
[00:33:27] 我觉得第一个分论点和第二个分论点，
[00:33:30] 它可以合并第一个分论点和第二个分论点。
[00:33:34] 它是指的什么呢？
[00:33:35] 同学们，
[00:33:36] 它你看它是不是就是在指的法律层面的，
[00:33:40] 我们可以把它合并，
[00:33:41] 所以大家打一个法律给老师打出来。
[00:33:45] 把一个法律。
[00:33:47] 好了，
[00:33:47] 那么另外一个我再问大家一下，
[00:33:50] 就是还有哪个你觉得可以合并？
[00:33:53] 有没有同学告诉我，
[00:33:55] 就是横向生态补偿就能够让老百姓呢拿到一些利益。
[00:34:00] 然后呢，
[00:34:01] 改善基础设施也会给老百姓呢带来一定的这种好处，
[00:34:05] 请问这是在说什么？
[00:34:07] 这个是不是在说一个利益啊？
[00:34:10] 这个是不是在说一个利益啊？
[00:34:12] 然后呢？
[00:34:13] 大家再来看一下最后一个成立河长办公室，
[00:34:17] 这是在干什么？
[00:34:19] 成立何种办公室？
[00:34:20] 它是在说一种机制，
[00:34:22] 也就是一种协调的机制，
[00:34:23] 就是很多同学不理解什么叫机制。
[00:34:26] 汽车所有零件搭在一起进行运转，
[00:34:29] 这个就叫机制。
[00:34:30] 所以大家一起写这个叫机制。
[00:34:35] 好了，
[00:34:35] 这就是我们三个分论点的方向，
[00:34:37] 现在大家能够听清楚的话，
[00:34:39] 给老师打个一当然啊，
[00:34:41] 你如果有其他的合并的方式，
[00:34:43] 我觉得也没有问题，
[00:34:44] 只要自圆其说就行，
[00:34:46] 但是这个是绝对经得起检验的。
[00:34:48] 大家来看这个就是你协同立法，
[00:34:51] 联合执法，
[00:34:52] 协同联合我们取一个词，
[00:34:55] 大家取哪一个词比较合适？
[00:34:57] 我们还要把这个分类点呢，
[00:34:59] 进行一个包装，
[00:35:00] 是不是就叫法律协同啊？
[00:35:03] OK，
[00:35:03] 那么另外一个大家看我们这个时候在集市上突然成立了一个合掌办公室，
[00:35:10] 给老师加一个动词，
[00:35:11] 这个加哪个动词？
[00:35:13] 是不是就是进行了一个机制创新啊？
[00:35:17] 好吧，
[00:35:18] 大家再来看一下我们这个时候利益把b省的和a省的连在一起了，
[00:35:24] 我们这个时候利益把b省和a省的通过桥梁连接在一起了。
[00:35:29] 所以大家一起写叫利益连接，
[00:35:31] 所以整个就清晰了，
[00:35:33] 所以我们的三个分论点就是第一个分论点叫法律协同，
[00:35:38] 第二个分论点叫机制创新。
[00:35:41] 第三个分论点叫利益连接，
[00:35:43] 中间的话呢？
[00:35:44] 请问这些词语是我们做小题时候找的对策，
[00:35:49] 能不能写在我们的？
[00:35:51] 论证里边来能就给老师敲个一，
[00:35:53] 不能就给老师敲个二，
[00:35:55] 各位那你会发现完全是可以的，
[00:35:57] 所以这个时候我们就把分论点呢，
[00:36:00] 给大家写出来了，
[00:36:01] 大家来看一下。
[00:36:02] 这是我们的一个分论点，
[00:36:04] 就是我们把第一个分论点当和第二个分论点合在一起了，
[00:36:09] 它叫。
[00:36:09] 法治协同，
[00:36:11] 那么我们把核长办公室把它提升了，
[00:36:14] 叫机制创新。
[00:36:16] 我们把啊，
[00:36:17] 这个横向生态补偿和建桥记住了，
[00:36:20] 叫利益联结。
[00:36:22] 现在清晰了，
[00:36:23] 不清晰的话，
[00:36:23] 给老师打个一那刚才呢？
[00:36:25] 因为我停电之前我看到有一个同学呢，
[00:36:28] 说了一件事情，
[00:36:29] 他说老师你上节课讲就近原则，
[00:36:31] 这节课为什么又要从这个材料当中找呢？
[00:36:34] 各位，
[00:36:35] 因为就近原则，
[00:36:36] 第六个自然段只说了两个，
[00:36:39] 它不够，
[00:36:40] 一个是河长办公室，
[00:36:42] 一个是叫新建桥梁。
[00:36:44] 它不够，
[00:36:45] 所以我需要从整个一二三四五六段去找去补充，
[00:36:50] 现在听清楚了吗？
[00:36:52] 听清楚的话，
[00:36:53] 给老师打个一各位，
[00:36:54] 这个题目没有听的同学，
[00:36:56] 我建议大家再把它听一下好吧，
[00:36:58] 既然大家买了这个课，
[00:37:00] 我把这个题目呢给大家免费添加在这个。
[00:37:03] 大指纹的这个冲刺课里边，
[00:37:05] 你们如果有需要想听的话，
[00:37:07] 可以把这个题目听一下，
[00:37:09] 够意思吗？
[00:37:10] 好吧，
[00:37:10] 然后呢？
[00:37:11] 我们也就把它分开了。
[00:37:13] 各位，
[00:37:13] 那么我问大家一下，
[00:37:15] 我们的分论点的写作的模式一共有几种模式？
[00:37:19] 是不是有三种啊？
[00:37:20] 第一种模式是不是叫总论点？
[00:37:23] 加对策第二种模式是不是叫总论点加影响第三种模式是不是叫总论点加对策？
[00:37:32] 再加上一个请讲，
[00:37:34] 大家同意不？
[00:37:35] 那么，
[00:37:36] 总论点加对策，
[00:37:37] 加影响，
[00:37:37] 那么我们就用总论点加对策加影响的方式去写，
[00:37:41] 大家看总论点就是共保联制，
[00:37:44] 总论点是共保联制，
[00:37:45] 总论点是共保联制。
[00:37:47] 然后呢？
[00:37:47] 分论点呢？
[00:37:48] 是法治协同分论点呢？
[00:37:50] 是机制创新分论点呢？
[00:37:52] 是利益联结，
[00:37:53] 当然我反复给大家说。
[00:37:55] 这种单主题的答案是不是唯一的？
[00:37:58] 是唯一的就给老师教个一，
[00:38:00] 不是唯一的就给老师教个二，
[00:38:02] 这种单主题的答案不是唯一的，
[00:38:04] 大家只要意思相近。
[00:38:06] 能够结合材料论证的时候，
[00:38:08] 自圆其说也就可以了啊，
[00:38:10] 能够自圆其说也就可以了，
[00:38:12] 这个是没有任何问题的啊，
[00:38:14] 这个是没有问题的。
[00:38:16] 那么然后大家再来给老师看一下，
[00:38:19] 你觉得这三个分论点从逻辑上来讲，
[00:38:22] 成立不成立这三个分论点，
[00:38:24] 我们要想把。
[00:38:25] 一个地方的治理，
[00:38:27] 做好的话，
[00:38:28] 需要先有法治，
[00:38:29] 接着需要再有机制。
[00:38:31] 有河长办公室，
[00:38:33] 有人去执行，
[00:38:34] 再接着还需要从根本利益上做平衡。
[00:38:37] 大家觉得可以报各位，
[00:38:39] 那么完全是清晰的好吧，
[00:38:41] 你看有的同学呢，
[00:38:43] 没有注意看生态补偿，
[00:38:45] 就是牵扯到利益方面的。
[00:38:47] 然后呢，
[00:38:47] 基础设施一个桥呢，
[00:38:49] 就是涉及到连接层面的，
[00:38:51] 听懂了吗？
[00:38:52] 也就是涉及到连接层面的。
[00:38:54] 好吧，
[00:38:55] 那么接着来讲的话，
[00:38:56] 我们需要把分论点呢，
[00:38:58] 再给大家包装润色一下制度创新，
[00:39:00] 信息共享，
[00:39:01] 信息共享，
[00:39:02] 我不知道你是在哪个地方去看到的哈。
[00:39:05] 信息共享呢，
[00:39:06] 我不知道你是在哪个地方去看到的，
[00:39:09] 你是看到的这个吗？
[00:39:10] 这个信息共享呢，
[00:39:12] 它本质上是对河长办公室的解释说明。
[00:39:15] 所以我们不要出现信息共享，
[00:39:17] 听懂了吗？
[00:39:18] 听懂的话给老师打个机，
[00:39:20] 各位你从那一段看到的就是你没有看懂。
[00:39:23] 整个这一段是在说河长办公室信息共享，
[00:39:27] 是对河长办公室的解释，
[00:39:29] 说明我们就选择河长办公室就可以了。
[00:39:32] 信息共享，
[00:39:33] 大家来看一下共享这个信息呢？
[00:39:36] 它明显和河长办公室，
[00:39:38] 它明显和协同立法和联合执法。
[00:39:41] 和生态补偿和基础设施不是一个维度的，
[00:39:45] 现在大家听清楚了吗？
[00:39:46] 各位有的同学说，
[00:39:48] 成立办公室为什么是一个机制？
[00:39:50] 你可能不了解机制是什么意思啊？
[00:39:54] 我再给大家说一下机制的话呢，
[00:39:56] 就是指的我们给你举个例子吧，
[00:39:59] 就是你像汽车。
[00:40:01] 各个零件在一起，
[00:40:02] 配合在一起运转就叫机制，
[00:40:04] 它原来这个这个地方的话呢，
[00:40:07] 就是大家。
[00:40:08] 就是互相不配合，
[00:40:09] 谁也不管谁的，
[00:40:10] 各管一段导致的话呢，
[00:40:12] 运转失灵，
[00:40:13] 所以我们最终就成立了合作合长办公室。
[00:40:16] 他就是在说一个机制创新的问题好吧，
[00:40:20] 如果想不到机制直接写办公室是行吗？
[00:40:23] 有点土啊，
[00:40:24] 但是也不是说不行。
[00:40:25] 啊，
[00:40:25] 我也不能跟你这样说啊，
[00:40:27] 就是有点土吧，
[00:40:29] 那你你只要你可以写一个叫制度创新行不行？
[00:40:33] 写一个机制创新。
[00:40:42] 好吧好了，
[00:40:43] 有的同学说老师为什么不看其他材料，
[00:40:47] 材料当中的话呢？
[00:40:48] 也有为什么不看其他材料？
[00:40:51] 同学们告诉我，
[00:40:52] 因为这个材料我给大家说的优先从题干当中找题干当中呢，
[00:40:57] 如果能够找到，
[00:40:59] 我们就把它找到。
[00:41:00] 如果找不到的话，
[00:41:02] 怎么卡了呢？
[00:41:03] 现在还卡吗？
[00:41:04] 同学们。
[00:41:05] 现在还卡吗？
[00:41:06] 还卡的话给老师打个一不卡了哈，
[00:41:09] 好了我再给大家说一下哈，
[00:41:11] 像成立办公室这种的，
[00:41:12] 你要真的不能理解成它是机制，
[00:41:15] 我也没有办法。
[00:41:16] 然后呢？
[00:41:17] 这个东西的话呢？
[00:41:18] 它是一个常识的问题，
[00:41:20] 你这节课就记住了，
[00:41:21] 机制就像一个汽车一样，
[00:41:23] 它的各个零件呢，
[00:41:25] 配合起来进行运转就叫机制。
[00:41:27] 这个合长办公室的就是让我们各个部门能够配合起来进行运转，
[00:41:32] 这种就叫机制，
[00:41:33] 现在能够听清吗？
[00:41:34] 制度和机制，
[00:41:35] 它不是一个意思，
[00:41:37] 我下面给大家补充一下吧，
[00:41:39] 第一个大家看在我们申论考试的时候有几个层面，
[00:41:43] 第一个叫思想。
[00:41:44] 第二个叫制度。
[00:41:47] 第三个叫机制。
[00:41:50] 第四个叫法治。
[00:41:53] 叫法律第五个叫监管理。
[00:41:59] 第六个叫监督。
[00:42:03] 好了，
[00:42:03] 第七个叫什么？
[00:42:05] 有没有同学能够告诉我第七个叫技术，
[00:42:10] 第八个叫什么？
[00:42:11] 同学们，
[00:42:12] 第八个叫投入。
[00:42:14] 我们来给大家分析一下这几个的不同思想上，
[00:42:18] 是指一个人脑子里边的这个制度和法律呢？
[00:42:22] 我问大家一下，
[00:42:23] 它往往是指的一些。
[00:42:24] 条文这个也是指的一些条文听懂了吗？
[00:42:29] 这个机制你就记住，
[00:42:31] 我给你举的那个例子。
[00:42:33] 汽车的各个零件，
[00:42:34] 他们配合起来工作，
[00:42:36] 这就叫机制，
[00:42:37] 然后呢，
[00:42:37] 政府的各个部门，
[00:42:39] 他们配合起来进行工作，
[00:42:41] 进行运转，
[00:42:41] 这个也叫机制。
[00:42:43] 什么叫管理？
[00:42:44] 管理也就是我管着你，
[00:42:46] 你不要呃我管着你该怎么干啊？
[00:42:48] 我进行对你甚至进行一个考核。
[00:42:51] 监督你就是我要查你的意思，
[00:42:54] 听见了吗？
[00:42:55] 技术和投入很好理解，
[00:42:57] 我就不再说了，
[00:42:58] 好了，
[00:42:58] 下面我再问大家下。
[00:43:00] 你不要跟我说原文有什么制度创新，
[00:43:03] 一定要找大词，
[00:43:05] 各位刚才有个同学跟我说这个共享信息，
[00:43:08] 为什么不要写？
[00:43:10] 你们一定要记住了，
[00:43:12] 共享信息，
[00:43:13] 它是一个三级目录，
[00:43:14] 它和协同立法，
[00:43:16] 它和联合执法。
[00:43:17] 他和城里河长办公室，
[00:43:19] 他和进行生态补偿，
[00:43:20] 他和盖山基础设施不是一个层面的事，
[00:43:23] 现在听懂了吗？
[00:43:25] 听懂了的话就给老师打个机。
[00:43:27] 另外一个有的同学问我，
[00:43:29] 他说老师为什么不从其他材料当中找，
[00:43:32] 这也是一个比较严肃的问题，
[00:43:35] 各位我们优先从题干当中找。
[00:43:38] 题干当中找不到，
[00:43:39] 就从所在材料当中找。
[00:43:42] 所在材料如果不够的话，
[00:43:44] 从什么地方找？
[00:43:46] 同学们就从其他材料当中找这个所在材料都已经用不完了，
[00:43:51] 你再从其他材料当中找，
[00:43:53] 那不是舍近求远吗？
[00:43:55] 好吧，
[00:43:55] 那么这个所在材料又分成了第一个叫就近原则，
[00:44:01] 第二个叫就远原则。
[00:44:03] 那么我们这个就近原则只找到了一个桥梁，
[00:44:07] 只找到了一个河长办公室，
[00:44:10] 明显不够，
[00:44:10] 所以我们把其他材料也看了一下。
[00:44:13] 又找出来三个，
[00:44:14] 然后我们再把它分类，
[00:44:16] 现在听清楚了吗？
[00:44:17] 听清楚的话，
[00:44:18] 你觉得可以过的话就给老师打个过。
[00:44:21] 那么整体来讲，
[00:44:23] 我的三个分类点也就出来了，
[00:44:25] 叫这是一个总论点。
[00:44:27] 这是一个分论点，
[00:44:29] 这是一个分论点，
[00:44:31] 那么这个分论点的模式，
[00:44:34] 它是总论点。
[00:44:35] 加上对策，
[00:44:36] 再加上一个影响，
[00:44:38] 各位你想把它包装一下的话，
[00:44:40] 请问可以怎么包装？
[00:44:42] 可以把这个维测维测维测给我进行一个包装，
[00:44:46] 换成什么换成我给你准备的，
[00:44:49] 后面前面七节课给你准备的那些模板。
[00:44:52] 这些模板叫什么？
[00:44:54] 同学们来看一下，
[00:44:56] 是不是叫叫什么？
[00:44:57] 不要再下功夫了啊，
[00:44:59] 那么可以谋突破，
[00:45:01] 求实效，
[00:45:02] 见真章。
[00:45:02] 是吧，
[00:45:03] 大家来看一下，
[00:45:04] 我们就把这三个字添下去，
[00:45:06] 稍微进行一个润色，
[00:45:08] 叫把唯策换成谋突破，
[00:45:10] 求实效，
[00:45:11] 见真章。
[00:45:11] 各位，
[00:45:12] 这三个词共保廉治是材料当中的原词，
[00:45:16] 然后他们都是为跨越治理带来为跨跨域治理带来好处。
[00:45:22] 第一个是制度根基，
[00:45:24] 第二个是执行效能，
[00:45:25] 第三个是供应共识，
[00:45:27] 那么如果大家不会的话，
[00:45:29] 你就可以中间。
[00:45:30] 爸再加这几个词。
[00:45:32] 把影响也润色一下，
[00:45:34] 影响怎么润色？
[00:45:35] 各位影响我有没有给大家准备相应的润色？
[00:45:40] 随便选一组啊，
[00:45:41] 攀峰之梯，
[00:45:42] 破斧之破冰之斧。
[00:45:44] 指路之碑也可以随便选，
[00:45:46] 攀峰之梯，
[00:45:47] 那么还有怎么样呃，
[00:45:49] 叫垦荒之理，
[00:45:50] 还有一个叫导航之星都是可以的。
[00:45:54] 大家只要选的合情合理也就可以了，
[00:45:57] 大家来看一下，
[00:45:58] 这个时候我们就把它润色一下，
[00:46:00] 各位如果有的同学他说老师我想不到这几个词。
[00:46:04] 请问大家一下行不行？
[00:46:06] 各位，
[00:46:06] 我如果你想不到这几个词，
[00:46:08] 能不能直接用后面的这四个字把它写出来？
[00:46:12] 就是以共保联制破题，
[00:46:13] 在法治协同上谋突破。
[00:46:15] 是筑牢跨域治是怎么样筑牢跨域治理的排风之基？
[00:46:19] 是激活跨域治理的破冰之釜？
[00:46:22] 是凝聚跨域治理的指露之碑。
[00:46:24] 都是可以的好吧，
[00:46:25] 现在听懂了的话，
[00:46:27] 给老师打个一有的同学说老师为什么不写题干当中的连接带？
[00:46:31] 题干当中的连接带，
[00:46:33] 本质上它是一个结果。
[00:46:36] 现在听懂了的话，
[00:46:37] 给老师打个一。
[00:46:39] 各位大家来看一下我们刚才的话呢，
[00:46:42] 给大家把它理解成对策，
[00:46:44] 但是我们读完了材料之后发现不是如此，
[00:46:48] 认真看一下。
[00:46:49] 就是过去，
[00:46:50] 它是指的一个背景，
[00:46:52] 现在它是指的一个结果，
[00:46:54] 听懂了吗？
[00:46:55] 这个连接带是我们用了一个。
[00:46:59] 对策去把它解决的这个对策只用一个词来解释叫什么词，
[00:47:04] 有同学给老师打出来吗？
[00:47:06] 大家一起写叫共保。
[00:47:08] 联制啊，
[00:47:09] 同同意吗？
[00:47:10] 叫共保联制，
[00:47:11] 为了实现共保联制，
[00:47:13] 我们一共做了几件事情？
[00:47:16] 几件事情？
[00:47:17] 第一个叫立法，
[00:47:19] 第二个叫执法，
[00:47:21] 第三个叫横向的生态补偿。
[00:47:25] 第四个叫什么？
[00:47:27] 第四个叫河长办公室，
[00:47:30] 第五个叫什么？
[00:47:32] 第五个叫。
[00:47:34] 剑桥大家同意不？
[00:47:35] 哎，
[00:47:36] 就是我们通过这个才把它变成一个连接带，
[00:47:40] 最后把两地联合起来，
[00:47:43] 这个联合起来。
[00:47:44] 材料当中有一个词，
[00:47:46] 大家一起写，
[00:47:47] 叫跨域治理，
[00:47:49] 现在大家到现在完全明白的话，
[00:47:52] 给老师打个一。
[00:47:53] 你如果这篇材料没有这篇文章的话呢，
[00:47:56] 大家如果没有把材料看懂的话，
[00:47:59] 基本上就挂掉了，
[00:48:00] 陕西的题目。
[00:48:01] 他的这个大总分的分数又高，
[00:48:03] 然后呢50分，
[00:48:04] 然后呢，
[00:48:05] 而且的话呢，
[00:48:06] 整体来讲又难，
[00:48:07] 我再给大家来看一下哈，
[00:48:08] 大家来看一下，
[00:48:09] 就是在这个材料当中，
[00:48:11] 他先给我们说出来了。
[00:48:12] 共保廉治，
[00:48:13] 跨域治理，
[00:48:15] 这个是一个对策，
[00:48:17] 这个是一个影响，
[00:48:18] 然后为了能够实现。
[00:48:21] 做到共保廉治，
[00:48:22] 实现跨域治理，
[00:48:23] 他现在干的第一件事情就是协同立法，
[00:48:27] 第二件事情就是联合执法。
[00:48:29] 第三件事情就是横向生态补偿。
[00:48:32] 第四件事情就是成立核长办公室。
[00:48:36] 第五件事情就是新建桥梁。
[00:48:38] 现在清晰了吗？
[00:48:39] 现在清晰了吗？
[00:48:41] 现在清晰的话，
[00:48:42] 给老师打个一，
[00:48:43] 最后呢，
[00:48:44] 他又说了，
[00:48:45] 我们干了五件事情之后就是共保连治了，
[00:48:48] 就是两地。
[00:48:49] 受益了各位事情的话呢，
[00:48:51] 就是如此简单啊，
[00:48:53] 如果你看懂了，
[00:48:54] 你当然就觉得简单，
[00:48:56] 如果你看不懂的话呢，
[00:48:58] 这个题目就非常非常的麻烦。
[00:49:00] 好吧，
[00:49:01] 如果你看懂了就简单了，
[00:49:02] 看不懂的话呢，
[00:49:04] 那这个题目就很麻烦了好吧？
[00:49:17] 能够看懂吗，
[00:49:19] 兄弟们？
[00:49:23] 能够看懂吗？
[00:49:25] 能够看懂的话就给老师打个过好吧好了，
[00:49:29] 那么当然了，
[00:49:30] 我们如果想润色的话，
[00:49:32] 我给你弄了好几种润色的方式。
[00:49:35] 这个叫破解无据可依的治理困境，
[00:49:39] 破解协调不上的操作难题，
[00:49:42] 破解意愿不强的。
[00:49:43] 深层次的一个矛盾，
[00:49:45] 这些呢，
[00:49:45] 我们都给大家写好了。
[00:49:49] 现在能够看懂吗？
[00:49:57] 写不出来，
[00:49:58] 完全听不懂是哪个地方听不懂，
[00:50:00] 不要有情绪啊，
[00:50:02] 你就告诉我是哪个地方听不懂？
[00:50:04] 各位，
[00:50:05] 我们给大家把这个过一下，
[00:50:07] 稍等一下啊。
[00:50:08] 就是你觉得。
[00:50:10] 就是粗读，
[00:50:11] 我就问大家一下，
[00:50:13] 就是这整个粗读能不能读出来协同立法，
[00:50:17] 联合执法，
[00:50:18] 生态补偿核账办公室基础设施？
[00:50:22] 到这能够看懂吗？
[00:50:24] 利益利益，
[00:50:25] 我对你进行横向生态补偿，
[00:50:28] 难道不是利益吗？
[00:50:30] 连接我给你建立一个桥梁，
[00:50:32] 难道不是连接吗？
[00:50:35] 好吧OK，
[00:50:36] 你那种就是合并也是可以的。
[00:50:42] 现在不要想着你那点答案，
[00:50:44] 你先把我的答案理解了行吗？
[00:50:47] 你不要天天想着老师讲课，
[00:50:49] 就是为了迁就你，
[00:50:50] 就是为了让你满足，
[00:50:51] 证明你的答案也是对的，
[00:50:53] 那个有什么意义啊？
[00:50:55] 就你那边水平，
[00:50:56] 你就别再想这些事了，
[00:50:58] 东哥现在不要安安，
[00:50:59] 不要去安慰你了行吗？
[00:51:01] 你先把这个能够理解的话也就可以了。
[00:51:04] 行不行？
[00:51:05] 有的同学说老师为什么不解释？
[00:51:08] 我的妈呀，
[00:51:09] 各位，
[00:51:09] 那个连接带不就是共保连治吗？
[00:51:12] 这会不又一直在给你解释吗？
[00:51:16] 不太会合并，
[00:51:18] 那就慢慢慢合并啊，
[00:51:20] 因为这个陕西的题目呢，
[00:51:24] 150分。
[00:51:26] 能够考到105分就进面了，
[00:51:28] 你有你可以漏掉40分也正常，
[00:51:31] 然后呢，
[00:51:31] 我们再接着给大家一起往下走好吧？
[00:51:34] 你不要想着上我的课，
[00:51:36] 寻求安慰哈，
[00:51:37] 或者是觉得非常简单呃，
[00:51:39] 或者是能够符合你的答案和你的，
[00:51:41] 你要抱着对答案就是让我。
[00:51:43] 委曲求全，
[00:51:44] 满足你那个已经不现实了哈，
[00:51:47] 兄弟们好了，
[00:51:48] 大家来看一下，
[00:51:49] 以共保廉治破题，
[00:51:50] 绘就跨域治理新图景，
[00:51:52] 各位大家现在能够理解这个词的话。
[00:51:55] 给老师打个一，
[00:51:56] 这两组词是在哪一个自然段出现的？
[00:51:59] 还有印象吗？
[00:52:00] 是不是就是在我们那个有个舍问的那句话出现的？
[00:52:05] 各位，
[00:52:05] 你这个时候不要用题干当中的那个连接了，
[00:52:09] 因为它在题干当中的连接带，
[00:52:12] 本质上它是一个最终的结果。
[00:52:14] 是我们实行了供保联制之后，
[00:52:17] 是我们呃，
[00:52:18] 就是实现了跨越治理之后，
[00:52:21] 才把它变成了一个连接带原来。
[00:52:24] 它是分开的，
[00:52:25] 听清楚了吧？
[00:52:26] 好了，
[00:52:26] 再接着给大家一起往下走，
[00:52:29] 请问拿到这个题目之后，
[00:52:31] 我们要给大家写一个。
[00:52:33] 就是开头这个开头应该怎么写？
[00:52:36] 有没有同学告诉我开头四步走第一步是什么？
[00:52:40] 同学们告诉我。
[00:52:41] 是不是一个名言警句，
[00:52:44] 第二步是一个叫什么？
[00:52:46] 第二步是什么？
[00:52:48] 第二步是一个影响？
[00:52:50] 第三步是一个什么？
[00:52:52] 第三步是一个过渡句，
[00:52:54] 第四步是一个什么？
[00:52:55] 第四步是一个总论点吧。
[00:52:58] 好了，
[00:52:58] 这个名言警句我们要来源于题干，
[00:53:02] 还是来源于材料，
[00:53:03] 还是来源于自身的一个积累。
[00:53:06] 同学们告诉我是不是题干当中有的尽量用题干，
[00:53:10] 那我就直接用题干，
[00:53:12] 我就把它写出来了，
[00:53:13] 大家看这个就把它写出来了。
[00:53:16] 好了，
[00:53:16] 写出来之后，
[00:53:17] 这个名言警句最好，
[00:53:19] 我要用一句话把它解释一下，
[00:53:21] 解释的时候有的同学说，
[00:53:23] 老师，
[00:53:24] 你为什么不解释？
[00:53:25] 我跟你说，
[00:53:26] 你一定要给老师一点时间，
