[00:00:00] 在电视上看什么嘴，
[00:26:47] 是促进经济社会发展的循境之途。
[00:26:50] 大家觉得没问题吧，
[00:26:52] 或者做好民生小事，
[00:26:54] 是增进人民幸福水平的开山之口。
[00:26:57] 做好民生小事，
[00:26:58] 是提升政府服务质量的登山之所。
[00:27:01] 做好民生小事是促进经济社会发展的循经制图，
[00:27:05] 随便组合啊，
[00:27:06] 随便组合a3a三三是完全没有问题的，
[00:27:10] 这一下子就这六种。
[00:27:11] 各位，
[00:27:12] 你们知道吗？
[00:27:13] 就是因为登山之所，
[00:27:14] 开山之镐，
[00:27:15] 寻经之途，
[00:27:16] 我只要上课，
[00:27:17] 我不管讲哪个词，
[00:27:18] 很多同学呢，
[00:27:19] 就直接记这个词，
[00:27:20] 他下面的词就不看。
[00:27:22] 所以每次到考试之前啊，
[00:27:24] 总是有很多同学就是拿着我的头像用那个AR的话呢，
[00:27:28] 生成一个就是我穿着一个那个冲锋衣，
[00:27:32] 然后呢，
[00:27:32] 手里边呢，
[00:27:33] 拿这个稿。
[00:27:34] 另外呢，
[00:27:35] 身上呢，
[00:27:35] 还绑着绳索，
[00:27:36] 你知道吗？
[00:27:37] 就是把我放在一个山上，
[00:27:39] 然后回头一看，
[00:27:40] 哇，
[00:27:41] 你只要每次因为。
[00:27:42] 到考前了，
[00:27:43] 大家都是逢届迷信走一波，
[00:27:45] 只要每次考试之前你知道吧，
[00:27:47] 全网最火的申论老师，
[00:27:48] 你们知道现在我很不幸，
[00:27:50] 我被选中了，
[00:27:51] 我就是那个所谓的最火的申论老师。
[00:27:53] 就一堆人给我P图啊，
[00:27:55] 穿着什么叫做什么这个这这个这个这个服装叫什么什么始祖鸟的啊，
[00:28:00] 这我这个服装叫什么我也不知道，
[00:28:03] 这个服装叫什么？
[00:28:04] 反正我就家里人给我买的，
[00:28:06] 我都不知道叫什么啊，
[00:28:07] 穿着各种就各种品牌的服装，
[00:28:09] 就是那种冲锋衣全给我穿上去了，
[00:28:11] 哎呀我的妈呀，
[00:28:12] 我身上不是绑着绳子就是拿着那个镐。
[00:28:15] 还有的话呢，
[00:28:16] 就是登个山，
[00:28:17] 反正要么就是三者都齐来，
[00:28:19] 我也是服了你们了，
[00:28:21] 各位。
[00:28:21] 所以我为了防止大家的话呢，
[00:28:24] 重复我给大家这种四个字的准备了很多，
[00:28:28] 就是一把钥匙，
[00:28:29] 一道良方，
[00:28:30] 一袋锦囊。
[00:28:31] 必由之路，
[00:28:32] 必经之法，
[00:28:33] 这个是我写有一个错别字啊，
[00:28:35] 你们看书有没有印错？
[00:28:37] 必经之法，
[00:28:38] 必然选择永恒课题成事之基，
[00:28:40] 关键之举，
[00:28:41] 内在要求。
[00:28:42] 坚强支撑根本途径，
[00:28:44] 重要保障战略支撑根本方向。
[00:28:46] 添砖加瓦关键一环保驾护航，
[00:28:49] 凝心聚力把它搞定了也就行了好吗？
[00:28:52] 当然了，
[00:28:52] 有的同学说老师我就喜欢登山之索，
[00:28:55] 开山之镐，
[00:28:55] 寻静之途，
[00:28:56] 那么我又不想和别人重复，
[00:28:58] 能不能给我换几个词，
[00:28:59] 那么让我个性化可以的啊。
[00:29:01] 比如说同学们，
[00:29:02] 你你就你就想一下啊，
[00:29:04] 就是我们能不能破局之曜攻坚之锤导航之标，
[00:29:08] 你如果登山是登山的以后，
[00:29:10] 你们能不能把东哥给弄到大海上？
[00:29:13] 就是破浪之帆，
[00:29:15] 拓荒之旅，
[00:29:15] 领航之灯，
[00:29:16] 大海上不就是有浪吗？
[00:29:18] 有浪就有帆，
[00:29:19] 大海上不是要有一个领航之之呃之灯吗？
[00:29:23] 再加上一个田地里面的。
[00:29:25] 还有呢，
[00:29:25] 登山不要只是山，
[00:29:27] 还有风攀风之击，
[00:29:28] 破冰之斧，
[00:29:29] 指路之碑，
[00:29:30] 不也可以吗？
[00:29:31] 到南极还有呢，
[00:29:32] 如果大家到大海的话，
[00:29:34] 渡海之中，
[00:29:34] 破土之产，
[00:29:35] 导向之轮。
[00:29:36] 是吧，
[00:29:36] 然后呢？
[00:29:37] 还有呢？
[00:29:38] 如果大家上山的话，
[00:29:39] 叫登攀之绳，
[00:29:40] 凿石之钻，
[00:29:41] 引路之奇，
[00:29:42] 还有呢呃，
[00:29:43] 如果大家的话呢？
[00:29:44] 就是到一个山谷里面呢，
[00:29:46] 有跨谷之粮，
[00:29:47] 劈石之府。
[00:29:48] 导航制图，
[00:29:49] 然后呢？
[00:29:50] 如果说你这个它只是一个普通的险滩的涉滩之阀，
[00:29:54] 开岩之锤，
[00:29:55] 止航之灯，
[00:29:56] 你就想着你自己旅游，
[00:29:58] 你把这些情景。
[00:29:59] 一细化，
[00:30:00] 我给大家准备了20组，
[00:30:02] 大家觉得够用不？
[00:30:04] 这20组每一组是三个词，
[00:30:06] 就是60个词，
[00:30:07] 那么a63你就可以。
[00:30:10] 又变换成60×59×58了，
[00:30:13] 够意思吗？
[00:30:13] 同学们，
[00:30:14] 你别管我是海贼王还是不是海贼王我，
[00:30:17] 我估计你们到时候又能够给我弄个加利比海盗了啊。
[00:30:21] 但是有山就有岭，
[00:30:23] 越岭之桥，
[00:30:24] 破土之山，
[00:30:24] 导航之星行不行？
[00:30:26] 哎，
[00:30:26] 反正我今年呢，
[00:30:27] 每次哈，
[00:30:28] 你们可以看一下，
[00:30:30] 每次只要到国考。
[00:30:31] 只要到省考，
[00:30:32] 因为大家最后都知道，
[00:30:34] 平常大多数时间学行测，
[00:30:35] 但是最后基本上都是跟着申论，
[00:30:38] 老师才能上岸，
[00:30:39] 只要是申论。
[00:30:40] 行测不是天赋异禀的绝大多数同学都是跟着申论老师上岸，
[00:30:44] 到最后的话呢，
[00:30:45] 你看到最后每一个人什么小母书，
[00:30:48] 什么抖音，
[00:30:48] 那几天你们随便刷，
[00:30:50] 一定是全部都是我的。
[00:30:51] 那个大家身上给我绑着一个绳索，
[00:30:53] 有的同学给我绑的，
[00:30:55] 还感觉我好像有点变态似的，
[00:30:57] 你知道吧？
[00:30:57] 你们要多AR的图，
[00:30:58] 也给我弄个好一点的行不行？
[00:31:00] 你要再给我弄的那种变态的感觉，
[00:31:03] 我跟你说一下，
[00:31:04] 我我我要找律师起诉你啊，
[00:31:06] 就是好了。
[00:31:07] 那有的同学说什么登山之索，
[00:31:09] 开山之镐，
[00:31:10] 寻经之徒，
[00:31:11] 我都不想用，
[00:31:11] 你能不能再给我换成其他的？
[00:31:14] 大家觉得这些可以不？
[00:31:15] 够意思不？
[00:31:16] 今年的话呢，
[00:31:17] 我就把所有的素材给大家更新了，
[00:31:21] 基本上能够保证200万名学生听我的课。
[00:31:25] 做到不重样，
[00:31:26] 各位你们觉得可以不就是重要保障，
[00:31:29] 坚强支撑，
[00:31:30] 根本保证坚实基础，
[00:31:31] 强大动力，
[00:31:32] 重要支柱。
[00:31:33] 重要依托随便选根本途径，
[00:31:36] 根本举措，
[00:31:36] 内在要求，
[00:31:37] 现实要求，
[00:31:38] 基本前提，
[00:31:39] 内在需要应有之义，
[00:31:41] 制胜之道，
[00:31:42] 战略选择，
[00:31:42] 必然选择。
[00:31:43] 够意思吗？
[00:31:44] 好再来看一下同学们还有什么？
[00:31:48] 稍等一下啊，
[00:31:50] 那么。
[00:31:52] 好了，
[00:31:53] 这些都是可以给大家做准备的，
[00:31:56] 那么我问大家一下，
[00:31:57] 如果在考试的时候它是一个议论文该怎么办？
[00:32:02] 你刚才是单独的正论文，
[00:32:04] 单独的侧论文我都知道了，
[00:32:06] 但是现在要把它给我变成一个议论文总论点加对策加影响。
[00:32:11] 或者是对策加影响，
[00:32:13] 这种模式应该怎么办？
[00:32:15] 记住了，
[00:32:15] 我们如果是这种模式，
[00:32:17] 是需要对策也润色。
[00:32:19] 影响也润色吗？
[00:32:20] 还是只润色一个？
[00:32:22] 同学们告诉我一下，
[00:32:24] 记住了，
[00:32:24] 如果你是这种情况，
[00:32:26] 就只润色一个，
[00:32:27] 不要两个都润色。
[00:32:29] 否则的话呢，
[00:32:30] 不够用，
[00:32:31] 现在听懂了吗？
[00:32:32] 你比如说做优做强制造业家底，
[00:32:35] 需要在推动科技自强上。
[00:32:37] 同学们，
[00:32:38] 给老师加三个字，
[00:32:39] 你刚才记住了哪三个字？
[00:32:42] 需要在推动科技自强上。
[00:32:45] 动真格，
[00:32:46] 大家觉得可以不？
[00:32:50] 好了，
[00:32:50] 需要在坚持筑巢引凤上给老师加三个字，
[00:32:54] 我们看看有没有同学能够加的不一样。
[00:32:58] 创新路，
[00:32:59] 大家觉得考不考？
[00:33:02] 好需要在优化营商环境上再给老师加三个字谋突破，
[00:33:08] 大家一起把它搞定。
[00:33:11] 谋突破，
[00:33:11] 大家觉得可以不也是没有问题的好吧，
[00:33:14] 同学们就这种呢，
[00:33:16] 大家一定把它搞定啊，
[00:33:18] 你记住了，
[00:33:18] 如果你的对策润色了之后影响就。
[00:33:21] 就千万不要再润色了，
[00:33:23] 就直接遮超好，
[00:33:25] 那我问大家一下，
[00:33:26] 如果我们的对策。
[00:33:28] 不润色的话，
[00:33:29] 我们只想润色，
[00:33:31] 影响大家觉得怎么润色影响，
[00:33:34] 请问大家一下，
[00:33:35] 登山之所。
[00:33:37] 开山之镐，
[00:33:38] 寻静之徒，
[00:33:39] 你觉得可以不？
[00:33:41] 我们来看一下做优做强制造业家底。
[00:33:45] 润色影响对策就不要变了，
[00:33:48] 需推动科技自强。
[00:33:50] 啊，
[00:33:50] 做优做强制造业加底，
[00:33:52] 推动科技自强。
[00:33:54] 是打造创新高地的。
[00:33:58] 登山之所，
[00:33:59] 大家觉得可以吗？
[00:34:01] 好做优做强制造业家底。
[00:34:05] 坚持筑厂引凤是打造人才宝地的。
[00:34:10] 开山之镐，
[00:34:12] 大家觉得可以吗？
[00:34:14] 好做优做强制造业家底，
[00:34:17] 优化营商环境是打造政策服务地的。
[00:34:22] 循径。
[00:34:23] 制图，
[00:34:23] 你们觉得可以不？
[00:34:26] 可以的话，
[00:34:26] 给老师打个一，
[00:34:28] 这个也就给大家搞定了，
[00:34:30] 这种的话呢，
[00:34:31] 这节课其实讲到这儿就已经结束了，
[00:34:34] 这节课实在是有点骗大家钱的感觉。
[00:34:37] 我我都有点不好意思，
[00:34:38] 但是我实在没办法，
[00:34:40] 兄弟们，
[00:34:41] 因为内容就这么多，
[00:34:42] 这节课主要就是给大家准备的素材。
[00:34:45] 虽然这节课有点骗你钱了，
[00:34:47] 讲课的内容骗你钱了，
[00:34:49] 但是我就问大家一下，
[00:34:50] 这个素材你觉得能不能值？
[00:34:52] 这节课我们一节课大约就一块钱。
[00:34:55] 能不能把这一块钱你觉得值不？
[00:34:57] 你你给你宿舍的同学给他一块钱，
[00:35:00] 让他给你准备这么多素材，
[00:35:02] 我估计有点难，
[00:35:03] 所以你们也别退钱了。
[00:35:04] 行吗？
[00:35:05] 同学们，
[00:35:06] 你退钱我都看不见兄弟们啊，
[00:35:08] 多么痛的领悟啊，
[00:35:10] 我就送你们一首歌行吗？
[00:35:12] 同学们，
[00:35:13] 送一首歌啊，
[00:35:14] 就是哎，
[00:35:15] 这这这。
[00:35:15] 就是课不够呃哥来凑好不好好？
[00:35:19] 记住我跟你说的话，
[00:35:22] 如果他是。
[00:35:24] 总论点加对策或加影响的话是润色其中之一也就可以了，
[00:35:30] 还有一种方式大家来看一下。
[00:35:33] 我问大家下，
[00:35:34] 如果在考试的时候我们舌接把总论点这一排删去，
[00:35:39] 你们觉得可以不？
[00:35:40] 我们的分论点直接不做任何的润色，
[00:35:44] 就直接干巴巴的写成啊，
[00:35:46] 推动科技自强，
[00:35:47] 打造创新高地。
[00:35:49] 坚持筑巢引粪，
[00:35:50] 打造人才宝地，
[00:35:51] 优化营商环境，
[00:35:53] 打造政策福利，
[00:35:54] 可以不也是没有问题的啊，
[00:35:56] 也是没有问题的。
[00:35:58] 这种呢，
[00:35:59] 大家只要能够自圆其说也就可以了，
[00:36:02] 行吗？
[00:36:02] 同学们。
[00:36:03] OK诶。
[00:36:06] 这节课是我们历史上最短的一次课，
[00:36:09] 竟然八点钟也就结束了好吗？
[00:36:11] 同学们。
[00:36:12] 嗯，
[00:36:12] 最近的话呢，
[00:36:14] 觉得自己生活幸福吗？
[00:36:17] 最近觉得自己生活幸福吗？
[00:36:19] 我给大家留个作业啊，
[00:36:21] 我要求大家把这三种模式就是打个卡。
[00:36:25] 能够做到的话，
[00:36:27] 给老师敲个一，
[00:36:28] 今天晚上上完课马上就打卡，
[00:36:30] 我给大家上完课，
[00:36:31] 大家马上就打卡，
[00:36:33] 这样你就现场把它掌握，
[00:36:35] 明天早晨早起。
[00:36:36] 记忆力不好的同学背三组记忆力好的同学背五组，
[00:36:40] 足够你用了的行不行？
[00:36:42] 同学们啊，
[00:36:43] 一定把它给我搞定。
[00:36:44] 好吗，
[00:36:45] 同学们？
[00:36:45] 啊，
[00:36:46] 各位，
[00:36:46] 我突然意识到自己真的很好，
[00:36:49] 因为我永远乐观，
[00:36:51] 坚强，
[00:36:51] 勇敢，
[00:36:52] 即便遇到难过的事情，
[00:36:54] 也只是晚上哭一哭，
[00:36:56] 颓废。
[00:36:56] 但是我还是依旧热爱所有我依旧敢于生活顶撞，
[00:37:01] 敢在秘境里撒野，
[00:37:03] 直面生活的污水，
[00:37:04] 永远乐意为新一轮的月亮和。
[00:37:07] 和日落欢呼，
[00:37:08] 你们有多少同学能够做到这句话，
[00:37:11] 就给老师敲个一各位昨天晚上呢，
[00:37:13] 有一个同学呢跟我说。
[00:37:15] 他这个失恋了啊，
[00:37:17] 我到毕业季的话呢，
[00:37:19] 我的私信里边总是堆满了各种失恋的。
[00:37:22] 这种私信我想给大家说一下啊，
[00:37:25] 失恋了也就失恋了，
[00:37:27] 没有什么关系的哎，
[00:37:28] 就是一个人的话呢，
[00:37:30] 恋爱对于我们每个人，
[00:37:31] 我反复给大家说过，
[00:37:33] 它就是一个奢侈品。
[00:37:35] 就像LV的包包，
[00:37:36] 有咱们就拎出去到大街上炫耀炫耀，
[00:37:39] 没有的话呢，
[00:37:40] 咱们就拎拎一个帆布包也能炫耀。
[00:37:43] 好吧，
[00:37:43] 每个人的一生当中总会有那么一段难熬的岁月，
[00:37:47] 毕业季六月份就是这个样子的，
[00:37:50] 我们所遇到的是好坏，
[00:37:52] 都是相对的。
[00:37:53] 好事并非一定好，
[00:37:54] 坏事也不是绝对的坏，
[00:37:56] 我们不需要因为一时的不顺觉得沮丧，
[00:37:59] 也不能觉得一路走来太顺心而得意忘形啊。
[00:38:03] 谁的生活不是一地鸡毛，
[00:38:05] 大家都是普通人，
[00:38:06] 过好自己就好，
[00:38:07] 钱没了可以再挣，
[00:38:09] 工作没了也可以再找，
[00:38:10] 朋友没了还可以再交，
[00:38:12] 爱情没了可以再遇。
[00:38:14] 人生本来就是一无所有，
[00:38:16] 何惧从头再来啊？
[00:38:17] 山有顶峰，
[00:38:18] 湖有彼岸。
[00:38:19] 在人生漫漫长途中，
[00:38:21] 万物皆有回转啊。
[00:38:22] 请你相信一切终有回报。
[00:38:25] 各位同学，
[00:38:26] 我问大家一下，
[00:38:27] 你们觉得一个网课一般最好的时间是多长？
[00:38:32] 有没有同学能够告诉我？
[00:38:34] 我觉得网课啊，
[00:38:35] 反正我就觉得是一个小时到一个半小时就差不多了啊，
[00:38:40] 如果我再给大家讲长了的话呢？
[00:38:42] 基本上你们的注意力和膀胱呢，
[00:38:45] 也扛不住好吧，
[00:38:46] 今天晚上呢，
[00:38:47] 是我们效率最高的一次，
[00:38:49] 有点骗大家钱，
[00:38:50] 但是骗了也就骗了吧。
[00:38:52] 行吗？
[00:38:52] 同学们，
[00:38:53] 就当我以前给你加班，
[00:38:54] 今天晚上补回来了，
[00:38:56] 你们都是我的老板，
[00:38:57] 你们平常加班不给我加班费，
[00:38:59] 因为我给大家卖课的时候天天骗大家，
[00:39:02] 我说一节课就是一个小时。
[00:39:03] 但是实际上每节课都是一个半小时啊，
[00:39:06] 稍微拖点长哎，
[00:39:08] 这节课呢也确实不到一个小时，
[00:39:10] 我也很惭愧，
[00:39:11] 所以我就把这个研发给大家做到。
[00:39:14] 多了一点，
[00:39:15] 你们能不能把它背下来？
[00:39:17] 能背吗？
[00:39:18] 能背吗？
[00:39:19] 记住所有的同学在评论区记住了啊。
[00:39:22] 不背是小狗，
[00:39:24] 把面试卷敲在评论区，
[00:39:25] 这节课也就结束了，
[00:39:27] 小爱同学。
[00:39:29] 小爱同学嗯。
[00:39:31] 播放。
[00:39:35] 小爱同学，
[00:39:38] 我在。
[00:39:39] 播放花海。
[00:39:43] 好的，
[00:39:44] 小爱想陪你一起听不良歌曲，
[00:39:50] 周杰伦的花海。
