[00:00:00] 公平。
[00:28:50] 大概率要写什么样的背景？
[00:28:53] 能不能告诉我？
[00:28:54] 如果要写背景的话，
[00:28:56] 它是哪个方面的背景？
[00:28:58] 有没有同学能够告诉我它是哪个方面的背景？
[00:29:02] 是不是？
[00:29:02] 执法方面的背景啊，
[00:29:04] 各位，
[00:29:04] 那么执法方面的背景，
[00:29:06] 我们能不能想一句比较万能的话呢？
[00:29:09] 我觉得还是可以的。
[00:29:11] 你看我们的背景，
[00:29:12] 至少有一个新时代。
[00:29:15] OK，
[00:29:15] 然后我们现在的新时代，
[00:29:18] 它讲的是执法的背景，
[00:29:21] 执法场景。
[00:29:24] 日缺。
[00:29:26] 复杂，
[00:29:27] 给老师一起把它写下来也就可以了，
[00:29:29] 大家觉得这个可以不？
[00:29:31] 新时代执法场景日趋复杂，
[00:29:33] 写完了背景之后，
[00:29:35] 我没有话说了。
[00:29:36] 请问大家一下。
[00:29:37] 我可以再加一个要素，
[00:29:39] 加哪一个要素？
[00:29:40] 各位，
[00:29:41] 我写完了背景之后，
[00:29:43] 我实在就背景，
[00:29:44] 我只能写这一句话，
[00:29:46] 我小学一一。
[00:29:47] 给大一哥一样，
[00:29:48] 都是一年级上了半天就没了，
[00:29:51] 好很多同学说老师想一个问题。
[00:29:54] 各位，
[00:29:55] 我现在问大家下。
[00:29:57] 这个往前跑是指的非常非现场监管，
[00:30:01] 那么我们要写问题，
[00:30:03] 应该写的是现场监管的问题，
[00:30:06] 还是应该写的是？
[00:30:08] 非现场监管的问题，
[00:30:09] 同学们，
[00:30:10] 你觉得更大概率要写哪一个问题？
[00:30:13] 是不是要写现场监管的问题啊好？
[00:30:16] 现场监管的问题，
[00:30:18] 那我们就直接写传统。
[00:30:20] 现场监管，
[00:30:21] 我们想几个比较替换它的词，
[00:30:24] 稍微的变换一下现场监管，
[00:30:27] 往往是需要人海战术。
[00:30:30] 现场监管往往需要上门巡查。
[00:30:36] OK，
[00:30:36] 我问大家一下，
[00:30:38] 我们人海战术，
[00:30:39] 我们上门巡查，
[00:30:41] 你如果作为一个市场监管局的工作人员，
[00:30:45] 他会存在什么问题？
[00:30:47] 大家告诉我，
[00:30:48] 尤其比起那些AR摄像头，
[00:30:51] 自动就给你弄好了，
[00:30:53] 你觉得现场监管是不是？
[00:30:55] 就是效率非常低啊，
[00:30:57] 而且的话呢，
[00:30:57] 你会影响人家企业的正常运营，
[00:31:00] 你去了你是执法人员，
[00:31:01] 别人肯定要配合你一下吧，
[00:31:03] 所以。
[00:31:04] 这种模式现场监管的模式效率低。
[00:31:10] 效率低。
[00:31:12] 还有一个干扰大。
[00:31:14] 干扰大，
[00:31:15] 一起把它搞定已经。
[00:31:19] 难以。
[00:31:23] 适应治理。
[00:31:28] 需求一起把它写下来好。
[00:31:31] 一起把它搞定好了，
[00:31:32] 写完了这个问题之后，
[00:31:34] 我没有话说了，
[00:31:35] 这个时候我就知道袁东老师站在我身后像个大哥哥一样，
[00:31:40] 说再想一个要素。
[00:31:41] 请问大家一下，
[00:31:42] 说完了问题之后，
[00:31:44] 我们可以说哪个要素是不是可以直接上对策了？
[00:31:48] 不写影响行不行？
[00:31:50] 我就看看不写影响上来就个性化，
[00:31:53] 到底行不行？
[00:31:54] 那么我问大家一下我们。
[00:31:56] 对策应该怎么写？
[00:31:58] 既然他是围绕着非现场监管说的，
[00:32:01] 所以我就问大家一下，
[00:32:03] 我们在这里面要说的对策应该是什么？
[00:32:07] 我们要说的对策，
[00:32:08] 是不是就是往前跑？
[00:32:10] 要说的对策，
[00:32:11] 是不是就是非现场监管？
[00:32:12] 你说哪一个都是可以的，
[00:32:14] 所以大家一起写，
[00:32:16] 唯有。
[00:32:17] 主动。
[00:32:19] 奔跑勇于。
[00:32:26] 创新一起把它搞定。
[00:32:29] 好了，
[00:32:29] 那没有话了，
[00:32:31] 那么怎么办？
[00:32:32] 问大家一下，
[00:32:33] 可不可以加一个影响？
[00:32:35] 可不可以加一个影响？
[00:32:37] 可以吧？
[00:32:38] 你加一个影响才能打破。
[00:32:43] 路径依赖。
[00:32:44] 才能打破路径依赖，
[00:32:48] 一起把它搞定。
[00:32:50] OK，
[00:32:51] 激活。
[00:32:54] 监管效能大家觉得可以吗？
[00:32:58] 可以的话，
[00:32:59] 给老师打飞机。
[00:33:01] 激活监管效能可以吧？
[00:33:03] 好了，
[00:33:03] 那么这个对策写完了之后，
[00:33:06] 我的妈呀，
[00:33:06] 我又没有话了，
[00:33:08] 所以我就问大家下。
[00:33:09] 对策写完之后没有话了，
[00:33:11] 接着要干什么了诶？
[00:33:13] 没有话了，
[00:33:14] 永远记住袁东老师站在你身后，
[00:33:16] 像个大哥哥一样说。
[00:33:18] 举例子好了，
[00:33:19] 我问大家一下，
[00:33:21] 举例子应该包含什么要素？
[00:33:24] 一般来讲，
[00:33:25] 最全的是四个要素。
[00:33:27] 要找问题。
[00:33:29] 举例子还要找主体。
[00:33:32] 举例子还要说对策。
[00:33:35] 举例子还要说影响好了，
[00:33:37] 这当然是最全的，
[00:33:39] 但是这样的话呢，
[00:33:40] 容易超字数，
[00:33:41] 请问如果是这种情况，
[00:33:43] 我们绝大多数时候举例子。
[00:33:46] 就是只找主主体，
[00:33:47] 只写对策，
[00:33:48] 只写影响也就可以了，
[00:33:50] 请问大家一下，
[00:33:52] 这些是我们提前备好了。
[00:33:54] 还是我们考试的时候最好从材料当中找大家直接给我做出你的选择，
[00:34:01] 各位你要想备考，
[00:34:02] 基本上不可能从材料当中找也就行了。
[00:34:05] 好，
[00:34:06] 那我们就从材料当中去，
[00:34:08] 把它找出来，
[00:34:09] 大家跟着老师一起看这个材料到底应该怎么找？
[00:34:13] 材料，
[00:34:13] 袁董老师说了，
[00:34:15] 先要把主体找出来。
[00:34:17] 然后还要把对策找出来。
[00:34:20] 袁董老师说了，
[00:34:21] 还要找一个哪个要素？
[00:34:23] 是不是还要找一个影响啊？
[00:34:26] 好，
[00:34:26] 我现在问大家一下。
[00:34:28] 你们觉得先把这个主体给老师完形填空申论的大作文的写作就是一场久违的完形填空，
[00:34:37] 你们告诉我。
[00:34:38] 这个主体应该写哪个词？
[00:34:40] 哪位同学可以告诉我是不是叫意识啊？
[00:34:45] 对吧，
[00:34:45] 然后呢，
[00:34:46] 找对策的话，
[00:34:47] 我们之前在小题当中给大家讲过概括对策，
[00:34:51] 主要是找什么样的标志性的词语，
[00:34:54] 哪位同学可以告诉我？
[00:34:56] 是不是找动词，
[00:34:58] 再加上一个事情啊，
[00:35:00] 那么这个时候我们随便给大家看一下。
[00:35:04] 启动大家看这个算不算是一个对策？
[00:35:08] 同学们告诉我算吧，
[00:35:10] 启动数字化监管，
[00:35:12] 我就可以直接摘抄。
[00:35:14] 亦是率先。
[00:35:17] 启动。
[00:35:19] 数字化。
[00:35:22] 监管一起把它写下来，
[00:35:24] 你看这个对策，
[00:35:25] 咱们就把它抄下来了。
[00:35:27] 好了，
[00:35:28] 那么下面我不想直接抄材料，
[00:35:31] 把这句话直接抄上去，
[00:35:33] 我这个时候应该怎么办？
[00:35:35] 我这个时候我就再找对策，
[00:35:38] 请问大家一下，
[00:35:39] 这个算不算是一个对策？
[00:35:42] 算不算是一个对策？
[00:35:44] 你会发现算吧，
[00:35:45] 但是我又不想直接摘抄，
[00:35:47] 记住了，
[00:35:48] 完全照抄是肯定不行的，
[00:35:50] 那么你需要把它稍微的改写一下。
[00:35:53] 要么你给我调换顺序，
[00:35:55] 要么你给我变换词语，
[00:35:58] 变换词语，
[00:35:59] 你觉得变换什么词语比较靠谱？
[00:36:02] 这种动词请问大家一下可不可以变换？
[00:36:06] 有没有同学？
[00:36:07] 我为了防止那个阅卷人员说我抄，
[00:36:10] 我就把安装大家觉得可以变成哪个词？
[00:36:14] 变成一个动词布设。
[00:36:17] 这个了我都不用了哎，
[00:36:19] 你看我不是抄你打官司，
[00:36:21] 你也赢不了我7000余台监控设备。
[00:36:24] 7000余台。
[00:36:27] 监控。
[00:36:30] 还有一个设备一起把它搞定。
[00:36:33] 好，
[00:36:33] 再带着大家往下走，
[00:36:35] 大家来看一下还干了什么事情，
[00:36:38] 开发AI监管系统，
[00:36:40] 请问大家一下这句话，
[00:36:42] 如果我把它改写的话。
[00:36:44] 能把开发给老师换成哪个动词？
[00:36:48] 你们人人都会搭建。
[00:36:50] AI监管。
[00:36:55] 系统一起把它写下来，
[00:36:57] 你看就是完全是取之于才啊，
[00:37:00] 用之于我们的答案好了再来看一下。
[00:37:04] 最后他还有一个全天候监控，
[00:37:07] 还有一个实现这个实现，
[00:37:10] 请问大家一下可以代表什么要素？
[00:37:14] 哪位同学可以告诉我，
[00:37:15] 这个实现是不是就是这个具体的例子带来的影响？
[00:37:19] 那我就给大家一起写下去。
[00:37:21] 实现不要全部摘抄实现。
[00:37:25] 全天扣。
[00:37:28] 远程监控。
[00:37:31] 随便把这个词稍微的变换一下顺序，
[00:37:35] 全天候。
[00:37:36] 远程。
[00:37:39] 怎么样监测？
[00:37:40] 我把监控换成监测，
[00:37:42] 请问大家一下能不能算？
[00:37:44] 我超肯定不能算我超。
[00:37:47] 好了，
[00:37:47] 我再问大家下，
[00:37:49] 就是下面如果我还想说影响的话，
[00:37:52] 这个3200余起能不能算是一个影响？
[00:37:56] 我觉得是可以的吧？
[00:37:58] 所以大家看二零二三年，
[00:38:00] 我不想直接抄二零二三年，
[00:38:02] 我就把它变成一个一年。
[00:38:05] 自动识别安全隐患。
[00:38:08] 自动。
[00:38:10] 识别。
[00:38:12] 安全。
[00:38:14] 隐患。
[00:38:17] 多少起啊？
[00:38:18] 3000余起，
[00:38:19] 你看我就再把数字都稍微的改一下也就可以了好了。
[00:38:25] 执法响应时间大幅缩短，
[00:38:27] 效率显显著提升。
[00:38:29] 请问大家一下，
[00:38:30] 我需不需要在考试的时候，
[00:38:33] 如果我漏了这句话，
[00:38:35] 会不会扣分？
[00:38:36] 哪位同学可以告诉我，
[00:38:38] 你会发现不会扣分执法。
[00:38:41] 想这个和小题又不完全一样了，
[00:38:44] 执法响应时间。
[00:38:46] 大幅。
[00:38:48] 缩短你看直接就把它搞定。
[00:38:52] 好了，
[00:38:52] 我问大家下，
[00:38:54] 现在大家告诉我，
[00:38:55] 你连起来读，
[00:38:56] 你觉得这段话通顺还是不通顺，
[00:38:59] 大家来看啊，
[00:39:00] 我给大家写的，
[00:39:01] 先先把写的给大家看一下。
[00:39:03] 大家看写的叫。
[00:39:06] 法者，
[00:39:06] 治之端也。
[00:39:07] 新时代执法场景日趋复杂，
[00:39:09] 传统人海战术上门巡查模式效率低，
[00:39:12] 干扰大，
[00:39:13] 已经难以适应治理需求。
[00:39:15] 唯有主动奔跑，
[00:39:17] 勇于创新。
[00:39:17] 才能打破路径依赖，
[00:39:19] 激活监管效能啊，
[00:39:21] 接着直接就上例子了，
[00:39:23] 这个例子叫议事率先启动数字化监管，
[00:39:26] 布设7000余台监控设备，
[00:39:28] 搭建AI监管系统。
[00:39:30] 实现全天候远程监测一年自动识别安全隐患三全一起执法响应时间大幅缩短。
[00:39:37] 请问大家下，
[00:39:38] 你觉得可以不？
[00:39:39] 可以的话，
[00:39:40] 给老师打分析，
[00:39:41] 不可以的话，
[00:39:42] 给老师打个二，
[00:39:43] 你会发现只要你学了这种方法，
[00:39:46] 没有人能够说你去抄材料，
[00:39:48] 因为我们规避抄材料。
[00:39:50] 用了两个招数，
[00:39:51] 哪两个招数第一个把材料当中的顺序进行一个随意的组装，
[00:39:56] 我并不是，
[00:39:57] 我是把这句话。
[00:39:58] 和这句话进行跨自然段的组装，
[00:40:01] 那么第二个我把材料当中相应的动词稍微的给它进行一个变换，
[00:40:06] 这样请问大家一下能不能完全是我？
[00:40:09] 说我是抄材料，
[00:40:10] 不能申论，
[00:40:11] 你会发现要想拿到议论文，
[00:40:14] 最重要的就是结合材料，
[00:40:16] 大家把结合材料给老师拿出来。
[00:40:19] 什么叫结合材料？
[00:40:20] 结合材料不是抄材料，
[00:40:22] 结合材料是去改写材料，
[00:40:24] 明白了吗？
[00:40:25] 这个时候申论的材料就相当于你将来工作之后你面对的很多的。
[00:40:31] 现实的场景就是你去调查出这个整个的材料当中的内容，
[00:40:36] 然后你根据这个内容编成一篇文章。
[00:40:39] 大家听明白了吗？
[00:40:40] 好了，
[00:40:41] 那如果我在这个地方，
[00:40:43] 我想个性化举例子。
[00:40:45] 请问大家一下。
[00:40:46] 除了来源于材料。
[00:40:50] 那么，
[00:40:50] 在考试的时候可不可以来源于自身的一个积累？
[00:40:55] 我问大家一下，
[00:40:57] 可以不？
[00:40:57] 你会发现在考试的时候，
[00:41:00] 它有一句话叫结合材料，
[00:41:02] 后面那句话，
[00:41:03] 同学们知道叫什么词？
[00:41:05] 哪位同学可以告诉我申论所有的大指纹，
[00:41:09] 基本上都会有这句话，
[00:41:11] 结合材料又不。
[00:41:12] 拘泥于材料，
[00:41:13] 大家现在能够记住这句话吗？
[00:41:15] 怎么样不拘泥于这个材料呢？
[00:41:17] 我就给大家说一下，
[00:41:19] 大家给老师一起写在评论区。
[00:41:21] 类比推理把类比推理写出来。
[00:41:26] 各位，
[00:41:26] 我首先问大家一下，
[00:41:28] 就是这个题目，
[00:41:30] 它讲的是非现场监管，
[00:41:32] 非上线监管，
[00:41:33] 它就是指的一个。
[00:41:35] 哎，
[00:41:36] 这种餐厅里面的智能的摄像头，
[00:41:39] 大家还能够想到我们执法机关的监管，
[00:41:44] 它可能有什么样的例子？
[00:41:47] 哪位同学可以告诉我，
[00:41:49] 哪位同学可以告诉我，
[00:41:51] 你认真想一下，
[00:41:52] 就是对于我们来讲的话，
[00:41:54] 就是你会发现，
[00:41:55] 如果你现在到内蒙古，
[00:41:57] 随便大呃去砍人家的那个树。
[00:42:00] 你会发现是不是有无人机啊？
[00:42:02] 或者节假日你走那个应急通道是不是有无人机啊？
[00:42:07] 你就想想执法部门有什么不法执，
[00:42:10] 执法部门有交警。
[00:42:11] 有林业好吧，
[00:42:12] 除了无人机，
[00:42:13] 我问大家一下，
[00:42:15] 现在执法部门在你们国考当中招生最大的执法部门是哪个部门？
[00:42:20] 哪位同学能够告诉我？
[00:42:22] 招生最多的执法部门是哪个部门？
[00:42:26] 是税务，
[00:42:27] 请问大家一下税务。
[00:42:29] 它的非现场监管，
[00:42:31] 它主要是靠什么进行非现场监管，
[00:42:34] 哪位同学能够告诉我？
[00:42:37] 税务它的非叫金四系统，
[00:42:39] 金四系统本质上来讲是不是它不是无人机，
[00:42:44] 无人机它是一个硬件？
[00:42:46] 税务系统为什么很多女同学愿意报税务系统呢？
[00:42:50] 她不用出差，
[00:42:51] 她不用到现场给人家，
[00:42:53] 就是吵架，
[00:42:54] 不用到现场给人家对抗。
[00:42:56] 税务系统主要是通过金四系统的软件进行，
[00:43:00] 什么同学们有同学大出来了，
[00:43:04] 叫大数据。
[00:43:05] 筛查。
[00:43:06] 大数据筛查一起帮他搞定好了，
[00:43:10] 还有一个如果你考到公公安安的话，
[00:43:14] 请问。
[00:43:15] 中国就是你在大陆上，
[00:43:17] 如果你打人，
[00:43:18] 你大概率会被拍下来，
[00:43:20] 拍下来你这个东西叫什么东西？
[00:43:22] 哪位同学告诉我？
[00:43:24] 是不是有一个叫天眼系统啊？
[00:43:27] 有个同学呢，
[00:43:28] 就是前几天呢，
[00:43:29] 和一个人呢，
[00:43:31] 就是发生了碰撞，
[00:43:32] 然后呢，
[00:43:33] 他呢，
[00:43:33] 就是后来呢？
[00:43:35] 发现这个人和他是一个小区的，
[00:43:38] 然后他晚上偷偷的拿了个砖头，
[00:43:40] 拿了个小刀，
[00:43:42] 把人家车划了，
[00:43:43] 然后还在抖音上给我发私信。
[00:43:45] 然后呢？
[00:43:46] 说东哥，
[00:43:47] 你看我终于是吧？
[00:43:49] 就是出了一口气，
[00:43:50] 我当时给他的建议，
[00:43:52] 你抓紧时间。
[00:43:54] 去给那个车主留个条子，
[00:43:56] 告诉他你要承担所有责任，
[00:43:59] 他当时不信。
[00:44:00] 第二天一早，
[00:44:01] 公安就给他打电话了，
[00:44:03] 请问这个公安是怎么样确定他作案的？
[00:44:07] 就是那个天眼系统听懂了吗？
[00:44:10] 还有一个。
[00:44:10] 就现在车上很多都装有摄像头，
[00:44:13] 你不要这样干行吗？
[00:44:15] 同学们好了，
[00:44:16] 这个叫什么？
[00:44:17] 这个叫物联网监测。
[00:44:19] 大家把物联网监测给老师打出来，
[00:44:21] 当然你想的这个词不一定和我一样，
[00:44:24] 因为大总文它和小题不一样，
[00:44:26] 只要大家合情合理也就可以了。
[00:44:28] 好了，
[00:44:29] 那我们这个类比推理，
[00:44:31] 我依然想主体，
[00:44:32] 我依然想对策，
[00:44:34] 我依然想影响大家一起把它搞定。
[00:44:37] 好了，
[00:44:38] 大家来看一下，
[00:44:39] 应该怎么办？
[00:44:40] 主体主体，
[00:44:41] 你会发现这时候就不是一个城市了，
[00:44:45] 叫多地。
[00:44:46] 然后对策干的什么对策推行？
[00:44:50] 非现场监管。
[00:44:53] 推行非现场，
[00:44:54] 我永远记住我的主题是在说非现场。
[00:44:59] 监管一起把它写下来。
[00:45:02] OK，
[00:45:02] 然后下面举例子乙无人机。
[00:45:07] 寻常。
[00:45:09] 还有什么大数据？
[00:45:12] 大数据怎么样？
[00:45:14] 大数据筛查。
[00:45:17] 大数据筛查。
[00:45:19] 还有。
[00:45:20] 物联网监测。
[00:45:24] 物联网。
[00:45:26] 监测。
[00:45:29] 替代。
[00:45:32] 人工巡查，
[00:45:33] 大家觉得可以不替代人工巡查，
[00:45:36] 各位那它会产生一个什么样的影响？
[00:45:39] 这个影响不是唯一的，
[00:45:41] 只要大家说的合情合理就可以了。
[00:45:44] 让职法。
[00:45:47] 从被动应对。
[00:45:51] 让执法从被动应对。
[00:45:54] 转向。
[00:45:58] 主动预判，
[00:45:59] 你看我给你安个摄像头，
[00:46:01] 我就能够不用群众报案了，
[00:46:04] 我就自己AI能够马上直接给你找出来。
[00:46:08] 从。
[00:46:10] 粗放监管。
[00:46:13] 从粗放监管。
[00:46:17] 转向。
[00:46:19] 精准施策。
[00:46:22] 转向精准施策，
[00:46:23] 大家一起把它写下来也就可以了。
[00:46:26] 现在大家觉得可以能够通过的话，
[00:46:29] 就给老师敲个一。
[00:46:31] 各位，
[00:46:32] 然后呢？
[00:46:32] 这样的话，
[00:46:33] 我们就把例子举完了，
[00:46:35] 举完例子最后最好还有一个回扣分论点，
[00:46:39] 这个回扣分论点呢，
[00:46:40] 就很简单。
[00:46:41] 好了，
[00:46:42] 我给大家说一下怎么回购分类点，
[00:46:45] 你前面讲奋力往前跑，
[00:46:46] 我后面就写一个这种奔跑。
[00:46:49] 你后面写是行政执法与时俱进的啊，
[00:46:52] 这个动力是提质增效的必由之路，
[00:46:55] 我就把它稍微的改写一下，
[00:46:57] 中间的话呢？
[00:46:59] 随便加一句话也就可以了，
[00:47:01] 这句话请问大家下。
[00:47:02] 就是这个意思啊，
[00:47:04] 好了，
[00:47:04] 我再问大家一下啊，
[00:47:06] 在这个考试的过程当中，
[00:47:08] 现在大家能够看懂这个题目的整体架构的，
[00:47:11] 就给老师打个一。
[00:47:12] 大家看我再给大家画一下啊，
[00:47:15] 首先先说一个背景。
[00:47:17] 然后再接着说一个问题。
[00:47:22] 然后呢，
[00:47:23] 再接着说一个对策。
[00:47:27] 再接着给我举一个例子。
[00:47:31] 举例子。
[00:47:33] 好了，
[00:47:34] 再接着又给我举了一个例子。
[00:47:38] 又给我举了一个例子。
[00:47:41] 最后一项就是把段尾句和段首句做一个回扣分论点，
[00:47:46] 现在大家清晰了，
[00:47:48] 不清晰的话，
[00:47:49] 给老师打个机。
[00:47:51] 清晰的话，
[00:47:51] 给老师打个一好了，
[00:47:53] 这是第一个要素，
[00:47:54] 第二个我问大家一下，
[00:47:56] 那如果在考试的时候啊，
[00:47:58] 如果在考试的时候。
[00:48:00] 我没有这句话，
[00:48:01] 请问这篇文章还成立不？
[00:48:04] 如果在考试的时候我没有这句话，
[00:48:07] 请问这篇文章还成立不？
[00:48:09] 成立不？
[00:48:10] 各位，
[00:48:10] 如果在考试的时候没有这句话，
[00:48:13] 依然成立吧？
[00:48:14] 好了，
[00:48:14] 那我再问大家下，
[00:48:16] 如果在考试的时候。
[00:48:18] 没有这个例子，
[00:48:19] 我就想不出来，
[00:48:20] 请问大家下成立不？
[00:48:22] 你会发现也成立吧？
[00:48:24] 好吧，
[00:48:25] 也成立吧，
[00:48:25] 好了。
[00:48:26] 那我问大家下，
[00:48:27] 如果在考试的时候就是没有这句话成立不？
[00:48:31] 没有这句话成立吧，
[00:48:33] 你会发现依然成立，
[00:48:35] 大家在评论区打出四个字，
[00:48:37] 文无定法。
[00:48:39] 老师先教你固定的写作方法，
[00:48:43] 你先学会，
[00:48:44] 然后你随便怎么变换顺序，
[00:48:47] 随便怎么组合，
[00:48:49] 你依然能够。
[00:48:51] 成为一篇非常优秀的文章，
[00:48:53] 这是没有问题的好吧，
[00:48:55] 你看这就是二六年国考的申论大指纹。
[00:48:59] 难不不难吧，
[00:49:00] 这是我要给你讲的，
[00:49:02] 你会发现我教你写大指纹就是组装电脑的方式写大指纹。
[00:49:07] 中间呢，
[00:49:08] 你即使少一个东西，
[00:49:10] 其实并不影响整篇文章的这种文采和得分。
[00:49:15] 好了，
[00:49:16] 第二个我要给大家讲一下，
[00:49:18] 就是如果我们在考试的时候问大家一下，
[00:49:22] 我想写。
[00:49:23] 奋力往前跑，
[00:49:24] 我想写现场监管的。
[00:49:27] 我想写非现场监管的影响，
[00:49:31] 有没有可能我就不会写？
[00:49:34] 假如说这句话，
[00:49:35] 我现在就要把它换成一个影响，
[00:49:39] 不这样写，
[00:49:40] 请问可以不？
[00:49:41] 这个答案是唯一的吗？
[00:49:43] 各位，
[00:49:44] 这个答案不是唯一的吧？
[00:49:46] 这个影响请问大家下，
[00:49:49] 如果我们用万能的，
[00:49:51] 你觉得可以不？
[00:49:52] 这个影响我们如果是用万能的，
[00:49:55] 你觉得可以不？
[00:49:56] 哪位同学可以告诉我，
[00:49:58] 你会发现依然是可以的。
[00:50:01] 这个万能的东哥，
[00:50:02] 有没有在大总们开头的时候就给大家准备好了，
[00:50:06] 用万能的直接替换，
[00:50:08] 就是我就直接把这句话。
[00:50:10] 改成就是奋力往前跑，
[00:50:12] 它有什么影响或者非现场监管，
[00:50:15] 它有什么影响可以吗？
[00:50:17] 各位，
[00:50:17] 我来看一下我之前给大家有没有准备？
[00:50:21] 各位非现场监管是规范权力运行，
[00:50:24] 扎紧制度融资的关键举措，
[00:50:27] 是守护公平正义，
[00:50:29] 守护民生底线的。
[00:50:31] 根本保障是后之法治根基。
[00:50:33] 推进治理现代化的重要支撑，
[00:50:36] 请问大家一下可以不？
[00:50:38] 还有奋力往前跑。
[00:50:39] 是提升奋力往前跑，
[00:50:41] 做好非常非现场监管工作。
[00:50:44] 是提升政府公信力，
[00:50:45] 塑造良好形象的重要抓手。
[00:50:48] 是优化营商环境。
[00:50:49] 激活发展动能的关键支撑，
[00:50:52] 是推进社会治理法治化，
[00:50:55] 提升治理效能的根本路径。
[00:50:57] 请问大家下可以不？
[00:50:59] 这个在一开始给你们讲大指纹开头的时候，
[00:51:03] 有没有给大家讲这个东西？
[00:51:06] 各位有吧，
[00:51:06] 让你背的哪位同学已经背了的，
[00:51:09] 就打个一没有背的，
[00:51:11] 打个二我说了，
[00:51:12] 你记忆力好，
[00:51:13] 你就全背背五组，
[00:51:15] 记忆力不好。
[00:51:16] 你背三组考试的时候救你命好吗？
[00:51:20] 以前赌咒发誓说自己，
[00:51:23] 哎。
[00:51:23] 说自己要背，
[00:51:24] 结果呢，
[00:51:25] 现在就这个样子，
[00:51:26] 我问大家一下，
[00:51:27] 如果我把这句话替换，
[00:51:29] 你觉得行吗？
[00:51:30] 叫替换成奋力往前跑，
[00:51:32] 做好非上非现场监管工作。
[00:51:34] 是维护市场经济公平公正秩序的坚实保障，
[00:51:38] 是激发市场主体创新创业活力的制度支撑，
[00:51:42] 是畅通经济社会循环发展格局的。
[00:51:44] 法治依托。
[00:51:46] 请问大家下这句话可以不？
[00:51:48] 这句话可以不？
[00:51:50] 这句话也是可以的啊啊，
[00:51:52] 你用哪一句话都是可以的，
[00:51:54] 大家看。
[00:51:55] 这个里边像这种影响，
[00:51:57] 你能够写成个性的就写成个性的，
[00:52:00] 如果不能写成个性的，
[00:52:02] 你就可以用。
[00:52:03] 什么如果你能够写成个性的。
[00:52:06] 你就写成个性的。
[00:52:08] 如果你不能写成个性的，
[00:52:10] 你用万能的，
[00:52:11] 我现在再问大家下，
[00:52:13] 如果在考试的时候，
[00:52:14] 我们这个个性的。
[00:52:16] 写不出来，
[00:52:17] 这样吧，
[00:52:17] 我们就想写奋力往前跑，
[00:52:19] 做好非常现场监管，
[00:52:21] 我们再教你一招，
[00:52:22] 大家一起打，
[00:52:23] 在评论区叫主体分析法。
[00:52:25] 大家把主体分析给老师打出来，
[00:52:28] 各位我问大家一下，
[00:52:30] 奋力往前跑，
[00:52:31] 对于谁好，
[00:52:32] 第一个对于政府好不？
[00:52:35] 各位第二个对于我们商家好不？
[00:52:40] 第三个，
[00:52:41] 对于我们老百姓好不好？
[00:52:44] 各位是都好吧，
[00:52:46] 你看做奋力往前跑，
[00:52:48] 做好非现场监管工作，
[00:52:51] 有利于提升政府的。
[00:52:53] 执法部门的工作效率有利于减少对于商家的干扰，
[00:52:59] 也有利于。
[00:53:00] 更好的保障我们百姓的食品安全工作，
[00:53:04] 大家觉得可以吗？
[00:53:06] 可以的话，
[00:53:07] 给老师打个一，
[00:53:08] 你不想背，
[00:53:09] 那你就把它学会，
[00:53:10] 你就自己创造词，
[00:53:12] 把它写的好一点，
[00:53:13] 也是没有问题的。
[00:53:15] 好吧，
[00:53:15] 你看啊，
[00:53:16] 这里面的东西全部都给大家准备好了好。
[00:53:19] 我再问大家下，
[00:53:21] 再接着带着大家往下走，
[00:53:23] 再带着大家往下走，
[00:53:24] 这个就是二六年国考的题目，
[00:53:27] 当然如果你想加背景句也可以的哈。
[00:53:30] 就是当前世界之变，
[00:53:32] 时代之变，
[00:53:33] 这个叫什么之变？
[00:53:34] 大家能够告诉我，
[00:53:36] 从现场监管变成了现在的非现场监管。
[00:53:40] 可以叫执法之便，
[00:53:41] 可以叫监管之便。
[00:53:43] 正在以前所未有的方式展开，
[00:53:45] 是可以的吧？
[00:53:47] 好，
[00:53:47] 大家来看一下，
[00:53:48] 接着我详细的给大家讲一下要素论证设例，
[00:53:52] 论证名言，
[00:53:53] 警句论证，
[00:53:54] 通过几个例子带着你练习一下。
[00:53:56] 行不行？
[00:53:57] 我们每一节课。
[00:53:59] 就是带着大家直接练习，
[00:54:01] 让你现场呢，
[00:54:02] 看看能不能直接学会首先要素论证，
[00:54:05] 大家觉得要素论证一方面可以来源于自己的积累。
[00:54:10] 还有一个重要的方面是来源于什么？
[00:54:13] 记住了，
[00:54:13] 叫改写材料，
[00:54:15] 你看啊，
[00:54:15] 要素我们前面小题带着你学过概括问题，
[00:54:19] 概括对策，
[00:54:20] 概括原因，
[00:54:21] 概括影响，
[00:54:22] 概括综合。
[00:54:22] 那其实申论大作文，
[00:54:25] 它是小题的组合而已，
[00:54:27] 我们也可以去改写材料。
[00:54:30] 这个时候举个例子给大家看，
[00:54:33] 大家看这是二六年省考联考的一个题目，
[00:54:37] 请问大家一下，
[00:54:38] 如果大家只看这个分论点。
[00:54:41] 你在考试的时候，
[00:54:42] 你会不会觉得我真的不会写后面的要素有这种感觉的？
[00:54:47] 给老师敲个一没有这种感觉的，
[00:54:50] 给老师敲个二。
[00:54:51] 比如说，
[00:54:52] 以法治协同为策。
[00:54:53] 筑牢跨域治理的制度根基，
