[00:00:00] 对呀。
[00:26:50] 加分论点的影响，
[00:26:52] 把它写出来了，
[00:26:53] 你们觉得可以不？
[00:26:54] 大家觉得可以不哎，
[00:26:56] 你看非常的简洁明了，
[00:26:58] 但是如果有的同学想说老师，
[00:27:00] 我把总论点也加进去，
[00:27:02] 以多样性破题。
[00:27:03] 需要怎么样？
[00:27:04] 需要在学科多用上多样性上下功夫，
[00:27:07] 构筑创造之基，
[00:27:09] 以多样性破题。
[00:27:10] 需要在视角多样性上那么动真格，
[00:27:13] 点燃创造之火。
[00:27:14] 以多样性破题，
[00:27:16] 需要在氛围多样性上啊，
[00:27:18] 见真见真章，
[00:27:19] 涵养创造成长，
[00:27:20] 大家觉得可以吧？
[00:27:22] 好了，
[00:27:22] 大家这一个架构能够搭齐了，
[00:27:25] 也就可以了，
[00:27:26] 有没有同学？
[00:27:28] 就是把这个架构搭出来的。
[00:27:30] 这个是非常重要的学科视角，
[00:27:32] 还有一个氛围，
[00:27:34] 当然这个题目我就问大家一下，
[00:27:36] 答案是不是唯一的？
[00:27:38] 你们觉得这个题目答案是不是唯一的？
[00:27:41] 这个题目答案不是唯一的，
[00:27:43] 只是我尽量的用原词原句找到了三个词。
[00:27:47] 啊，
[00:27:47] 你如果中间的话呢，
[00:27:48] 再能够加其他的，
[00:27:50] 比如说有个同学刚才在评论区里边说老师，
[00:27:53] 我加了一个方法的多样性。
[00:27:55] 请问大家一下，
[00:27:57] 行还是不行？
[00:27:58] 行还是不行，
[00:27:59] 我觉得是可以的，
[00:28:00] 完全没有问题好吧，
[00:28:02] 我觉得是完全没有问题的好了，
[00:28:04] 那有的同学说老师我加一个团队的多样性，
[00:28:08] 大家觉得行不行？
[00:28:09] 你加一个团队的多样性，
[00:28:11] 本质上这个团队的多样性还是指学科的多样性也是可以的，
[00:28:16] 就是在我们考试的时候有一些分论点，
[00:28:19] 它的答案不是唯一的，
[00:28:20] 但是。
[00:28:21] 这个答案它基本上都是围绕某一个领域说的，
[00:28:25] 比如说学科和团队，
[00:28:26] 它肯定是一个意思。
[00:28:28] 现在能够过了吗？
[00:28:29] 还有一个，
[00:28:30] 比如说视角和你们刚才说的方法，
[00:28:33] 他肯定也是在说一回事。
[00:28:36] 明白了吗？
[00:28:37] 比如说氛围，
[00:28:38] 如果你把它写成了一个生态。
[00:28:42] 啊，
[00:28:42] 还有一个，
[00:28:43] 比如说文化，
[00:28:44] 我觉得也是可以的，
[00:28:46] 好吧，
[00:28:47] 只是我用了断首句断尾句最核心的这个词。
[00:28:51] 我还是用了找总括词和前置词那一套方法，
[00:28:55] 把它搞定的，
[00:28:56] 你们这个现在能够听懂了吗？
[00:28:59] 好了好了，
[00:29:00] 这个也就给大家搞定了，
[00:29:02] 接着我们就要带着大家写一个开头了，
[00:29:05] 当然如果你想把它润色的话，
[00:29:07] 我让大家背的这些词，
[00:29:09] 比如说。
[00:29:10] 需要我们在啊学科以学科多样性为先导，
[00:29:14] 然后呢以视角多样性为抓手啊，
[00:29:17] 以就是这个氛围多样性为纽带啊。
[00:29:20] 好吧，
[00:29:20] 这些我就不再给大家累述了，
[00:29:23] 你们每个人都会好，
[00:29:25] 那我们再带着大家往下走，
[00:29:27] 大家来看一下。
[00:29:28] 就这个开头应该怎么写？
[00:29:30] 哪位同学可以直接告诉我这个开头的话，
[00:29:34] 我首先问大家一下。
[00:29:36] 这个题目我们是国考地市级的题目。
[00:29:41] 地市级的题目，
[00:29:42] 那么首先我们一定要扣紧原词，
[00:29:45] 原句多样性和创造力。
[00:29:47] 首先，
[00:29:48] 你觉得材料五当中的多样性和创造力是指的哪一个领域？
[00:29:53] 哪位同学可以告诉我？
[00:29:56] 就是这个金教授，
[00:29:57] 他是代表了哪一个领域，
[00:29:59] 哪位同学可以告诉我是不是代表的科研这个领域啊？
[00:30:04] 对吧，
[00:30:05] 但是金教授说的这句话又有点小奇怪，
[00:30:09] 我们再带着大家回首一下。
[00:30:12] 金教授说的这句话，
[00:30:14] 他又说音乐，
[00:30:16] 那我问大家一下，
[00:30:18] 你觉得多样性对于音乐这个领域成立不？
[00:30:23] 各位多样性，
[00:30:24] 对于音乐这个领域成立不好了，
[00:30:28] 那我问大家一下，
[00:30:29] 再把它发散一下，
[00:30:31] 因为题干让我们结合材料又不。
[00:30:34] 拘泥于材料。
[00:30:36] 多样性对于音乐是成立的那么多样性，
[00:30:39] 对于我们社会的治理，
[00:30:41] 你觉得成立不？
[00:30:42] 多样性对于我们社会的文化，
[00:30:45] 你觉得成立不多样性对于我们的科技，
[00:30:48] 你觉得成立不多样性，
[00:30:50] 甚至对于我们的生态环境，
[00:30:53] 你觉得成立不？
[00:30:54] 你会发现都是成立这个是国考地市级的题目，
[00:30:59] 我们首先不要跑题，
[00:31:01] 我们不要跑题，
[00:31:02] 就是我们的。
[00:31:03] 整个的题目当中要含有多样性，
[00:31:07] 还有创造力，
[00:31:09] 但是待会在我们论证的时候。
[00:31:13] 结合材料，
[00:31:14] 我肯定要去结合材料当中科研的具体的例子。
[00:31:20] 然后不拘泥于材料。
[00:31:25] 请问大家一下，
[00:31:26] 不拘泥于材料是不是可以？
[00:31:30] 专门的。
[00:31:32] 用其他领域的例子来把这个利益稍微的再拔高一下，
[00:31:38] 这是我们这节课要给大家讲的一个。
[00:31:42] 啊，
[00:31:42] 补充的一个新思路可以吗？
[00:31:45] 就说。
[00:31:45] 你整个材料是在说科研，
[00:31:47] 我这个完全没有问题啊，
[00:31:49] 我绝对是没有问题的，
[00:31:50] 但是呢，
[00:31:51] 就是我突然发现你金教授说的这句话，
[00:31:53] 这是国考第四题的例子，
[00:31:55] 我当然把。
[00:31:56] 多样性把创造力把科研科技这方面给你论证透彻，
[00:32:00] 但是我在这个基础上，
[00:32:02] 我能不能待会在论证的时候稍微拔高一下，
[00:32:05] 把其他领域也弄进来拔一下？
[00:32:08] 你们觉得可以吗？
[00:32:09] 我觉得是没有问题的，
[00:32:11] 对吧？
[00:32:11] 好了，
[00:32:11] 那么现在我问大家一下。
[00:32:13] 我们应该怎么样去论证？
[00:32:15] 写一个开头，
[00:32:16] 我脑袋一下子又空白了，
[00:32:19] 当你脑袋空白的时候，
[00:32:20] 你就记住袁东老师站在你身后，
[00:32:23] 像个大哥哥一样，
[00:32:25] 说一个数字。
[00:32:26] 这个数字就是四第一步，
[00:32:28] 要写什么名言警句，
[00:32:30] 第二步要写什么，
[00:32:32] 第二步要写影响。
[00:32:33] 第三步要写什么？
[00:32:35] 第三步要写过渡句，
[00:32:37] 第四步要写什么？
[00:32:39] 第四步要写总论点好。
[00:32:42] 把它搞定，
[00:32:43] 下面这个名言警句是来源于题干还是来源于材料还是来源于我们自身的积累？
[00:32:51] 你会发现就来源于题干和材料，
[00:32:53] 就把金教授的这句话给我直接抄下来也就可以了，
[00:32:57] 他就永远不会跑题，
[00:32:58] 大家来看我就直接把它抄下来。
[00:33:01] 美妙动听的器乐合奏是有多种乐器发出不同的音色，
[00:33:05] 并巧妙融合而产生的多样性，
[00:33:08] 蕴含着创造力。
[00:33:09] 我说完这句话，
[00:33:11] 我最好呢，
[00:33:11] 再点一下题。
[00:33:12] 就这，
[00:33:13] 金教授这番论述揭示了一条创造力生成的普遍规律，
[00:33:18] 或者金教授这番论述揭示了。
[00:33:21] 多样性的重要性，
[00:33:23] 大家觉得可以不完全是没有问题的，
[00:33:26] 只要大家有这个思路也就可以了。
[00:33:29] 好，
[00:33:29] 这个第一句话咱们就出来了，
[00:33:32] 接着第二句话，
[00:33:33] 我要论证影响，
[00:33:34] 请问你要论证影响你是要论证哪个词的影响？
[00:33:38] 哪位同学可以告诉我，
[00:33:41] 你是不是要论证多样性的影响啊？
[00:33:44] 好，
[00:33:44] 那我们要论证多样性的影响，
[00:33:47] 但是多样性的这个影响我们不会写。
[00:33:51] 请问大家一下，
[00:33:52] 应该怎么办？
[00:33:53] 我们刚才就想清楚了，
[00:33:55] 我们这个多样性，
[00:33:56] 它实际上在论证的时候，
[00:33:58] 它不只是专门针对科技科研。
[00:34:00] 它可能是针对所有领域放之四海而皆准的，
[00:34:04] 这个时候我就尽量的找那些比较万能的影响。
[00:34:09] 我问大家一下，
[00:34:10] 我教给大家的政治，
[00:34:12] 经济，
[00:34:12] 文化，
[00:34:13] 社会，
[00:34:13] 生态这几大领域，
[00:34:15] 包括执法，
[00:34:16] 乡村振兴，
[00:34:17] 哪一个领域里边容易出现那些。
[00:34:20] 最万能的影响其实有两个，
[00:34:22] 第一个是政治层面，
[00:34:24] 第二个是经济层面。
[00:34:26] 好了，
[00:34:26] 我们带着大家来看一下，
[00:34:29] 我让大家背的。
[00:34:30] 大家看，
[00:34:31] 就是我们让大家背的就是多样性。
[00:34:35] 请问大家一下，
[00:34:37] 它是不是激活各类要素潜能的强大动力，
[00:34:40] 以多样性报题是不是加快构建新发展格局的战略支撑，
[00:34:44] 以多样性报题？
[00:34:45] 是不是实现高质量发展的关键路径？
[00:34:48] 大家觉得可以吗？
[00:34:49] 或者以多样性破题，
[00:34:51] 是不是实现第二个百年奋斗目标的必然要求以多样性破题。
[00:34:55] 是不是？
[00:34:56] 比如说就是加快转变发展方式的关键路径，
[00:35:00] 以多样性破题，
[00:35:02] 它是不是就是增进人民福祉的必由之路？
[00:35:06] 大家随便选几个组合也就可以了，
[00:35:09] 好大家来看一下，
[00:35:10] 这个时候以多样性破题是激活各类要素。
[00:35:14] 潜能的强大动力是加快构建新发展格局的战略支撑，
[00:35:18] 是实现高质量发展的关键路径。
[00:35:21] 这个就把它搞定了。
[00:35:22] 搞定了之后，
[00:35:23] 我下面第三句话要写什么了？
[00:35:26] 哪位同学可以告诉我第三句话，
[00:35:28] 我就要写过渡句了，
[00:35:30] 过渡句大家用了哪一个名言警句？
[00:35:33] 可以直接给老师敲代评论区过渡句，
[00:35:35] 你用哪个名言警句我都无所谓，
[00:35:38] 你自己准备一个适合自己的比较万能的也就可以了。
[00:35:41] 我给大家准备了一句日日行不怕千万里，
[00:35:45] 常常做不怕千万事，
[00:35:47] 这个就是我们的过渡句好了。
[00:35:49] 各位，
[00:35:49] 那但是这个过渡句我还有点不服，
[00:35:52] 然后呢？
[00:35:53] 我还想再个性化一下，
[00:35:54] 中间能不能加个背景句？
[00:35:56] 这个背景区既可以加在这儿，
[00:35:58] 又可以加在这儿，
[00:36:00] 都是没有问题的，
[00:36:01] 你随便打断顺序，
[00:36:02] 在我这儿都是合理的，
[00:36:03] 我们就是一个修电脑的是吧？
[00:36:05] 当今时代，
[00:36:06] 各类发展难题日趋复杂。
[00:36:08] 各下面我们就是要多样性破题，
[00:36:11] 怎么样都要依靠学科视角氛围三重维度。
[00:36:16] 那么激活这个，
[00:36:18] 你就直接把它的这两句话加下来也就可以了，
[00:36:22] 各位我再给大家说一下。
[00:36:24] 如果我们在开头的时候就是写完了总论点，
[00:36:27] 就是我们要一定立足多样性破题，
[00:36:30] 你如果这句话不会写的话，
[00:36:32] 你就直接把它写下来。
[00:36:34] 叫我们。
[00:36:35] 要立足。
[00:36:40] 多样性。
[00:36:43] 破题一起把它搞定。
[00:36:46] OK，
[00:36:46] 然后你的分论点也可以塞到总论点里面，
[00:36:51] 再把它提示一下。
[00:36:53] 现在大家觉得可以过了吗？
[00:36:55] 各位，
[00:36:55] 以后你们的分论点呢？
[00:36:57] 就可以这样直接塞到总论点里面，
[00:36:59] 再把它塞一下，
[00:37:00] 这样就把它丰富起来了。
[00:37:01] 好吧，
[00:37:02] 但是哎，
[00:37:03] 你们如果在考试的时候能够写出这样的开头，
[00:37:07] 你们觉得满意吗？
[00:37:08] 各位同学，
[00:37:09] 如果你在考试的时候能够写出这样的开头，
[00:37:12] 应该还可以吧，
[00:37:13] 但是如果有的同学说老师我呢想能不能你教我一个个性化的？
[00:37:18] 那行，
[00:37:18] 我再大教大家一个个性化的，
[00:37:21] 大家看这句话是在说什么？
[00:37:23] 是不是还是在说名言警句？
[00:37:25] 那么有的同学就问我说老师，
[00:37:28] 我就想问你一下，
[00:37:29] 我就不写影响行不行？
[00:37:31] 大家觉得如果在考试的时候，
[00:37:33] 我们就不写影响行不行？
[00:37:35] 当然是可以的，
[00:37:36] 所以直接把它擦掉，
[00:37:38] 不写影响我就直接加一个背景。
[00:37:40] 这个背景呢，
[00:37:41] 你既可以用万能的背景，
[00:37:43] 也可以自己写一个背景。
[00:37:45] 当今时代，
[00:37:46] 各类发展难题日趋复杂，
[00:37:48] 直接把它写在这儿。
[00:37:49] 好吧，
[00:37:49] 然后呢？
[00:37:50] 因为我们这个是针对创造力说的，
[00:37:53] 创造力的背景，
[00:37:54] 你就再写一个创新的背景。
[00:37:57] 好吧，
[00:37:57] 然后最后一个再写一个总论点，
[00:38:00] 这个总论点呢，
[00:38:01] 我们就写我们一定要立足多样性，
[00:38:04] 然后把分类点加上去，
[00:38:05] 这是第一个。
[00:38:06] 这是第二个，
[00:38:07] 这是第三个，
[00:38:08] 然后最后产生一个影响，
[00:38:10] 大家觉得能够过的话，
[00:38:12] 给老师打个过，
[00:38:14] 记住了啊。
[00:38:14] 申论的写作，
[00:38:15] 它是文无定法的，
[00:38:17] 只要大家能够合情合理就是可以的，
[00:38:20] 你可以把各种要素呢进行混搭，
[00:38:22] 你可以少一个要素，
[00:38:24] 也可以把要素的顺序换一下，
[00:38:26] 都不影响的。
[00:38:27] 只要合情合理也就可以了，
[00:38:29] 好吧好了，
[00:38:30] 再带着大家往下走，
[00:38:32] 有的同学说分论点好难，
[00:38:34] 我的分论点全部都是通过断手去。
[00:38:37] 断尾句还有高频词给大家找出来的，
[00:38:41] 这个题目学科出现了很多次，
[00:38:44] 我没有。
[00:38:45] 骗大家吧，
[00:38:46] 视角出现了很多次，
[00:38:48] 也没有骗大家吧，
[00:38:50] 氛围他就在断首句出现的是如此的清晰。
[00:38:53] 如果这个你都没有能够把它找到的话，
[00:38:56] 我就实在没有办法了，
[00:38:58] 我给你找的相对来讲已经是最简单最直接最明了的方式了，
[00:39:02] 你就一步一步的把它搞定也就可以了。
[00:39:05] 好吧，
[00:39:05] 好了再带着大家往下走。
[00:39:08] 大家来看一下，
[00:39:10] 我们带着大家写一下我们的分论点，
[00:39:13] 各位拿到这个分论点，
[00:39:15] 脑袋是否有点空白？
[00:39:17] 当你脑袋空白的时候，
[00:39:19] 应该记住了。
[00:39:20] 东哥说，
[00:39:20] 第一步要写什么？
[00:39:21] 哪位同学可以告诉我，
[00:39:23] 第一步要写名言警句。
[00:39:25] 第二步要写什么？
[00:39:27] 第二步要写影响，
[00:39:29] 第三步要写什么？
[00:39:31] 第三步要写什么来着？
[00:39:33] 对策。
[00:39:33] 或者是例子，
[00:39:34] 要么写规范的，
[00:39:36] 表述的对策，
[00:39:37] 要么举个例子，
[00:39:38] 然后当然这两个也可以调换顺序，
[00:39:41] 第四步可以回扣我们的分论点。
[00:39:44] 是吧，
[00:39:44] 好的，
[00:39:45] 那我们首先问大家一下，
[00:39:47] 学科多样性，
[00:39:48] 互助创造之基，
[00:39:49] 这一个大家能不能想到哪个名言警句？
[00:39:53] 学科多样性的名言警句，
[00:39:55] 我还真的想不出来，
[00:39:57] 所以我就不用想了好吧，
[00:39:59] 直接把它叉掉。
[00:40:01] 好了，
[00:40:01] 接着说影响，
[00:40:02] 请问大家下，
[00:40:03] 我要说影响，
[00:40:04] 应该说哪个词的影响？
[00:40:06] 我脑袋空白，
[00:40:08] 我一定要想到脑袋空白的时候，
[00:40:10] 袁东老师就说了。
[00:40:12] 要写哪个词对谁有影响？
[00:40:15] 各位，
[00:40:16] 你们要写哪个词？
[00:40:18] 是不是要写学科或者是？
[00:40:21] 多学科的影响，
[00:40:22] 或者是学科多样性的影响，
[00:40:25] 学科多样性，
[00:40:26] 请问大家一下，
[00:40:28] 你觉得它可能有什么样的影响？
[00:40:31] 哪位同学可以直接告诉我？
[00:40:34] 学科多样性，
[00:40:35] 你觉得它可能有什么样的影响？
[00:40:40] 学科多样性有什么样的影响？
[00:40:44] 好了，
[00:40:44] 学科多样性对于个人有没有影响？
[00:40:47] 对于个人是有影响的吧？
[00:40:49] 对于个人，
[00:40:50] 大家觉得能够有什么样的影响？
[00:40:53] 对于个人可以促进个人发展吧。
[00:40:57] 促进个人发展吧。
[00:41:00] 那么如果说我就不想用这句话，
[00:41:03] 请问大家能不能再给老师换一个？
[00:41:06] 能不能丰富个人视野啊？
[00:41:08] 大家觉得行不？
[00:41:10] 学科多样性可以丰富个人视野。
[00:41:13] 这个可以吧？
[00:41:14] 那如果说我还不想用这句话，
[00:41:17] 我还想再换一个，
[00:41:18] 我就是变态，
[00:41:19] 我就呃，
[00:41:20] 就是不想跟别人一样。
[00:41:21] 我就是反股，
[00:41:23] 能不能培养复合型人才？
[00:41:25] 大家觉得可以吗？
[00:41:27] 你这些你只要有了这个思路，
[00:41:29] 我相信我们十万人也不会有重复的培养复合性人才。
[00:41:34] 好了，
[00:41:35] 那我就问大家下，
[00:41:36] 就是这个多学科，
[00:41:38] 除了对于我们个人有影响，
[00:41:41] 对于我们整个团队。
[00:41:42] 你觉得有没有影响哪位同学可以直接告诉我，
[00:41:48] 就是团队有没有影响可以有利于我们团队？
[00:41:53] 更好的创新。
[00:41:55] 还有一个创造，
[00:41:56] 大家觉得也可以吧，
[00:41:58] 还有对于我们团队还有什么啊，
[00:42:01] 还可以提高我们团队的核心竞争力，
[00:42:04] 哎，
[00:42:05] 这个也是可以的。
[00:42:06] 大家只要说的合情合理也就可以了，
[00:42:09] 好吗？
[00:42:10] 那么但是如果有的同学说老师我不想用主体分析，
[00:42:14] 是不是就是写不出来的呢？
[00:42:16] 各位当然不是你不想用主体分析的话，
[00:42:20] 你还有很多种方法去写，
[00:42:22] 我问大家一下，
[00:42:23] 比如说你能够想一个比喻。
[00:42:26] 大家觉得行不？
[00:42:27] 各位比喻，
[00:42:28] 大家觉得学科很多，
[00:42:30] 你们觉得这个世界上比较多的是什么？
[00:42:34] 比较多的是不是热带雨林啊？
[00:42:38] 就是多学科，
[00:42:39] 它交叉就像热带雨林一样能够。
[00:42:43] 孕育旺盛生命，
[00:42:45] 这也是一种写作方式。
[00:42:47] 能够孕育旺盛的生命，
[00:42:49] 你看啊，
[00:42:49] 就是在我们热带雨林里面，
[00:42:52] 有天上飞的，
[00:42:53] 有水里面游的。
[00:42:54] 还有树上叫的都有的是吧？
[00:42:57] 只要大家说的合情合理就行了，
[00:42:59] 好吧好了，
[00:43:00] 大家来看一下。
[00:43:02] 大家看多学和交叉，
[00:43:04] 则如月热带雨林根系交织，
[00:43:06] 方能孕育旺盛生命。
[00:43:08] 那你前面来一个，
[00:43:10] 这是一个正面的论证。
[00:43:13] 前面加一个反面的论证，
[00:43:15] 单一学科，
[00:43:15] 如杜牧南城林，
[00:43:17] 大家觉得可以吗？
[00:43:18] 好，
[00:43:18] 可以吧，
[00:43:19] 好了，
[00:43:19] 那么接着我再问大家一下，
[00:43:22] 我们下面没有话说了，
[00:43:23] 我们要举例子，
[00:43:25] 你要举的是哪个例子？
[00:43:27] 同学们，
[00:43:27] 材料当中有没有给我们例子？
[00:43:30] 哪位同学可以告诉我材料当中有没有例子？
[00:43:34] 材料当中有例子，
[00:43:35] 我们这个多学科可不是袁东老师自己想出来的，
[00:43:39] 它是材料当中本来就有的，
[00:43:41] 大家能够同意吧。
[00:43:42] 大家来看一下啊，
[00:43:44] 这个是有什么样的例子呢？
[00:43:47] 大家认真的告诉我，
[00:43:49] 大家认真的告诉我。
[00:43:51] 这一个有什么样的例子呢？
[00:43:53] 我们要举例子的话。
[00:43:55] 大家觉得举例子最重要的是用什么样的逻辑进行完形填空，
[00:44:01] 第一个要给我说主体。
[00:44:04] 第二个要给我说对策，
[00:44:06] 第三个要说什么，
[00:44:08] 第三个要说影响。
[00:44:10] 好了，
[00:44:11] 我现在问大家一下，
[00:44:13] 这里边你们从第三个自然段看到的主体是指哪个主体？
[00:44:20] 同学们，
[00:44:21] 第三个自然段是不是看到的主体是赵老师啊？
[00:44:25] 好了，
[00:44:26] 赵老师，
[00:44:27] 他干的对策是什么对策？
[00:44:29] 哪位同学可以告诉我？
[00:44:32] 赵老师一定要和学科多样性关联起来。
[00:44:36] 他原来是考古学，
[00:44:38] 后来是地理学。
[00:44:39] 大家一起写从。
[00:44:42] 考古学。
[00:44:45] 转向。
[00:44:48] 地理学一起把它搞定。
[00:44:53] 好吧，
[00:44:53] 最后它产生了一个影响，
[00:44:56] 这个影响请问大家一下是指什么样的影响？
[00:45:01] 哎，
[00:45:02] 这个赵老师，
[00:45:03] 你会发现。
[00:45:05] 赵老师啊，
[00:45:05] 赵老师，
[00:45:06] 赵老师最后产生了什么样的影响？
[00:45:09] 赵老师最后逐渐构建了自己的知识体系，
[00:45:12] 我就跨自然段把它合并，
[00:45:14] 所以大家一起写。
[00:45:15] 叫逐渐构建自己的知识体系。
[00:45:18] 逐渐。
[00:45:21] 构建。
[00:45:24] 自己的。
[00:45:27] 知识。
[00:45:29] 体系，
[00:45:30] 这是一个例子。
[00:45:31] 好了，
[00:45:32] 那我问大家下这一段，
[00:45:34] 除了赵老师是多学科的，
[00:45:36] 你们还看到谁有多学科？
[00:45:39] 从第六个自然段请问大家下，
[00:45:41] 它的主体是指的谁？
[00:45:43] 有没有同学能够直接给老师看出来第六段是不是指的小马啊？
[00:45:48] 所以大家一起写小马，
[00:45:50] 请问小马他这个时候干的对策是什么对策？
[00:45:55] 你会发现他原来是自然地理学，
[00:45:59] 后来他选择了什么学？
[00:46:02] 各位，
[00:46:02] 后来他选择的是一个就是环境考古环考了一个什么骨蛋白质度。
[00:46:11] 组哎呦，
[00:46:11] 我的妈呀，
[00:46:12] 我这个也是比较麻烦，
[00:46:14] 所以大家一起写，
[00:46:15] 我们就直接和这个关联，
[00:46:17] 和这个关联都是可以的，
[00:46:19] 我也分不清他怎么？
[00:46:20] 就是环境考古，
[00:46:22] 又和骨蛋白质又搞到一起了，
[00:46:24] 反正我我我不管它，
[00:46:25] 我也不需要追求那么细，
[00:46:27] 大家一起写，
[00:46:28] 大家一起写，
[00:46:29] 叫小马。
[00:46:29] 从自然。
[00:46:33] 地理学。
[00:46:35] 从自然地理学。
[00:46:38] 你如果想来个终局就走向。
[00:46:41] 骨蛋白质组学。
[00:46:43] 这个学古。
[00:46:46] 蛋白质。
[00:46:49] 组学一起把它搞定骨蛋白质组学。
[00:46:53] 最后，
[00:46:54] 形成独特优势算不算是一个结果，
[00:46:58] 大家算形成。
[00:47:00] 独特。
[00:47:02] 优势，
[00:47:02] 你看我就把材料全部给大家进行了一个重构。
[00:47:07] 现在我就问你们一下，
[00:47:09] 就这两个例子，
[00:47:11] 是否可以进行一个组合，
[00:47:13] 哪位同学可以直接告诉我？
[00:47:16] 这两个例子是否可以进行一个组合？
[00:47:19] 各位，
[00:47:19] 我觉得是没有问题吧，
[00:47:21] 所以大家来看我就把例子写出来了。
[00:47:24] 大家看赵老师从考古总学转向地理学，
[00:47:27] 逐渐构建自己的知识体系。
[00:47:29] 小马从自然地理学走向古蛋白质学，
[00:47:32] 那么形成独特优势。
[00:47:34] 下面点评一下他们的转型，
[00:47:36] 正是学科边界消融的生动缩影，
[00:47:39] 请问大家一下，
[00:47:40] 这个例子能够看明白吧？
[00:47:42] 这个例子能够看明白吧？
[00:47:44] 哎，
[00:47:45] 这个例子能够看明白这个例子，
[00:47:47] 它就是环境考古学就是交叉学科，
[00:47:50] 这是一个对策，
[00:47:51] 这是一个影响，
[00:47:53] 你倒过来加这一句，
[00:47:54] 能加就加。
[00:47:55] 加不掉也无所谓，
[00:47:57] 好了，
[00:47:57] 我现在问大家一下，
[00:47:59] 如果在考试的时候，
[00:48:00] 材料当中的例子我用完了。
[00:48:02] 而且这是一个国考地市级的题目，
[00:48:05] 我问大家一下，
[00:48:07] 我们既然是多样性，
[00:48:08] 它是适合各行各业各领域的，
[00:48:11] 我们把材料论证完了之后，
[00:48:13] 用完了之后。
[00:48:14] 想把它拔高一下，
[00:48:16] 可以不？
[00:48:17] 可以的话就给老师打个可以，
[00:48:19] 各位那是绝对可以的，
[00:48:21] 而且你最好把它搞一下，
[00:48:24] 这样才能拿到一论文。
[00:48:26] 但是哎呦，
[00:48:27] 我问大家一下，
[00:48:28] 学科多样性，
[00:48:29] 我举例子真的举不出来啊，
[00:48:31] 大家这个时候要用一个什么样的方式？
[00:48:34] 记住了，
[00:48:35] 类比推理。
[00:48:36] 类比推理，
[00:48:38] 既然它是在环境考古学当中存在这个，
[00:48:42] 它是在我们社会的方方面面都存在。
[00:48:46] 大家同意不？
[00:48:47] 我问大家下，
[00:48:48] 你们现在随便给我想一个，
[00:48:51] 就是中国比较就是有重大成就的，
[00:48:54] 都是可以的。
[00:48:55] 你们随便想一个领域，
[00:48:57] 它一定是多学科的，
[00:48:58] 因为现在不可能纯粹靠一个学科能够搞得定哎，
[00:49:02] 有的同学说华为航天非常不错，
[00:49:05] 比如说。
[00:49:05] 我问大家一下，
[00:49:07] 航天我们国家现在比较厉害的叫什么？
[00:49:10] 是不是叫北斗导航啊？
[00:49:12] 请问大家下北斗导航和我们学科的多样性能不能发生关联？
[00:49:18] 大家认真的给老师琢磨一下，
[00:49:20] 北斗导航虽然我们不是北京航空航天大学毕业的。
[00:49:25] 北京航空航天大学就在我附近啊，
[00:49:27] 中国人民大学也在我附近，
[00:49:29] 我就问大家一下，
[00:49:30] 虽然我们不是北京航空航天大学毕业的，
[00:49:33] 你觉得就是这个航天？
[00:49:35] 北斗导航，
[00:49:36] 它可能涉及到什么专业，
[00:49:38] 随便学几写几个学科也就行了，
[00:49:40] 请问大家一下。
[00:49:42] 北斗导航要不要有航天的专业？
[00:49:44] 大家同意吧，
[00:49:45] 还有一个你到了天上，
[00:49:47] 你要不要跟我们进行交流和不和我们进行一个通信，
[00:49:51] 所以北邮的同学也得上吧。
[00:49:53] 叫通信。
[00:49:54] 好了，
[00:49:55] 那么除了通信，
[00:49:56] 你觉得北斗导航就是导航，
[00:49:59] 导航就是它要有一个位置，
[00:50:01] 这个位置是怎么出来的？
[00:50:03] 是不是还要有测绘专业？
[00:50:06] 好了，
[00:50:06] 我问大家一下，
[00:50:07] 那还可能有什么专业吗？
[00:50:09] 大家再来想一下。
[00:50:11] 还可能有什么专业吗？
[00:50:12] 你们再认真想一下，
[00:50:14] 比如说你是北斗导航的，
[00:50:16] 还可能有什么专业啊，
[00:50:18] 要不要有材料？
[00:50:19] 你上天你是不是？
[00:50:20] 就是哎，
[00:50:21] 要有一些特殊的材料都是可以的吧，
[00:50:23] 土木的就别去了哈，
[00:50:24] 土木的你一看就是你们这这些同学就是土木的，
[00:50:27] 现在土木的基本上都找不到工作，
[00:50:29] 然后呢，
[00:50:30] 还在地球上，
[00:50:31] 你都找不到工作，
[00:50:32] 你还到天上算了吧。
[00:50:33] 土木就别打了哈，
[00:50:34] 我知道你们土木的最近过的苦，
[00:50:37] 行吧？
[00:50:37] 要想既怕兄弟开路虎啊，
[00:50:39] 也不忍看兄弟学土木，
[00:50:41] 哈哈哈。
[00:50:42] 你们都是什么专业啊？
[00:50:43] 各位直接敲在评论区，
[00:50:45] 我跟你说一下，
[00:50:46] 土木这几年的专业哈，
[00:50:47] 太坑爹了，
[00:50:48] 你们如果是土木的哈，
[00:50:50] 抓紧时间该换专业的换专业，
[00:50:52] 该函授一个函授一个。
[00:50:53] 土木现在那个分数比三不限，
[00:50:55] 还要高了，
[00:50:56] 这些人的话呢，
[00:50:57] 真的很郁闷啊，
[00:50:59] 好了再接着带着大家往下写。
[00:51:01] 我问大家一下，
[00:51:02] 除了北斗导航，
[00:51:03] 那下面你随便再想都是可以的，
[00:51:06] 比如说我们想起土木这个原种专业，
[00:51:09] 还有一个专业。
[00:51:11] 大家一起写人类基因组，
