[00:00:00] 要别人去。
[00:26:01] 焕发蓬勃生机。
[00:26:02] 然后。
[00:26:03] 结尾也就是总论点激活脉动力量，
[00:26:08] 激活脉动力量。
[00:26:09] 焕发蓬勃生机，
[00:26:11] 永葆蓬勃生机，
[00:26:12] 最后自己加一句废话，
[00:26:14] 大家觉得加这句话可不可以？
[00:26:17] 我最后自己加的这句话，
[00:26:19] 可不可以可以吧？
[00:26:21] 如果这句话不加这句话，
[00:26:23] 换成其他的可以吗？
[00:26:24] 比如说。
[00:26:25] 换成我们上一个书写新时代的壮阔篇章，
[00:26:29] 这句话你觉得可以不？
[00:26:31] 你会发现依然可以这些词提前出。
[00:26:34] 储备好了，
[00:26:35] 到时候就塞进去也就可以了，
[00:26:37] 好吧，
[00:26:37] 你看这样的话，
[00:26:39] 标题你就会了，
[00:26:40] 然后呢，
[00:26:41] 整个开头的后半部分你就会了。
[00:26:43] 如果大家觉得这个总论点比较单薄的话，
[00:26:47] 还想凑一点字数的话，
[00:26:48] 请问大家这个地方可以加一句什么话？
[00:26:51] 哪位同学可以告诉我？
[00:26:53] 这个地方你自然可以加一句名言，
[00:26:56] 警句春风赶月莫停留，
[00:26:58] 平无尽处是春山历尽天华成此景，
[00:27:01] 人间万事出艰辛。
[00:27:03] 现在能够听明白了吗？
[00:27:05] 这些万能的废话的素材，
[00:27:07] 你觉得是你自己准备好，
[00:27:09] 还是袁东老师给你准备好？
[00:27:11] 同学们，
[00:27:11] 那么我呢？
[00:27:12] 还是信不过你们，
[00:27:14] 全部都给你们准备好了，
[00:27:16] 而且给大家准备了几百句，
[00:27:18] 争取能够做到100万个学生听我的课。
[00:27:21] 会做到不重样，
[00:27:22] 所以大家不用担心，
[00:27:24] 在你们讲义上都有的，
[00:27:25] 别着急，
[00:27:26] 好再接着给大家一起往下走。
[00:27:29] 这个题目也是当年山东省考比较难的一个题目，
[00:27:32] 我现在问大家一下，
[00:27:33] 拿到这个题目，
[00:27:34] 拿到这个题目，
[00:27:35] 脑袋又空白了，
[00:27:36] 一定要记住东哥站在你身后说。
[00:27:39] 标题前半句要写对策，
[00:27:41] 后半句要写影响好，
[00:27:43] 我现在问大家一下，
[00:27:46] 你们觉得题干当中有两句话。
[00:27:49] 这两句话第一句话是对策还是第二句话是对策认真的？
[00:27:54] 想好了再告诉我，
[00:27:56] 认真想好了再告诉我，
[00:27:58] 以它为主题拟题目的。
[00:28:00] 那我这个时候要想一下常清之道，
[00:28:03] 贵在自胜，
[00:28:04] 我觉得自胜它是一个对策，
[00:28:07] 所以大家把自胜给老师写在这儿。
[00:28:10] 好，
[00:28:10] 前面我要把它变成一个对策加一个动词，
[00:28:14] 请问大家一下可以加哪一个动词？
[00:28:18] 大家一起写秉持。
[00:28:21] 自胜之心。
[00:28:24] 这个时候。
[00:28:26] 得来的一个影响，
[00:28:27] 我问大家一下，
[00:28:29] 影响从题干当中能不能找到影响？
[00:28:32] 那不就是让我们能够长清吗？
[00:28:35] 所以长清之道，
[00:28:38] 一起把它搞定。
[00:28:40] 前面加一个动词，
[00:28:43] 加哪个动词一起写方得常清之道啊，
[00:28:47] 秉持自胜之心。
[00:28:49] 方得长清之道，
[00:28:51] 一起把它搞定也就可以了。
[00:28:53] 秉持自身之心，
[00:28:54] 方得长清之道，
[00:28:56] 哇，
[00:28:56] 那有没有同学在考试的时候，
[00:28:59] 真的就想不到？
[00:29:00] 秉持这个词，
[00:29:01] 或者是想到想不到知心这个词，
[00:29:04] 这个时候如果你这个搞不定，
[00:29:07] 应该怎么办？
[00:29:08] 永远记住这个世界上有一个小小的国家，
[00:29:11] 他平常除了打伊朗之外，
[00:29:13] 他这个国家存在就是为了你考上公务员。
[00:29:16] 以自胜。
[00:29:18] 后面加一个动词，
[00:29:20] 加哪个动词做尾巴？
[00:29:23] 各位以自胜破题。
[00:29:25] 大家觉得可以吧，
[00:29:27] 以自胜破题，
[00:29:28] 方得长青之道，
[00:29:30] 没问题或者。
[00:29:31] 会就。
[00:29:35] 常青怎么样？
[00:29:36] 知道绘就常青新途径，
[00:29:40] 你会发现哎，
[00:29:41] 也是可以的。
[00:29:43] 绘就常青新篇章，
[00:29:46] 绘就常青新途径。
[00:29:48] 新篇章。
[00:29:50] 新途径还有没有同学再给老师想一个词，
[00:29:54] 稍微的把这个变换一个词，
[00:29:57] 你你只要换一个词，
[00:29:58] 他肯定就不能说你是抄的了。
[00:30:01] 各位新长卷，
[00:30:03] 大家觉得行不行？
[00:30:05] 好了，
[00:30:05] 新蓝图，
[00:30:06] 大家觉得行不行？
[00:30:09] 新蓝图也是没有问题的啊，
[00:30:11] 一起把它搞定也就可以了，
[00:30:13] 好吧，
[00:30:14] 大家来看一下最后的成文。
[00:30:16] 就是标题前半句，
[00:30:18] 它就应该等于最后的一个哎结尾。
[00:30:23] 它就等于一个最后的一个，
[00:30:26] 哎，
[00:30:26] 结尾也就全部搞定了，
[00:30:28] 现在能够看懂吗？
[00:30:29] 然后我把长情致敬可以放在这个地方。
[00:30:33] 中间你想怎么解释？
[00:30:34] 常青就怎么解释？
[00:30:35] 可以把那些分论点加进来。
[00:30:37] 常青之基原来在材料当中就是指的革故鼎新，
[00:30:41] 就是指的攻坚克难，
[00:30:42] 就是指的坚守本心，
[00:30:44] 就是指的超越自我，
[00:30:45] 就是指的完善自我。
[00:30:47] 现在听懂了吗？
[00:30:48] 各位，
[00:30:48] 这些词既可以你自己加，
[00:30:50] 也可以把材料当中的关键词往里面塞，
[00:30:54] 尽量的多塞几个，
[00:30:55] 这样的话你跑题的概率就会小很多。
[00:30:58] 行吧，
[00:30:59] 好了再带着大家往下走，
[00:31:01] 大家来看一下这个题目是天津市考的题目，
[00:31:05] 我们问大家一下。
[00:31:07] 这个题目二五年，
[00:31:08] 二六年天津市考考了这个题目，
[00:31:11] 拿到这个题目，
[00:31:12] 脑袋又空白了，
[00:31:13] 请问标题应该等于什么？
[00:31:15] 前半句应该等于对策，
[00:31:17] 后半句应该等于影响吧？
[00:31:20] 好了，
[00:31:21] 我问大家下。
[00:31:22] 在这个题目当中，
[00:31:23] 可以做对策的那个词，
[00:31:25] 认真的判断一下哪个词可以做对策，
[00:31:28] 同学们一定把它给我找出来，
[00:31:30] 一定程度上反向思维，
[00:31:32] 也能推动事物的正向前行，
[00:31:34] 如果你这个找错了。
[00:31:35] 基本上就没戏了，
[00:31:37] 是不是在说反向思维啊，
[00:31:40] 所以大家一起写反向。
[00:31:42] 思维。
[00:31:43] OK，
[00:31:43] 那么哪个词可以放在影响里面，
[00:31:47] 认真的把材料当中的词给我，
[00:31:49] 把它找出来，
[00:31:51] 是不是影响就是最终的结果？
[00:31:53] 是正向。
[00:31:56] 前行啊，
[00:31:56] 大家能够同意吧，
[00:31:58] 正向前行好了，
[00:32:00] 前面加一个动词，
[00:32:02] 后面加一个动词。
[00:32:03] 同学们，
[00:32:04] 抓紧时间告诉我这个反向思维，
[00:32:07] 前面加一个动词，
[00:32:08] 加哪个动词，
[00:32:09] 我可以加一个。
[00:32:10] 善用反向思维，
[00:32:12] 大家觉得可以吗？
[00:32:15] 然后。
[00:32:15] 正向前行，
[00:32:16] 可以加一个动词赋能。
[00:32:18] 正向前行，
[00:32:19] 大家觉得可以吧？
[00:32:21] 好了，
[00:32:21] 那如果说我不加这两个动词可以吗？
[00:32:25] 同学们，
[00:32:26] 不用善用，
[00:32:27] 还可以用哪个词？
[00:32:29] 同学们，
[00:32:29] 能不能告诉我？
[00:32:31] 我可以写一个。
[00:32:33] 树立反向思维，
[00:32:34] 大家觉得可以不？
[00:32:36] 然后推动正向前行，
[00:32:37] 可以不完全是可以的，
[00:32:40] 我请问大家一下。
[00:32:41] 在考试的时候，
[00:32:43] 采分的点是反向思维，
[00:32:45] 正向前行，
[00:32:47] 还是所谓的善用，
[00:32:49] 树立，
[00:32:49] 赋能，
[00:32:50] 推动。
[00:32:50] 大字纹依然是踩点给分，
[00:32:52] 记住了，
[00:32:53] 最重要的是这个你动词呢，
[00:32:55] 只要你写的不是说特别不通顺，
[00:32:57] 特别的是违反原则性的，
[00:32:59] 都是没有问题的。
[00:33:01] 好吧，
[00:33:01] 另外一个我现在问大家一下，
[00:33:03] 如果在考试的时候想不起来善用，
[00:33:06] 想不起来树立，
[00:33:07] 请问应该想到哪个词把它给我记在骨头里边，
[00:33:11] 这是关键时候保命的。
[00:33:12] 以反向思维破题，
[00:33:15] 一起把它搞定。
[00:33:17] 以反向思维破题。
[00:33:19] 好了，
[00:33:20] 正向前行，
[00:33:21] 应该怎么办？
[00:33:22] 以反向思维破题。
[00:33:25] 各位有哪个同学能够告诉我，
[00:33:27] 以反向思维破题，
[00:33:29] 我就直接写赋能正向前行，
[00:33:31] 行不行是可以的或者？
[00:33:33] 直接写成绘就正向前行。
[00:33:37] 新图景，
[00:33:38] 大家觉得这个词美不美？
[00:33:40] 有没有想象力？
[00:33:41] 有想象力吧，
[00:33:42] 这两年的话呢，
[00:33:43] 我带的学生啊，
[00:33:45] 非常的多啊，
[00:33:46] 很多学生说老师给你写了。
[00:33:48] 学了写这个标题，
[00:33:49] 到了体制内跟领导写文章的话呢，
[00:33:52] 再也不愁了，
[00:33:53] 觉得太有素材了，
[00:33:54] 太好写了，
[00:33:55] 大家看。
[00:33:55] 善用反向思维，
[00:33:57] 我们在。
[00:33:57] 总论点里边，
[00:33:58] 我们就善用反向思维，
[00:34:00] 我们赋能正向前行，
[00:34:02] 我们就为正向前行开辟路径，
[00:34:04] 你可以稍微变化一点，
[00:34:06] 那么当然你前面的话呢？
[00:34:08] 可以随便加点废话，
[00:34:09] 中间的话呢，
[00:34:10] 可以随便加点废话，
[00:34:12] 这是没有问题的，
[00:34:13] 不用保持一致，
[00:34:15] 但是最关键的词一定要和题干。
[00:34:17] 还是要保持一致，
[00:34:18] 现在清晰了吧？
[00:34:20] 好了再带着大家一起往下走啊，
[00:34:22] 大家再接着来看一下，
[00:34:24] 拿到这个题目。
[00:34:26] 又是山东的题目，
[00:34:27] 你们有没有觉得这是山东二五年的题目啊？
[00:34:30] 你们你们有没有觉得山东的题目确实比较麻烦？
[00:34:33] 这个题目如果你没上过我的课，
[00:34:35] 请问大家下你在考试的时候拿到这个题目，
[00:34:39] 你觉得你标题难不难？
[00:34:40] 我就问大家一下，
[00:34:41] 难还是不难哎，
[00:34:42] 你如果真的就没上过这个课，
[00:34:45] 难不难拿到这个题目是不是有可能就一下子脑袋空白啊？
[00:34:49] 标题，
[00:34:49] 你脑袋空白的时候记住袁东老师像一个大哥哥一样站在你身后说标题前半句要等于一个对策。
[00:34:58] 后半句一定要等于一个影响。
[00:35:01] 一定要等于一个影响这个对策。
[00:35:05] 请问大家一下，
[00:35:06] 万物奔流，
[00:35:06] 经济天下哪一个可以作为对策？
[00:35:09] 你一定要认真的审一下题，
[00:35:11] 琢磨一下这个位置，
[00:35:13] 千万别搞反了，
[00:35:14] 你搞反了也是没有分的，
[00:35:16] 也有的同学说老师。
[00:35:17] 我明明词踩中了，
[00:35:19] 但是你如果顺序错了，
[00:35:20] 也是完蛋了，
[00:35:21] 大家认真想一下，
[00:35:23] 我觉得在这个里边是。
[00:35:25] 万物奔流是一个对策，
[00:35:27] 大家能够同意不？
[00:35:29] 万物奔流是一个对策，
[00:35:31] 然后影响是什么影响？
[00:35:34] 最终，
[00:35:34] 它的影响经济天下好，
[00:35:37] 前面给老师加一个动词，
[00:35:40] 大家能够加哪一个动词？
[00:35:44] 我可以加一个醋醋万物，
[00:35:47] 奔流不息。
[00:35:49] 好，
[00:35:49] 我最后产有一个影响，
[00:35:52] 最后就星星际天下华章加一个动词加一个尾巴。
[00:35:58] 好吧，
[00:35:59] 那么但是有很多同学还是想不到这个醋应该怎么办？
[00:36:03] 我一定要给大家一个保底的，
[00:36:05] 既每一节课既给你个性化，
[00:36:07] 又给你保底的，
[00:36:08] 所以你不要有任何的焦虑。
[00:36:10] 听我的课，
[00:36:11] 你就跟着走，
[00:36:12] 慢慢的你就会了，
[00:36:14] 我可以加一个以万物奔流，
[00:36:16] 请问同学们后边加哪个词比较合适？
[00:36:20] 同学们告诉我是不是加一个破题啊？
[00:36:24] 以万物奔流破题兴，
[00:36:26] 经济天下华章没有问题吧？
[00:36:29] 或者。
[00:36:31] 新经济天下华章或者会旧经济天下新篇，
[00:36:36] 大家觉得可以不会旧经济天下。
[00:36:40] 今天请问大家一下承诺，
[00:36:42] 你看啊，
[00:36:43] 这个题目当时呢，
[00:36:45] 很多同学他们不知道哦，
[00:36:47] 原来标题前半句写对策，
[00:36:49] 后半句写影响。
[00:36:51] 他在考试的时候确实是没有办法把它搞定的，
[00:36:55] 学了就会了啊，
[00:36:56] 学了就会了好了，
[00:36:57] 给大家来看看。
[00:36:58] 标题出来了，
[00:36:59] 标题出来了，
[00:37:00] 整个这个自然段后半句是不是就是出来了？
[00:37:04] 你会发现万物奔流。
[00:37:06] 万物奔流，
[00:37:07] 然后还有一个经济华章，
[00:37:10] 经济天下经济华章没有问题，
[00:37:13] 后面你随便加两句，
[00:37:15] 自己的话就行了。
[00:37:17] 请问如果我不加这句话，
[00:37:19] 我还是写书写时代发展新篇章，
[00:37:22] 这种话作为一个结尾，
[00:37:23] 大家觉得行不行就用上面自然段的那个结尾。
[00:37:27] 呃，
[00:37:28] 替换这个词，
[00:37:29] 你觉得考试的时候会给分吗？
[00:37:31] 这个是自由发挥的，
[00:37:33] 当然给分啊，
[00:37:34] 这个你就平常稍微的积累几句，
[00:37:36] 万能的也就可以了。
[00:37:38] 如果这句我实在想不起来的话，
[00:37:41] 请问大家一下，
[00:37:42] 我就直接写一个共创新时代。
[00:37:45] 美好未来这种相对比较万能的话，
[00:37:48] 大家觉得可以不能给分不？
[00:37:50] 各位当然是可以给分的啊，
[00:37:53] 我们一定要看到你最核心的股价，
[00:37:56] 就是要有奔流不息，
[00:37:58] 就是要有。
[00:37:59] 经济天下也就可以了，
[00:38:00] 好了再带着大家一起往下走，
[00:38:03] 大家来看一下，
[00:38:04] 在这个题目当中，
[00:38:05] 你们觉得这又是一个天津的题目，
[00:38:08] 应该怎么办？
[00:38:09] 我们知道标题前半句应该等于什么，
[00:38:13] 有哪个同学可以告诉我？
[00:38:16] 标题的前半句，
[00:38:18] 它是一个对策，
[00:38:20] 后半句，
[00:38:21] 它是一个影响。
[00:38:24] 这个对策你们觉得最重要的是哪个词？
[00:38:28] 在这句话当中，
[00:38:29] 同学们认真的来琢磨一下。
[00:38:32] 这个对策是哪个词？
[00:38:34] 这个对策是科技，
[00:38:36] 所以大家把科技给老师一起搞下来。
[00:38:40] 好了啊，
[00:38:40] 另外一个是这个时代最大的工艺，
[00:38:44] 请问大家一下哪个词可以作为影响用你啊大学？
[00:38:50] 这这个小脑袋认真的想一下，
[00:38:53] 是不是叫工艺啊？
[00:38:55] 好了，
[00:38:55] 同学们，
[00:38:56] 那我写完了之后，
[00:38:57] 我真的是就是没有话说了，
[00:39:00] 我要把它变成一个对策，
[00:39:02] 前面加一个动词，
[00:39:03] 后面加一个尾巴。
[00:39:05] 你会加哪一个动词？
[00:39:07] 加哪个动词我我想不起来，
[00:39:10] 想不起来讲哪个动词，
[00:39:12] 以色列的以以科技加一个尾巴，
[00:39:15] 以科技什么？
[00:39:17] 之光，
[00:39:17] 大家觉得可以不以科技之光，
[00:39:20] 它对于工艺有什么好处？
[00:39:22] 它可以加一个动词。
[00:39:24] 作为开头照料。
[00:39:27] 工艺加一个动词，
[00:39:29] 作为尾巴支路，
[00:39:30] 一起把它搞定。
[00:39:33] 以科技之光照亮公益之路，
[00:39:35] 一起把它搞定。
[00:39:36] 以科技之光照亮公益之路，
[00:39:39] 大家觉得可以吧？
[00:39:40] 好了，
[00:39:41] 那有的同学说老师。
[00:39:42] 你一会是破题，
[00:39:44] 一会是什么为笔，
[00:39:45] 一会是之光，
[00:39:47] 难道不用这个词就不行了吗？
[00:39:49] 我我就想用乙，
[00:39:51] 但是我不想用之光。
[00:39:53] 各位，
[00:39:53] 能不能给老师想出一个词，
[00:39:56] 作为变换，
[00:39:56] 大家认真的打开你的小脑袋，
[00:39:59] 认真想一下，
[00:40:00] 光可能是手电筒，
[00:40:02] 我们出了光奥运会火炬行不行？
[00:40:05] 你可以写以科技为据，
[00:40:07] 照亮公益之路，
[00:40:09] 大家觉得行吧啊，
[00:40:10] 只要你说的合情合理也就可以了，
[00:40:14] 那么以科技为据。
[00:40:16] 那么，
[00:40:16] 我们如果不想以悲剧，
[00:40:19] 以科技破题。
[00:40:21] 行不行？
[00:40:22] 然后呢？
[00:40:23] 绘就工艺。
[00:40:25] 绘就工艺什么新篇，
[00:40:28] 大家一起把它写下来，
[00:40:30] 绘就工艺新篇。
[00:40:32] 或者绘旧工艺，
[00:40:33] 新篇章，
[00:40:34] 或者绘旧工艺，
[00:40:35] 新途径，
[00:40:36] 新蓝图都是没有问题的。
[00:40:38] 好，
[00:40:38] 大家来看，
[00:40:39] 这是一个标题。
[00:40:41] 前半句是对策，
[00:40:42] 后半句是影响。
[00:40:43] 以科技之光，
[00:40:44] 我们要把它变成最后的一句话啊，
[00:40:48] 以科以科技为据，
[00:40:49] 所以我们要把。
[00:40:51] 科技放在这儿，
[00:40:52] 然后它对工艺有好处，
[00:40:54] 它对工艺有好处，
[00:40:55] 你中间可以随便加几句影响或者是对策，
[00:40:59] 把它扩展成一句话。
[00:41:01] 这些是废话，
[00:41:02] 大家自己加也就行了，
[00:41:04] 好吧好了，
[00:41:04] 我再带着大家一起往下走，
[00:41:07] 大家来看一下。
[00:41:08] 下一个题目应该怎么办？
[00:41:10] 这是四川省考的题目，
[00:41:11] 这个题目是二六年的，
[00:41:13] 刚刚考的，
[00:41:14] 当时很多同学非常崩溃，
[00:41:16] 拿到这个题目就搞不定了。
[00:41:18] 我先问大家一下，
[00:41:19] 审题的时候永远记住了标题等于什么？
[00:41:23] 前半句标题要等于一个对策。
[00:41:26] 后半句标题要等于一个影响，
[00:41:29] 这个没毛病吧，
[00:41:31] 请问大家一下就是题干当中有两句话。
[00:41:35] 题干当中有两句话，
[00:41:37] 那么这个时候我就问大家一下，
[00:41:40] 你们觉得可能涉及到对策的词。
[00:41:43] 是哪两个哪位同学可以告诉我？
[00:41:46] 可能涉及到对对策的词有两句话，
[00:41:49] 有哪两个呃，
[00:41:50] 我问大家一下，
[00:41:52] 永造风口是不是一个对策？
[00:41:54] 还有一个无中生有，
[00:41:56] 是不是一个对策？
[00:41:58] 各位是吧？
[00:41:59] 所以我们的标题还有一种策略就是勇造风口。
[00:42:04] 所以大家一起把它写下来，
[00:42:07] 前半句叫永照。
[00:42:09] 风口。
[00:42:10] 然后后半句呢，
[00:42:12] 还有一个叫无中。
[00:42:15] 生有。
[00:42:17] OK，
[00:42:17] 那么这个时候我想把它稍微的改一下啊，
[00:42:21] 有的时候他这个标题呢，
[00:42:23] 要灵活的去稍微的变化一下，
[00:42:26] 原来前半句是对策。
[00:42:28] 后半句是影响现在每一句话都是对策，
[00:42:32] 在加影响永造风口，
[00:42:34] 请问大家一下有什么影响，
[00:42:36] 你自己想一个词。
[00:42:38] 可以想一个破困局，
[00:42:40] 一起写下来。
[00:42:42] 无中生有，
[00:42:44] 你再想一个词，
[00:42:45] 它可以有什么影响，
[00:42:48] 可以绘旧新篇章，
[00:42:50] 可以开新篇。
[00:42:52] 这个题目稍微比前面有一点点变化，
[00:42:56] 因为这个题目涉及到两个词，
[00:42:59] 这两个词一个是动词对策，
[00:43:02] 永做风口，
[00:43:03] 一个是动词。
[00:43:05] 啊，
[00:43:05] 对策无中生有，
[00:43:07] 然后我干脆就前半句就是写对策加影响。
[00:43:13] 后半句也是写对策加影响大家，
[00:43:17] 这个能够看懂的话，
[00:43:19] 给老师打个一我们原来。
[00:43:22] 前面讲的标题都是前半句只写对策，
[00:43:25] 后半句只写影响这个题目，
[00:43:28] 我稍微变换一下。
[00:43:30] 前半句写对策加影响，
[00:43:32] 后半句写对策加影响，
[00:43:33] 现在能够听懂吗？
[00:43:35] 可以过的话就给老师打个过啊，
[00:43:37] 我再给大家说一下这种题目，
[00:43:40] 你在标题的时候。
[00:43:41] 尽量的把关键词都踩到，
[00:43:43] 这样的话，
[00:43:44] 你跑题的概率是很小的，
[00:43:46] 用造啊，
[00:43:47] 这个都给大家准备好了，
[00:43:49] 大家看。
[00:43:49] 下面就是唯有。
[00:43:52] 造风还有一个造风啊，
[00:43:55] 还有一个无中生有，
[00:43:57] 还有一个无中生有，
[00:43:59] 其他你这几个词。
[00:44:01] 你可以随便给我啊，
[00:44:03] 变换随便给我变换，
[00:44:04] 你可以共创美好未来，
[00:44:06] 推动高质量发展，
[00:44:08] 你可以说构建发展新格局，
[00:44:10] 推动高质量发展，
[00:44:11] 我不管你。
[00:44:12] 你只要说的合情合理就行，
[00:44:14] 但是我要求你的标题当中含有这两个关键的词，
[00:44:18] 你的总论点当中也含有这两个关键的词。
[00:44:22] 现在能够听懂吗？
[00:44:23] 好了，
[00:44:24] 有的同学说老师这个题目是不是双主题？
[00:44:27] 这个题目不是双主题，
[00:44:29] 因为在这个题目当中。
[00:44:31] 勇造风口和无中生有，
[00:44:34] 它是在说一个意思，
[00:44:36] 所以它是单主题。
[00:44:38] 单主题啊，
[00:44:39] 他是在说一个意思，
[00:44:41] 到时候双主题，
[00:44:42] 我下节课给大家讲，
[00:44:43] 你们这节课先理解这种思路行不行？
[00:44:46] 同学们。
[00:44:46] 不要着急啊，
[00:44:47] 我们一步一步的走好了，
[00:44:49] 大家再来看一下这个题目应该怎么办？
[00:44:53] 拿到它之后标题。
[00:44:54] 前半句应该等于对策，
[00:44:57] 后半句应该等于一个影响，
[00:45:00] 大家能够同意吧，
[00:45:02] 请问这个对策以通路？
[00:45:04] 某同路应该怎么把它搞定？
[00:45:07] 以通路谋同路，
[00:45:09] 应该怎么把它搞定？
[00:45:11] 这个对策大家一起写啊以。
[00:45:14] 通路，
[00:45:15] 它是一个对策，
[00:45:16] 这个大家能够看出来吧，
[00:45:18] 它都给你加了一个乙了，
[00:45:20] 但是后面需要你给我加一个小尾巴，
[00:45:23] 加哪一个尾巴？
[00:45:24] 我可以加一个破题，
[00:45:26] 行不行？
[00:45:26] 你现在先别觉得烦，
[00:45:28] 先把它给我记下来，
[00:45:29] 后来会救你命的，
[00:45:30] 到后来我还会给你无数的这种个性化的表述的，
[00:45:34] 你现在先把这个记下来。
[00:45:36] 先固化，
[00:45:37] 再优化，
[00:45:37] 最后就个性化了，
[00:45:39] 然后它会产生什么影响？
[00:45:41] 它会产生的影响是叫谋同路。
[00:45:45] 茅同路。
[00:45:47] OK，
[00:45:48] 大家给老师加一个动词，
[00:45:51] 加哪个动词？
[00:45:52] 你加一个动词新篇也就可以了啊，
[00:45:55] 这个词非常的简单，
[00:45:57] 你看这个标题也就给大家搞出来了。
[00:46:01] 标题搞出来之后，
[00:46:03] 然后我们后面的小题。
[00:46:06] 呃，
[00:46:06] 总论点也就出来了，
[00:46:08] 然后呢？
[00:46:09] 也就很简单了，
[00:46:10] 这个就没有办，
[00:46:11] 没有任何的这种难的啊，
[00:46:13] 没有难度，
[00:46:14] 这就是一个对策。
[00:46:16] 和前面的对策呼应，
[00:46:17] 这是一个结果成效，
[00:46:19] 和前面的结果成效呼应，
[00:46:21] 后面的话呢，
[00:46:22] 你随便加，
[00:46:23] 我不管你。
[00:46:23] 好，
[00:46:24] 再来给大家来看一下这个题目是四川的题目，
[00:46:27] 当时很多同学就崩溃了，
[00:46:29] 没有办法把这个词全部融入进去，
[00:46:32] 还搞得跑题了。
[00:46:34] 这个题目你跑题实在不应该标题前半句等于什么？
[00:46:38] 哪位同学告诉我是不是等于对策后半句？
[00:46:42] 是不是等于影响？
[00:46:44] 各位，
[00:46:44] 我现在问大家一下，
[00:46:46] 你们觉得这个题目当中它的对策是就是从这个地方吧，
[00:46:51] 我给你画一个华丽的分割线，
[00:46:54] 你觉得。
[00:46:55] 我画的这个华丽的分割线，
[00:46:57] 前面是在说对策还是在说影响哪位同学可以告诉我，
[00:47:01] 哎，
[00:47:02] 就是这个华丽的分割线，
[00:47:04] 前面这句话是在说对策还是在说影响？
[00:47:07] 是在说对策吧，
[00:47:08] 所以这两句话肯定要放在前面，
[00:47:10] 那么我尽量的要扣紧题干当中的关键词，
[00:47:14] 关键词是什么呢？
[00:47:15] 法治法治，
[00:47:16] 关键词是什么呢？
[00:47:19] 根基。
[00:47:19] 落地生根关键词是什么呢？
[00:47:22] 人民还有人民，
[00:47:24] 请问大家下我如果把这三个词都能够。
[00:47:27] 写到我的标题里边去，
[00:47:29] 我是不是大概率就不跑题了，
[00:47:32] 这个是连词不重要，
[00:47:33] 这是形容词不重要，
[00:47:35] 这是形容词不重要。
[00:47:36] 所以而这个心中哎呀，
[00:47:38] 我它不是形容词，
[00:47:40] 我可以把它写进去，
[00:47:42] 我看一下怎么办？
[00:47:43] 大家看法制。
[00:47:44] 我把它写下来。
[00:47:46] 还有一个落地生根和根基这个词，
[00:47:49] 把它给我变成一个动词，
[00:47:51] 大家觉得变成哪个动词更加合适？
[00:47:55] 我可以变成一个扎根，
[00:47:57] 这个是没毛病的吧，
[00:47:59] 扎根人民，
[00:48:01] 还有人民心中。
[00:48:02] 我是保留人民还是保留人民，
[00:48:05] 心中更加全面的情况之下，
[00:48:07] 保留哪一个？
[00:48:08] 是不是大概率保留人民心中会更好一些啊？
[00:48:12] 前面给老师加一个动词，
[00:48:15] 请问加哪一个动词比较合适？
[00:48:18] 是不是可以加一个让法治扎根人民群众心中啊，
[00:48:22] 它会产生一个影响，
[00:48:24] 产生的影响。
[00:48:25] 请问题干当中，
[00:48:27] 后面这句话能够理解成影响吗？
[00:48:30] 我觉得是没有问题的吧，
[00:48:32] 直接可以摘抄把连词去掉。
[00:48:35] 实现全面。
[00:48:37] 依法。
[00:48:39] 治国你看，
[00:48:41] 不需要你发。
[00:48:43] 会自己的这种主观创造性，
[00:48:45] 你最重要的是要尊重原词原句，
[00:48:48] 现在可以了吗？
[00:48:49] 好，
[00:48:50] 我们给大家看一下最后的成文。
[00:48:52] 这个标题也就出来了，
[00:48:54] 标题出来之后呢？
[00:48:56] 哎，
[00:48:56] 我们的最后一句话，
[00:48:58] 总论点也就出来了，
[00:49:00] 你看就是扎根人民心中，
[00:49:02] 你会发现。
[00:49:03] 扎根人民群众，
[00:49:04] 夯实发基呃，
[00:49:05] 法治根基就是扎根心中其实就稍微变化一下，
[00:49:09] 实现全面依法治国。
[00:49:10] 然后呢，
[00:49:11] 实现全面依法治国中间的话呢，
[00:49:14] 随便写几句话也就可以了，
[00:49:16] 现在清晰了啊，
[00:49:18] 好了再带着大家往下走。
[00:49:20] 大家来看一下，
[00:49:21] 这是浙江省考的题目，
[00:49:22] 我带着大家基本上要把国考省考的所有的题目要带着你过一遍了哈，
[00:49:27] 所以这个讲义呢，
[00:49:28] 可能也比较厚，
[00:49:29] 第一节课。
[00:49:29] 稍微的拖个几分钟的时间，
[00:49:31] 大家没毛病吧，
[00:49:32] 我第一节课给你们拆成了两节课，
[00:49:34] 额外给大家加一节课，
[00:49:36] 所以你们别着急，
[00:49:37] 有的同学一直问几点下课？
[00:49:39] 要静下心来讲的，
[00:49:40] 这个真的很重要，
[00:49:42] 请问拿到这个题目我不会做，
[00:49:44] 我脑袋空白，
[00:49:45] 但是我知道东哥说了标题。
[00:49:48] 应该等于什么？
[00:49:49] 前半句应该等于对策，
[00:49:51] 后半句应该等于一个影响，
[00:49:54] 大家能够同意吧，
[00:49:56] 请问大家下。
[00:49:57] 前面的这个对策应该怎么说？
[00:50:00] 电力自由带来产业竞争优势，
[00:50:03] 同学们，
[00:50:04] 你们告诉我。
[00:50:05] 哪一个能代表对策哎？
